Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
HASSELT - FH01;2438366;1;0;0;1;SDU;;Y;NA;2;9;;;;;BUILDING template;Schoolstraat;15;;;;
HASSELT - FH01;4065338;5;0;0;5;MDU;D;Y;NA;4;14;;;;;BUILDING template;Koningin Astridlaan;5;;;;
HASSELT - FH01;707413;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Spoorwegstraat;21;;;;
HASSELT - FH01;70244;1;0;0;1;SDU;;N;IRREG;2;7;;;;;BUILDING template;Thonissenlaan;54;;;;
HASSELT - FH01;4847307;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Melkvoetstraat;24;;;;
HASSELT - FH01;4897353;1;0;0;1;SDU;;Y;NA;2;9;;;;;BUILDING template;Schoolstraat;17;;;;
HASSELT - FH01;1145393;5;0;0;5;MDU;D;Y;NA;5;11;;;;;BUILDING template;Koningin Astridlaan;7;;;;
HASSELT - FH01;707412;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Spoorwegstraat;22;;;;
HASSELT - FH01;5832174;1;0;0;1;SDU;;N;IRREG;1;4;;;;;BUILDING template;Melkvoetstraat;28;;;;
HASSELT - FH01;2438370;1;0;0;1;SDU;;Y;NA;2;9;;;;;BUILDING template;Schoolstraat;19;;;;
HASSELT - FH01;2408231;4;1;0;5;MDU;D;Y;NA;5;12;;;;;BUILDING template;Koningin Astridlaan;9;;;;
HASSELT - FH01;707411;1;0;0;1;SDU;;Y;NA;3;10;;;;;BUILDING template;Spoorwegstraat;23;;;;
HASSELT - FH01;3937553;1;0;0;1;SDU;;N;IRREG;2;10;;;;;BUILDING template;Melkvoetstraat;32;;;;
HASSELT - FH01;2438371;1;0;1;2;MDU;D;Y;NA;2;9;;;;;BUILDING template;Schoolstraat;21;;;;
HASSELT - FH01;707410;1;0;0;1;SDU;;Y;NA;3;10;;;;;BUILDING template;Spoorwegstraat;24;;;;
HASSELT - FH01;654122;1;0;0;1;SDU;;N;IRREG;2;8;;;;;BUILDING template;Melkvoetstraat;34;;;;
HASSELT - FH01;2438374;1;0;0;1;SDU;;Y;NA;2;9;;;;;BUILDING template;Schoolstraat;23;;;;
HASSELT - FH01;707409;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Spoorwegstraat;25;;;;
HASSELT - FH01;654124;1;0;0;1;SDU;;N;IRREG;2;7;;;;;BUILDING template;Melkvoetstraat;36;;;;
HASSELT - FH01;2438378;1;0;0;1;SDU;;Y;NA;2;9;;;;;BUILDING template;Schoolstraat;25;;;;
HASSELT - FH01;707408;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Spoorwegstraat;26;;;;
HASSELT - FH01;2429019;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Melkvoetstraat;42;;;;
HASSELT - FH01;2438380;1;0;0;1;SDU;;Y;NA;2;9;;;;;BUILDING template;Schoolstraat;27;;;;
HASSELT - FH01;707407;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Spoorwegstraat;27;;;;
HASSELT - FH01;4203764;0;1;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Melkvoetstraat;44;;;;
HASSELT - FH01;2438385;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Schoolstraat;31;;;;
HASSELT - FH01;707406;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Spoorwegstraat;28;;;;
HASSELT - FH01;654128;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Melkvoetstraat;46;;;;
HASSELT - FH01;4019176;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Schoolstraat;33;;;;
HASSELT - FH01;653425;0;1;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Bampslaan;39;;;;
HASSELT - FH01;707405;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Spoorwegstraat;29;;;;
HASSELT - FH01;654130;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Melkvoetstraat;48;;;;
HASSELT - FH01;2438392;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Schoolstraat;35;;;;
HASSELT - FH01;2408527;0;1;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Bampslaan;41;;;;
HASSELT - FH01;707404;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Spoorwegstraat;30;;;;
HASSELT - FH01;654109;3;0;0;3;MDU;D;N;IRREG;4;9;;;;;BUILDING template;Melkvoetstraat;56;;;;
HASSELT - FH01;2438399;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Schoolstraat;37;;;;
HASSELT - FH01;2408529;0;1;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Bampslaan;43;;;;
HASSELT - FH01;4903189;1;0;0;1;MDU;C;N;IRREG;2;7;;;;;BUILDING template;Woutersplein;1;;Woutersplein 1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18;;
HASSELT - FH01;654113;1;0;0;1;MDU;E;N;GABLE;3;9;;;;;BUILDING template;Melkvoetstraat;58;;Melkvoetstraat 58-58A-58B;;
HASSELT - FH01;707199;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Schoolstraat;39;;;;
HASSELT - FH01;2408530;0;1;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Bampslaan;45;;;;
HASSELT - FH01;5908309;1;0;0;1;MDU;D;N;IRREG;;;;;;;BUILDING template;Abelenstraat;1;A;Abelenstraat 1-1A;217589,233;179800,004
HASSELT - FH01;1145400;4;0;1;5;MDU;D;N;IRREG;2;9;;;;;BUILDING template;Burgemeester Bollenstraat;10;;Burgemeester Bollenstraat 10_Koningin Astridlaan 21;;
HASSELT - FH01;654111;1;0;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Melkvoetstraat;60;;;;
HASSELT - FH01;677699;0;1;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Bampslaan;47;;;;
HASSELT - FH01;6434600;1;0;0;1;MDU;D;N;IRREG;;;;;;;BUILDING template;Abelenstraat;1;B;Abelenstraat 1-1A;217592,114;179800,047
HASSELT - FH01;25130;1;0;0;1;SDU;;N;IRREG;3;9;;;;;BUILDING template;Burgemeester Bollenstraat;12;;;;
HASSELT - FH01;4847313;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Melkvoetstraat;62;;;;
HASSELT - FH01;21890;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Abelenstraat;3;;;;
HASSELT - FH01;6162639;1;0;0;1;SDU;;N;IRREG;6;18;;;;;BUILDING template;Sint-Truidersteenweg;67;B;;;
HASSELT - FH01;2408533;0;1;0;1;SDU;;Y;NA;3;11;;;;;BUILDING template;Bampslaan;49;;;;
HASSELT - FH01;2449571;1;0;0;1;SDU;;N;IRREG;3;9;;;;;BUILDING template;Burgemeester Bollenstraat;14;;;;
HASSELT - FH01;4847317;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Melkvoetstraat;66;;;;
HASSELT - FH01;3937204;7;0;0;7;MDU;B;Y;NA;3;9;;;;;BUILDING template;Abelenstraat;5;;;;
HASSELT - FH01;2408534;0;1;0;1;SDU;;Y;NA;3;11;;;;;BUILDING template;Bampslaan;51;;;;
HASSELT - FH01;3966571;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Burgemeester Bollenstraat;16;;;;
HASSELT - FH01;2429032;1;0;0;1;SDU;;Y;NA;3;8;;;;;BUILDING template;Melkvoetstraat;68;;;;
HASSELT - FH01;653426;0;1;0;1;SDU;;Y;NA;3;11;;;;;BUILDING template;Bampslaan;53;;;;
HASSELT - FH01;2449576;1;0;0;1;SDU;;Y;NA;2;8;;;;;BUILDING template;Burgemeester Bollenstraat;18;;;;
HASSELT - FH01;4074417;1;0;0;1;SDU;;N;IRREG;4;7;;;;;BUILDING template;Melkvoetstraat;70;;;;
