Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
KNOKKE - FH01;4343326;9;0;2;11;MDU;XA;N;IRREG;6;0;;;;Residentie Oud-Knokke;BUILDING template;Alfred Verweeplein;14;;Piers de Raveschootlaan 45-45A_Alfred Verweeplein 12-13-14-15
KNOKKE - FH01;2761899;8;0;0;8;MDU;D;Y;NA;4;12;;;;;BUILDING template;Koningslaan;132;;
KNOKKE - FH01;1363090;3;0;0;3;MDU;D;Y;NA;4;12;;;;;BUILDING template;Paul Parmentierlaan;33;;
KNOKKE - FH01;2766634;1;0;0;1;SDU;;N;IRREG;3;9;;;;;BUILDING template;Stadionstraat;16;;
KNOKKE - FH01;2767148;5;1;1;7;MDU;XA;Y;NA;6;4;;;;;BUILDING template;Alfred Verweeplein;16;;
KNOKKE - FH01;2761901;4;0;0;4;MDU;D;Y;NA;4;12;;;;Dakappartement aansluitbaar via geveldoorboring. Glasvezel kan gemonteerd worden op scheidingsmuur met huisnummer 132.;BUILDING template;Koningslaan;134;;
KNOKKE - FH01;2765041;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Paul Parmentierlaan;34;;
KNOKKE - FH01;2766635;1;0;0;1;SDU;;Y;NA;2;6;;;;;BUILDING template;Stadionstraat;17;;
KNOKKE - FH01;333259;5;1;1;7;MDU;XA;Y;NA;6;4;;;;;BUILDING template;Alfred Verweeplein;17;;
KNOKKE - FH01;2761902;8;0;1;9;MDU;C;Y;NA;5;4;;;;;BUILDING template;Koningslaan;136;;
KNOKKE - FH01;2765042;4;0;0;4;MDU;D;Y;NA;4;12;;;;;BUILDING template;Paul Parmentierlaan;35;;
KNOKKE - FH01;2766636;1;0;0;1;SDU;;N;IRREG;2;6;;;;;BUILDING template;Stadionstraat;18;;
KNOKKE - FH01;338503;5;1;1;7;MDU;XA;N;IRREG;6;0;;;;;BUILDING template;Alfred Verweeplein;18;;
KNOKKE - FH01;1321242;5;0;1;6;MDU;C;Y;NA;5;4;;;;;BUILDING template;Koningslaan;140;;
KNOKKE - FH01;4049936;1;0;0;1;SDU;;Y;NA;3;9;;;;;BUILDING template;Paul Parmentierlaan;36;;
KNOKKE - FH01;2766637;1;0;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Stadionstraat;19;;
KNOKKE - FH01;2767158;5;1;1;7;MDU;XA;N;IRREG;6;0;;;;;BUILDING template;Alfred Verweeplein;19;;
KNOKKE - FH01;2761906;5;0;1;6;MDU;X;N;IRREG;5;0;;;;In aanbouw - En construction;BUILDING template;Koningslaan;142;;
KNOKKE - FH01;2765043;5;0;0;5;MDU;C;N;HEIGHT;5;9;;;;In aanbouw - En construction (Blocked by syndic);BUILDING template;Paul Parmentierlaan;37;;
KNOKKE - FH01;2766638;1;0;0;1;SDU;;N;IRREG;3;9;;;;;BUILDING template;Stadionstraat;20;;
KNOKKE - FH01;1452422;4;1;1;6;MDU;XC;N;IRREG;5;0;;;;;BUILDING template;Alfred Verweeplein;20;;
KNOKKE - FH01;320547;3;0;1;4;MDU;XC;N;IRREG;4;0;;;;;BUILDING template;Koningslaan;144;;
KNOKKE - FH01;2765044;2;0;0;2;MDU;D;Y;NA;3;4;Beschermd Erfgoed;;;BE;BUILDING template;Paul Parmentierlaan;39;;
KNOKKE - FH01;2766639;1;0;0;1;SDU;;N;IRREG;2;6;;;;;BUILDING template;Stadionstraat;21;;
KNOKKE - FH01;1389167;5;1;1;7;MDU;XA;N;IRREG;6;0;;;;;BUILDING template;Alfred Verweeplein;21;;
KNOKKE - FH01;5437614;1;0;0;1;SDU;;Y;NA;3;4;;;;;BUILDING template;Kopsdreef;1;;
KNOKKE - FH01;2765047;0;1;0;1;SDU;;Y;NA;2;6;;;;;BUILDING template;Paul Parmentierlaan;41;;
KNOKKE - FH01;4346591;1;0;0;1;SDU;;Y;NA;2;6;;;;;BUILDING template;Stadionstraat;22;;
KNOKKE - FH01;2762969;0;1;0;1;SDU;;N;IRREG;1;0;;;;;BUILDING template;Lippenslaan;30;;
KNOKKE - FH01;2767163;5;1;1;7;MDU;XA;N;IRREG;6;0;;;;;BUILDING template;Alfred Verweeplein;22;;
KNOKKE - FH01;320688;9;0;1;10;MDU;C;N;IRREG;4;0;;;;;BUILDING template;Kopsdreef;2;;
KNOKKE - FH01;2765050;4;0;1;5;MDU;C;N;IRREG;5;4;;;;;BUILDING template;Paul Parmentierlaan;44;;
KNOKKE - FH01;4197881;1;0;0;1;SDU;;Y;NA;2;6;;;;;BUILDING template;Stadionstraat;23;;
KNOKKE - FH01;2763167;0;1;0;1;MDU;D;N;IRREG;1;0;;;;;BUILDING template;Lippenslaan;167;;Lippenslaan 163-167
KNOKKE - FH01;2767164;5;1;1;7;MDU;XA;N;IRREG;6;0;;;;;BUILDING template;Alfred Verweeplein;23;;
KNOKKE - FH01;4406417;10;0;1;11;MDU;A;N;IRREG;6;0;;;;;BUILDING template;Kopsdreef;2;A;Kopsdreef 2A_Lippenslaan 115
KNOKKE - FH01;4348071;5;0;0;5;MDU;XC;Y;NA;6;4;;;;;BUILDING template;Paul Parmentierlaan;45;;
KNOKKE - FH01;333487;1;0;0;1;SDU;;Y;NA;2;6;;;;;BUILDING template;Stadionstraat;24;;
KNOKKE - FH01;239622;4;0;2;6;MDU;XC;N;ORN;5;0;;;;_;BUILDING template;Paul Parmentierlaan;108;;Paul Parmentierlaan 108-110
KNOKKE - FH01;2767137;0;1;0;1;SDU;;N;IRREG;7;4;Beschermd Erfgoed;;;;BUILDING template;Alfred Verweeplein;1;;
KNOKKE - FH01;333113;0;1;0;1;SDU;;N;IRREG;1;0;;;;;BUILDING template;Lippenslaan;89;;
KNOKKE - FH01;338505;0;1;0;1;SDU;;N;IRREG;3;0;Beschermd Erfgoed;;;SDU, BU S - The Butler;BUILDING template;Alfred Verweeplein;24;;
KNOKKE - FH01;2761990;9;0;1;10;MDU;XC;N;IRREG;4;0;;;;;BUILDING template;Kopsdreef;4;;
KNOKKE - FH01;4345732;9;0;1;10;MDU;XC;N;IRREG;5;4;;;;;BUILDING template;Paul Parmentierlaan;46;;
KNOKKE - FH01;2766640;1;0;0;1;SDU;;Y;NA;2;6;;;;;BUILDING template;Stadionstraat;25;;
KNOKKE - FH01;2767167;0;1;0;1;SDU;;N;IRREG;4;0;Monument;;;;BUILDING template;Alfred Verweeplein;25;;
