Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
KNOKKE-HEIST - FH03;317810;0;0;0;0;SDU;;N;IRREG;2;4;;niet in cCRAb, ook niet in GM te vinden;N;;BUILDING template;Elizabetlaan;201;;;73822,52;226896,773
KNOKKE-HEIST - FH03;2759672;0;0;0;0;SDU;;N;IRREG;4;4;;1LU in CRAB, onduidelijk in GM;N;;BUILDING template;Elizabetlaan;197;;;73845,17;226907,68
KNOKKE-HEIST - FH03;318003;0;0;0;0;SDU;;N;IRREG;4;4;;67LU in CRAB, onduidelijk in GM maar zeker minder dan in IFH;N;;BUILDING template;Elizabetlaan;158;;;74179,553;226887,167
KNOKKE-HEIST - FH03;318005;0;0;0;0;SDU;;N;IRREG;4;4;;29LU in CRAB, niet duidelijk in GM;N;;BUILDING template;Elizabetlaan;157;;;74313,006;226943,379
KNOKKE-HEIST - FH03;318002;0;0;0;0;SDU;;N;IRREG;4;4;;;N;;BUILDING template;Elizabetlaan;151;;;74392,958;226935,798
KNOKKE-HEIST - FH03;318001;6;0;0;6;MDU;;N;IRREG;3;3;Beschermd Erfgoed;7LU in CRAB, onduidelijk in GM;Y;_;BUILDING template;Elizabetlaan;143;;;74495,932;226929,135
KNOKKE-HEIST - FH03;2761915;6;0;1;7;MDU;;N;IRREG;6;3;;;Y;_;BUILDING template;Koningslaan;150;;;74497,552;226956,169
KNOKKE-HEIST - FH03;1512550;5;0;1;6;MDU;;N;IRREG;6;3;;;Y;_;BUILDING template;Koningslaan;152;;;74497,552;226962,169
KNOKKE-HEIST - FH03;NB-8300154ee7b76;0;1;0;1;MDU;;N;IRREG;6;3;;;;_;BUILDING template;Koningslaan;154;;Koningslaan 154-156;74498;226969
KNOKKE-HEIST - FH03;2761927;5;0;1;6;MDU;;N;IRREG;6;3;;5LU in CRAB, induidelijk in GM;Y;_;BUILDING template;Koningslaan;158;;;74499,12;226981,67
KNOKKE-HEIST - FH03;1366078;12;0;1;13;MDU;;N;IRREG;6;3;;;Y;_;BUILDING template;Koningslaan;162;;;74499,551;226997,169
KNOKKE-HEIST - FH03;1185123;5;0;1;6;MDU;;N;IRREG;6;3;;;Y;_;BUILDING template;Koningslaan;164;;;74500,551;227006,169
KNOKKE-HEIST - FH03;2761932;10;0;1;11;MDU;;N;IRREG;6;3;;;Y;_;BUILDING template;Koningslaan;166;;;74501,551;227013,169
KNOKKE-HEIST - FH03;2761936;11;0;1;12;MDU;;N;IRREG;6;3;;11LU in CRAB, onduidelijk in GM;Y;_;BUILDING template;Koningslaan;172;;Koningslaan 172-174;74503,949;227031,673
KNOKKE-HEIST - FH03;2761937;11;0;1;12;MDU;;N;IRREG;6;3;;;Y;_;BUILDING template;Koningslaan;174;;Koningslaan 172-174;74504,36;227040,713
