Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
KNOKKE-HEIST - FH06;2761966;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Koningslaan;224;;
KNOKKE-HEIST - FH06;4257228;16;2;0;18;MDU;;Y;NA;4;4;;8 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Sylvain Dupuisstraat;56;;
KNOKKE-HEIST - FH06;2761968;5;0;0;5;MDU;;Y;NA;4;4;;10 Units in CRAB, in GM ook.;;;BUILDING template;Koningslaan;226;;
KNOKKE-HEIST - FH06;4343356;6;0;0;6;MDU;;Y;NA;4;4;;;;;BUILDING template;Zonnelaan;16;;
KNOKKE-HEIST - FH06;2761969;5;0;0;5;MDU;;Y;NA;4;4;;1 Unit in CRAB, bestaat niet in GM.;;;BUILDING template;Koningslaan;228;;
KNOKKE-HEIST - FH06;4344108;3;0;0;3;MDU;;Y;NA;4;4;;10 Units in CRAB, 11 in GM;;;BUILDING template;Julius Hostestraat;7;;
KNOKKE-HEIST - FH06;2761970;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Koningslaan;230;;
KNOKKE-HEIST - FH06;4344124;5;0;0;5;MDU;;Y;NA;4;4;;6 Units in CRAB, onduidelijk.;;;BUILDING template;Sylvain Dupuisstraat;40;;
KNOKKE-HEIST - FH06;2761976;5;1;0;6;MDU;;Y;NA;4;4;;5 Units in CRAB, 6 in GM.;;;BUILDING template;Koningslaan;240;;
KNOKKE-HEIST - FH06;4344142;5;1;0;6;MDU;;Y;NA;4;4;;;;;BUILDING template;Jozef Nellenslaan;207;;
KNOKKE-HEIST - FH06;2761978;5;1;0;6;MDU;;Y;NA;4;4;;;;;BUILDING template;Koningslaan;242;;
KNOKKE-HEIST - FH06;4344208;2;0;0;2;MDU;;Y;NA;4;4;Beschermd Erfgoed;1 Unit in CRAB en GM;;;BUILDING template;D Hooghestraat;4;;
KNOKKE-HEIST - FH06;2761979;6;0;0;6;MDU;;Y;NA;4;4;;;;;BUILDING template;Koningslaan;244;;
KNOKKE-HEIST - FH06;4344210;2;0;0;2;MDU;;Y;NA;4;4;Beschermd Erfgoed;1 Unit in CRAB en GM;;;BUILDING template;D Hooghestraat;6;;
KNOKKE-HEIST - FH06;2761981;6;0;0;6;MDU;;Y;NA;4;4;;;;;BUILDING template;Koningslaan;246;;
KNOKKE-HEIST - FH06;4344211;1;0;0;1;SDU;;Y;NA;1;4;Beschermd Erfgoed;;;;BUILDING template;D Hooghestraat;8;;
KNOKKE-HEIST - FH06;2761983;5;1;0;6;MDU;;Y;NA;4;4;;;;;BUILDING template;Koningslaan;248;;
KNOKKE-HEIST - FH06;4344215;1;0;0;1;SDU;;Y;NA;1;4;;;;;BUILDING template;D Hooghestraat;12;;
KNOKKE-HEIST - FH06;2762804;1;0;0;1;SDU;;Y;NA;1;4;;6 Units in CRAB en GM.;;;BUILDING template;Leopoldlaan;67;;
KNOKKE-HEIST - FH06;4344251;8;0;0;8;MDU;;Y;NA;4;4;;niet in CRAB, Onduidelijk in GM.;;;BUILDING template;Zeedijk-Knokke;619;;
KNOKKE-HEIST - FH06;2762809;10;0;0;10;MDU;;Y;NA;4;4;;;;;BUILDING template;Leopoldlaan;69;;
KNOKKE-HEIST - FH06;4344279;0;1;0;1;SDU;;Y;NA;1;4;;;;;BUILDING template;Sylvain Dupuisstraat;5;;
KNOKKE-HEIST - FH06;2762811;6;0;0;6;MDU;;Y;NA;4;4;;;;;BUILDING template;Leopoldlaan;71;;
KNOKKE-HEIST - FH06;4344281;5;1;0;6;MDU;;Y;NA;4;4;;1 Unit in CRAB, 6 in GM.;;;BUILDING template;Sylvain Dupuisstraat;11;;
KNOKKE-HEIST - FH06;2762816;5;0;0;5;MDU;;Y;NA;4;4;;;;;BUILDING template;Leopoldlaan;79;;
KNOKKE-HEIST - FH06;4344284;3;0;0;3;MDU;;Y;NA;4;4;;4 Units in CRAB, 3 in GM.;;;BUILDING template;Sylvain Dupuisstraat;21;;
KNOKKE-HEIST - FH06;2762830;0;1;0;1;SDU;;Y;NA;1;4;;;;;BUILDING template;Leopoldlaan;87;;
KNOKKE-HEIST - FH06;4344932;2;0;0;2;MDU;;Y;NA;4;4;;6 Units in CRAB, 2 in GM.;;;BUILDING template;Leopoldlaan;77;;
KNOKKE-HEIST - FH06;2762833;10;0;0;10;MDU;;Y;NA;4;4;;;;;BUILDING template;Leopoldlaan;89;;
KNOKKE-HEIST - FH06;4345484;5;0;0;5;MDU;;Y;NA;4;4;;1 Unit in CRAB, 11 in GM.;;;BUILDING template;Koningslaan;105;;
KNOKKE-HEIST - FH06;2762842;11;0;0;11;MDU;;Y;NA;4;4;;;;;BUILDING template;Leopoldlaan;97;;
KNOKKE-HEIST - FH06;5368122;1;0;0;1;SDU;;Y;NA;1;4;;niet in CRAB, wel in GM;;;BUILDING template;D Hooghestraat;2;D;
KNOKKE-HEIST - FH06;2762843;19;0;0;19;MDU;;Y;NA;4;4;;1 Unit in CRAB, 22 in GM.;;;BUILDING template;Leopoldlaan;99;;
KNOKKE-HEIST - FH06;5377687;1;0;0;1;SDU;;Y;NA;1;4;;niet in CRAB, wel in GM;;;BUILDING template;D Hooghestraat;2;A;
