Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;adres;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
KNOKKE-HEIST - FH10;2757782;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand442;Beschermd Erfgoed;1 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;442;;;73248;226788
KNOKKE-HEIST - FH10;2759146;1;0;0;1;SDU;;N;MON;2;4;Duinendreef39;Monument;1 Unit in CRAB en GM.;;;BUILDING template;Duinendreef;39;;;72915;226447
KNOKKE-HEIST - FH10;2759148;1;0;0;1;SDU;;N;MON;2;4;Duinendreef46;Monument;1 Unit in CRAB en GM.;;;BUILDING template;Duinendreef;46;;;72881;226409
KNOKKE-HEIST - FH10;293775;1;0;0;1;SDU;;N;MON;2;4;Poststraat16;Monument;4 Units in CRAB en GM.;;;BUILDING template;Poststraat;16;;;72905;226471
KNOKKE-HEIST - FH10;4335908;1;0;0;1;SDU;;Y;NA;2;4;Petunialaan6;Beschermd Erfgoed;1 Unit in CRAB en GM.;;;BUILDING template;Petunialaan;6;;;72885;226524
KNOKKE-HEIST - FH10;4335922;1;0;0;1;SDU;;N;MON;2;4;Petunialaan18;Monument;1 Unit in CRAB en GM.;;;BUILDING template;Petunialaan;18;;;72877;226618
KNOKKE-HEIST - FH10;4335931;1;0;0;1;SDU;;N;MON;2;4;Duinendreef43;Monument;1 Unit in CRAB en GM.;;;BUILDING template;Duinendreef;43;;;72920;226450
KNOKKE-HEIST - FH10;4335933;1;0;0;1;SDU;;N;MON;2;4;Duinendreef47;Monument;1 Unit in CRAB, niet in GM.;;;BUILDING template;Duinendreef;47;;;72925;226453
KNOKKE-HEIST - FH10;4335999;1;0;0;1;SDU;;N;MON;2;4;Poststraat10;Monument;1 Unit in CRAB en GM.;;;BUILDING template;Poststraat;10;;;72896;226473
KNOKKE-HEIST - FH10;6390038;1;0;0;1;SDU;;N;MON;2;4;Petunialaan22;Monument;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Petunialaan;22;;;72886;226623
KNOKKE-HEIST - FH10;6524200;1;0;0;1;SDU;;N;MON;2;4;Poststraat20;Monument;1 Unit in CRAB, Onduidelijk in GM.;;;BUILDING template;Poststraat;20;;;72910;226470
KNOKKE-HEIST - FH10;6667849;1;0;0;1;SDU;;Y;NA;2;4;Bocheldreef3;Bouwgrond;leeg stuk in GM.;;;BUILDING template;Bocheldreef;3;;;73023;226542
KNOKKE-HEIST - FH10;6667850;1;0;0;1;SDU;;Y;NA;2;4;Bocheldreef11;Bouwgrond;leeg stuk in GM.;;;BUILDING template;Bocheldreef;11;;;72974;226520
KNOKKE-HEIST - FH10;1504176;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Duinbergen399;;2 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Duinbergen;399;;;72809;226743
KNOKKE-HEIST - FH10;2757769;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand432;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;432;;;73154;226763
KNOKKE-HEIST - FH10;2757770;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand433;;14 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;433;;;73164;226757
KNOKKE-HEIST - FH10;2757772;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand434;;32 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;434;;;73183;226758
KNOKKE-HEIST - FH10;2757777;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand439;;17 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;439;;;73222;226779
KNOKKE-HEIST - FH10;2757778;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand440;;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;440;;;73231;226781
KNOKKE-HEIST - FH10;2757781;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand441;;11 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;441;;;73237;226783
KNOKKE-HEIST - FH10;2757783;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand443;;18 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;443;;;73261;226792
KNOKKE-HEIST - FH10;2757785;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Albertstrand444;;11 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Albertstrand;444;;;73274;226799
KNOKKE-HEIST - FH10;2758986;1;0;0;1;SDU;;Y;NA;2;4;Zeedijk-Duinbergen304;;3 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Zeedijk-Duinbergen;304;;;72437;226558
