Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Kolom1;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
KNOKKE-HEIST - FH12;299884;1;0;0;1;SDU;;Y;NA;2;4;Zuidstraat20; ;1 Unit in CRAB en GM.;;;BUILDING template;Zuidstraat;20;;;71949;225990
KNOKKE-HEIST - FH12;2763590;1;0;0;1;SDU;;Y;NA;2;4;Matrozenplein17; ; ;;;BUILDING template;Matrozenplein;17;;;71970,257;226080,955
KNOKKE-HEIST - FH12;297276;1;0;0;1;SDU;;Y;NA;2;4;Noordhinder18; ; ;;;BUILDING template;Noordhinder;18;;;71743,681;225585,434
KNOKKE-HEIST - FH12;300767;1;0;0;1;SDU;;Y;NA;2;4;Heestersstraat15; ;1 Unit in CRAB, niet in GM.;;;BUILDING template;Heestersstraat;15;;;72347;225536
KNOKKE-HEIST - FH12;2763592;1;0;0;1;SDU;;Y;NA;2;4;Matrozenplein18; ; ;;;BUILDING template;Matrozenplein;18;;;71974,296;226080,237
KNOKKE-HEIST - FH12;297277;1;0;0;1;SDU;;Y;NA;2;4;Noordhinder16; ; ;;;BUILDING template;Noordhinder;16;;;71765,959;225577,002
KNOKKE-HEIST - FH12;4164821;1;0;0;1;SDU;;Y;NA;2;4;Knokkestraat316; ;1 Unit in CRAB en GM.;;;BUILDING template;Knokkestraat;316;;;72492;226067
KNOKKE-HEIST - FH12;2763593;1;0;0;1;SDU;;Y;NA;2;4;Matrozenplein21; ; ;;;BUILDING template;Matrozenplein;21;;;72015,166;226073,45
KNOKKE-HEIST - FH12;297278;1;0;0;1;SDU;;Y;NA;2;4;Noordhinder2; ; ;;;BUILDING template;Noordhinder;2;;;71900,756;225510,965
KNOKKE-HEIST - FH12;4191097;3;0;0;3;MDU;;Y;NA;2;4;Knokkestraat272; ;8 Units in CRAB, onduidelijk in GM.;;;BUILDING template;Knokkestraat;272;;;72309;226063
KNOKKE-HEIST - FH12;2763595;1;0;0;1;SDU;;Y;NA;2;4;Matrozenplein22; ; ;;;BUILDING template;Matrozenplein;22;;;72020,072;226072,863
KNOKKE-HEIST - FH12;297280;2;0;0;2;MDU;;Y;NA;4;4;Westkapellestraat124; ; ;;;BUILDING template;Westkapellestraat;124;;;71787,08;225615,698
KNOKKE-HEIST - FH12;4334559;35;0;0;35;MDU;;Y;NA;2;4;Knokkestraat355; ;4 Units in CRAB, 6 bussen in GM.;;;BUILDING template;Knokkestraat;355;;;72541;226089
KNOKKE-HEIST - FH12;2763596;1;0;0;1;SDU;;Y;NA;2;4;Matrozenplein23; ; ;;;BUILDING template;Matrozenplein;23;;;72025,697;226072,527
KNOKKE-HEIST - FH12;297281;1;0;0;1;SDU;;Y;NA;2;4;Westkapellestraat113; ; ;;;BUILDING template;Westkapellestraat;113;;;71835,241;225625,517
KNOKKE-HEIST - FH12;4334560;1;0;0;1;SDU;;Y;NA;2;4;Knokkestraat357; ;3 Units in CRAB, 6 bussen in GM.;;;BUILDING template;Knokkestraat;357;;;72550;226089
KNOKKE-HEIST - FH12;2763598;1;0;0;1;SDU;;Y;NA;2;4;Matrozenplein24; ; ;;;BUILDING template;Matrozenplein;24;;;72030,483;226071,822
KNOKKE-HEIST - FH12;297284;1;0;0;1;SDU;;Y;NA;2;4;Westkapellestraat153; ; ;;;BUILDING template;Westkapellestraat;153;;;71956,367;225568,836
KNOKKE-HEIST - FH12;4334562;1;0;0;1;SDU;;Y;NA;2;4;Knokkestraat359; ;1 Unit in CRAB, niet in GM.;;;BUILDING template;Knokkestraat;359;;;72559;226090
KNOKKE-HEIST - FH12;2764400;1;0;0;1;SDU;;Y;NA;2;4;Noordhinder4; ; ;;;BUILDING template;Noordhinder;4;;;71883,656;225518,698
KNOKKE-HEIST - FH12;297285;1;0;0;1;SDU;;Y;NA;2;4;Westkapellestraat176; ; ;;;BUILDING template;Westkapellestraat;176;;;71945,816;225548,041
KNOKKE-HEIST - FH12;4334591;1;0;0;1;SDU;;Y;NA;2;4;Knokkestraat230; ;1 Unit in CRAB, Onduidelijk in GM.;;;BUILDING template;Knokkestraat;230;;;72184;226076
KNOKKE-HEIST - FH12;2764403;1;0;0;1;SDU;;Y;NA;2;4;Noordhinder6; ; ;;;BUILDING template;Noordhinder;6;;;71865,67;225527,119
KNOKKE-HEIST - FH12;297346;1;0;0;1;SDU;;Y;NA;2;4;Hendrik Consciencestraat73; ; ;;;BUILDING template;Hendrik Consciencestraat;73;;;71773,231;225676,533
KNOKKE-HEIST - FH12;4334592;1;0;0;1;SDU;;Y;NA;2;4;Knokkestraat232; ;1 Unit in CRAB, Onduidelijk in GM.;;;BUILDING template;Knokkestraat;232;;;72192;226075
KNOKKE-HEIST - FH12;2764405;1;0;0;1;SDU;;Y;NA;2;4;Noordhinder8; ; ;;;BUILDING template;Noordhinder;8;;;71844,944;225535,784
KNOKKE-HEIST - FH12;297347;1;0;0;1;SDU;;Y;NA;2;4;Krommedijk6; ; ;;;BUILDING template;Krommedijk;6;;;72194,99;225550,645
KNOKKE-HEIST - FH12;4334601;1;0;0;1;SDU;;Y;NA;2;4;Knokkestraat252; ;1 Unit in CRAB en GM.;;;BUILDING template;Knokkestraat;252;;;72249;226069
KNOKKE-HEIST - FH12;2764407;1;0;0;1;SDU;;Y;NA;2;4;Noordhinder10; ; ;;;BUILDING template;Noordhinder;10;;;71825,153;225545,227
KNOKKE-HEIST - FH12;297348;1;0;0;1;SDU;;Y;NA;2;4;Krommedijk3; ; ;;;BUILDING template;Krommedijk;3;;;72263,155;225562,158
KNOKKE-HEIST - FH12;4334606;1;0;0;1;SDU;;Y;NA;2;4;Knokkestraat274; ;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Knokkestraat;274;;;72315;226063
KNOKKE-HEIST - FH12;2764408;1;0;0;1;SDU;;Y;NA;2;4;Noordhinder12; ; ;;;BUILDING template;Noordhinder;12;;;71806,141;225554,735
KNOKKE-HEIST - FH12;297349;1;0;0;1;SDU;;Y;NA;2;4;Krommedijk7; ; ;;;BUILDING template;Krommedijk;7;;;72281,197;225597,716
KNOKKE-HEIST - FH12;4334607;1;0;0;1;SDU;;Y;NA;2;4;Knokkestraat276; ;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Knokkestraat;276;;;72319;226064
KNOKKE-HEIST - FH12;2764410;1;0;0;1;SDU;;Y;NA;2;4;Noordhinder14; ; ;;;BUILDING template;Noordhinder;14;;;71784,188;225563,938
KNOKKE-HEIST - FH12;297350;0;1;0;1;SDU;;Y;NA;2;4;Krommedijk32; ; ;;;BUILDING template;Krommedijk;32;;;72198,966;225690,611
KNOKKE-HEIST - FH12;4334677;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat236; ;1 Unit in CRAB en GM.;;;BUILDING template;Pannenstraat;236;;;72046;225857
KNOKKE-HEIST - FH12;2764820;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat155; ; ;;;BUILDING template;Pannenstraat;155;;;71825,756;225903,141
KNOKKE-HEIST - FH12;297351;1;0;0;1;SDU;;Y;NA;2;4;Westkapellestraat169; ; ;;;BUILDING template;Westkapellestraat;169;;;72035,712;225579,175
KNOKKE-HEIST - FH12;4334751;1;0;0;1;SDU;;Y;NA;2;4;Knokkestraat330; ;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Knokkestraat;330;;;72525;226071
KNOKKE-HEIST - FH12;2764821;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat160; ; ;;;BUILDING template;Pannenstraat;160;;;71801,404;225890,101
KNOKKE-HEIST - FH12;297352;1;0;0;1;SDU;;Y;NA;2;4;Westkapellestraat171; ; ;;;BUILDING template;Westkapellestraat;171;;;72055,821;225545,655
KNOKKE-HEIST - FH12;4335559;1;0;0;1;SDU;;Y;NA;2;4;Laurierstraat24; ;1 Unit in CRAB en GM.;;;BUILDING template;Laurierstraat;24;;;72377;225431
KNOKKE-HEIST - FH12;2764822;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat162; ; ;;;BUILDING template;Pannenstraat;162;;;71807,242;225888,341
KNOKKE-HEIST - FH12;297353;1;0;0;1;SDU;;Y;NA;2;4;Westkapellestraat175; ; ;;;BUILDING template;Westkapellestraat;175;;;72098,923;225533,04
KNOKKE-HEIST - FH12;4335560;1;0;0;1;SDU;;Y;NA;2;4;Laurierstraat26; ;enkel in GM.;;;BUILDING template;Laurierstraat;26;;;72395;225438
KNOKKE-HEIST - FH12;2764823;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat163; ; ;;;BUILDING template;Pannenstraat;163;;;71852,706;225892,952
KNOKKE-HEIST - FH12;297354;1;0;0;1;SDU;;Y;NA;2;4;Westkapellestraat177; ; ;;;BUILDING template;Westkapellestraat;177;;;72156,639;225519,447
KNOKKE-HEIST - FH12;4335561;1;0;0;1;SDU;;Y;NA;2;4;Laurierstraat28; ;1 Unit in CRAB en GM.;;;BUILDING template;Laurierstraat;28;;;72416;225444
KNOKKE-HEIST - FH12;2764825;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat164; ; ;;;BUILDING template;Pannenstraat;164;;;71812,969;225885,031
KNOKKE-HEIST - FH12;297356;1;0;0;1;SDU;;Y;NA;2;4;Walstraat4; ; ;;;BUILDING template;Walstraat;4;;;72060,518;225565,451
KNOKKE-HEIST - FH12;4337700;1;0;0;1;SDU;;Y;NA;2;4;Emanuel Hielstraat6;Beschermd Erfgoed;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Emanuel Hielstraat;6;;;71969;225940
KNOKKE-HEIST - FH12;2764826;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat165; ; ;;;BUILDING template;Pannenstraat;165;;;71859,469;225889,904
KNOKKE-HEIST - FH12;297357;1;0;0;1;SDU;;Y;NA;2;4;Walstraat6; ; ;;;BUILDING template;Walstraat;6;;;72066,344;225583,174
KNOKKE-HEIST - FH12;4337703;1;0;0;1;SDU;;Y;NA;2;4;Emanuel Hielstraat16;Beschermd Erfgoed;1 Unit in CRAB, onduidelijk in GM.;;;BUILDING template;Emanuel Hielstraat;16;;;71950;225959
KNOKKE-HEIST - FH12;2764827;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat168; ; ;;;BUILDING template;Pannenstraat;168;;;71823,89;225880,368
KNOKKE-HEIST - FH12;297358;1;0;0;1;SDU;;Y;NA;2;4;Walstraat5; ; ;;;BUILDING template;Walstraat;5;;;72059,661;225643,905
KNOKKE-HEIST - FH12;4338509;1;0;0;1;SDU;;Y;NA;2;4;Westkapellestraat134; ;1 Unit in CRAB en GM.;;;BUILDING template;Westkapellestraat;134;;;71824;225601
KNOKKE-HEIST - FH12;2764828;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat169; ; ;;;BUILDING template;Pannenstraat;169;;;71868,202;225882,498
KNOKKE-HEIST - FH12;297359;1;0;0;1;SDU;;Y;NA;2;4;Walstraat10; ; ;;;BUILDING template;Walstraat;10;;;72090,415;225617,964
KNOKKE-HEIST - FH12;4338550;1;0;0;1;SDU;;Y;NA;2;4;Westkapellestraat159; ;1 Unit in CRAB en GM.;;;BUILDING template;Westkapellestraat;159;;;71980;225563
KNOKKE-HEIST - FH12;2764830;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat170; ; ;;;BUILDING template;Pannenstraat;170;;;71830,085;225879,215
KNOKKE-HEIST - FH12;297360;1;0;0;1;SDU;;Y;NA;2;4;Walstraat3; ; ;;;BUILDING template;Walstraat;3;;;72076,338;225651,972
KNOKKE-HEIST - FH12;4338551;1;0;0;1;SDU;;Y;NA;2;4;Westkapellestraat161; ;1 Unit in CRAB en GM.;;;BUILDING template;Westkapellestraat;161;;;71986;225561
KNOKKE-HEIST - FH12;2764831;1;0;0;1;SDU;;Y;NA;2;4;Pannenstraat172; ; ;;;BUILDING template;Pannenstraat;172;;;71836,175;225877,747
KNOKKE-HEIST - FH12;297361;1;0;0;1;SDU;;Y;NA;2;4;Weibroekstraat1; ; ;;;BUILDING template;Weibroekstraat;1;;;72105,816;225551,549
