Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
MECHELEN - FH01;6668745;1;0;0;1;SDU;;N;IRREG;2;4;;;Y;;BUILDING template;Persoonshoek;13;A;;157512;190767
MECHELEN - FH01;4740648;1;0;0;1;MDU;D;N;IRREG;2;7;;;;Sint Katelijnestraat 36: Mdu 1 lu , 1 bu( 36B) , doorgaande gevelbekabeling en aansluiting mogelijk;BUILDING template;Sint-Katelijnestraat;36;;Sint-Katelijnestraat 36-36B;157590,898;191151,54
MECHELEN - FH01;929562;0;1;0;1;SDU;;N;IRREG;3;9;;;;BE -;BUILDING template;Goswin de Stassartstraat;9;;;157784,287;191177,236
MECHELEN - FH01;3030770;2;2;0;4;MDU;D;N;IRREG;3;15;;;;BE - Gebouw in constructies;BUILDING template;Befferstraat;20;;;157984,651;190910,395
MECHELEN - FH01;901423;0;1;0;1;SDU;;N;IRREG;3;12;;;;BE - Renovatie werk en bezig;BUILDING template;Befferstraat;22;;;157990,499;190911,539
MECHELEN - FH01;905511;1;0;0;1;MDU;D;N;IRREG;4;4;;;;Vismarkt 3 lu boven de zaak eigendom van de brouwerij, toegang via de zaak;BUILDING template;Vismarkt;3;;Vismarkt 1-3;157541;190725
MECHELEN - FH01;3035637;0;1;0;1;SDU;;N;IRREG;3;10;;;;Grootbrug  2 4 6 : sdu  boven 4  leegstaand gn ingang;BUILDING template;Grootbrug;6;;;157634,356;190654,189
MECHELEN - FH01;905638;0;1;0;1;SDU;;N;IRREG;4;12;;;;Grootbrug 8 sdu  kantoor op  0  en 1   lu  zou ingang hebben via nauwstraat 5;BUILDING template;Grootbrug;8;;;157629,122;190648,646
MECHELEN - FH01;3042686;0;1;0;1;SDU;;N;IRREG;4;12;;;;BE -;BUILDING template;Grote Markt;27;;;157839,916;190832,779
MECHELEN - FH01;3042688;0;1;0;1;SDU;;N;IRREG;4;12;;;;BE -;BUILDING template;Grote Markt;28;;;157832,952;190833,692
MECHELEN - FH01;3042692;0;1;0;1;SDU;;N;IRREG;4;12;;;;BE -;BUILDING template;Grote Markt;30;;;157819,022;190835,968
MECHELEN - FH01;3042694;0;1;0;1;SDU;;N;IRREG;5;4;;;;BE -;BUILDING template;Grote Markt;31;;;157810,691;190837,052
MECHELEN - FH01;3042702;0;1;0;1;MDU;D;N;IRREG;4;14;;;;Grote markt 37-38  mdu  1 bu 1 lu  doorgaande gevelbekabeling en aansluitingen mogelijk.;BUILDING template;Grote Markt;37;;Grote Markt 37-38;157790,779;190853,199
MECHELEN - FH01;898131;1;0;0;1;SDU;;N;IRREG;3;9;;;;;BUILDING template;Van Hoeystraat;15;;;157920,042;191299,867
