Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Building comment;Crab Comment;Opdrachttemplate;Building exists;Straat;Huisnummer;Huisnummer Toevoeging;BG Name
MECHELEN - FH02;3944124;4;0;0;4;MDU;B;N;GLASS;3;;nagekeken;;BUILDING template;;Moensstraat;17;;
MECHELEN - FH02;3036061;0;1;0;1;MDU;D;N;GLASS;3;9;QD met een riser aangezien het anders een QB is doordat de telco room buiten is.;;BUILDING template;;Hanswijkstraat;51;;Hanswijkstraat_49_51
MECHELEN - FH02;3992281;2;0;0;2;MDU;B;N;GLASS;3;;"nagekeken; opmerking : geen inside info(foto), geen contactgegevens";;BUILDING template;;Stationsstraat;19;;
MECHELEN - FH02;336416;4;2;1;7;MDU;B;N;GLASS;7;4;;;BUILDING template;;Leopoldstraat;74;;Leopoldstraat_74_76
MECHELEN - FH02;4758927;6;1;0;7;MDU;X;N;GLASS;7;;In aanbouw - En construction;;BUILDING template;;Leopoldstraat;76;;Leopoldstraat_74_76
MECHELEN - FH02;10986;5;2;1;8;MDU;B;N;GLASS;5;;;;BUILDING template;;Hendrik Speecqvest;2;;
MECHELEN - FH02;3047964;1;4;1;6;MDU;X;N;GLASS;5;;"nagekeken; opm; : bij 'details eenheden staat lu bij verd.2 en 3 ipv bu";;BUILDING template;;Schuttersvest;22;;
MECHELEN - FH02;3044998;0;1;1;2;SDU;;N;IRREG;3;9;;;BUILDING template;;Onze-Lieve-Vrouwekerkhof;11;;
MECHELEN - FH02;3045055;1;0;0;1;SDU;;N;IRREG;4;;_;;BUILDING template;;Onze-Lieve-Vrouwestraat;23;;
MECHELEN - FH02;6454207;1;0;0;1;SDU;;N;IRREG;4;;_;;BUILDING template;;Stationsstraat;53;C;
MECHELEN - FH02;6454208;1;0;0;1;SDU;;N;IRREG;4;;_;;BUILDING template;;Stationsstraat;53;A;
MECHELEN - FH02;4759381;7;0;0;7;MDU;B;N;IRREG;4;;Geen schachten  enkel weggewerkt flex wachtbuizen.  Eigenaar wil geen opbouw. Enkel BDFO plaatsen;;BUILDING template;;Hanswijkstraat;47;;
MECHELEN - FH02;4759382;2;0;1;3;MDU;D;N;IRREG;4;;Units zijn via de gevel bereikbaar met behulp van riser.;;BUILDING template;;Hanswijkstraat;49;;Hanswijkstraat_49_51
MECHELEN - FH02;383274;8;1;1;10;MDU;X;N;IRREG;9;;nagekeken;;BUILDING template;;Leopoldstraat;11;;
MECHELEN - FH02;5364853;0;3;0;3;MDU;;N;IRREG;4;;;;BUILDING template;;Stationsstraat;53;;
MECHELEN - FH02;354064;0;1;1;2;SDU;;N;IRREG;4;12;;;BUILDING template;;Hendrik Consciencestraat;3;;
MECHELEN - FH02;3040923;14;0;0;14;MDU;B;N;IRREG;5;15;nagekeken;;BUILDING template;;Leopoldstraat;82;;
MECHELEN - FH02;3050737;11;1;0;12;MDU;A;N;IRREG;7;;;;BUILDING template;;Van Benedenlaan;14;;Van Benedenlaan_14_16
MECHELEN - FH02;3050741;12;1;1;14;MDU;A;N;IRREG;8;;nagekeken;;BUILDING template;;Van Benedenlaan;16;;Van Benedenlaan_14_16
MECHELEN - FH02;3050754;0;1;0;1;SDU;;N;IRREG;6;;;;BUILDING template;;Van Benedenlaan;26;;
MECHELEN - FH02;3050758;9;0;0;9;MDU;X;N;IRREG;7;;nagekeken;;BUILDING template;;Van Benedenlaan;28;;
MECHELEN - FH02;3047956;8;0;1;9;MDU;X;N;IRREG;7;;nagekeken;;BUILDING template;;Schuttersvest;16;;
MECHELEN - FH02;3045040;0;1;0;1;SDU;;N;MON;3;;;;BUILDING template;;Onze-Lieve-Vrouwestraat;5;;
MECHELEN - FH02;3048496;1;0;0;1;SDU;D;N;MON;2;;MON_;;BUILDING template;;Sint-Jacobstraat;62;;
MECHELEN - FH02;354324;0;1;0;1;SDU;;N;MON;1;3;MON_;;BUILDING template;;Coxiestraat;1;;
MECHELEN - FH02;387454;1;0;0;1;SDU;D;N;MON;3;;MON_;;BUILDING template;;Kardinaal Mercierplein;4;;
MECHELEN - FH02;3050915;1;0;0;1;SDU;D;N;IRREG;3;3;;;BUILDING template;;Van Kerckhovenstraat;15;;
MECHELEN - FH02;3944214;7;1;0;8;MDU;B;N;IRREG;3;9;;;BUILDING template;;Van Kerckhovenstraat;17;;
MECHELEN - FH02;3048047;1;0;0;1;SDU;;N;IRREG;2;6;;;BUILDING template;;Schuttersvest;92;A;
MECHELEN - FH02;405390;0;1;0;1;SDU;;N;IRREG;3;12;Gebouw gerenoveerd en geen kabels meer op de gevel;;BUILDING template;Y;Hanswijkstraat;1;;Hanswijkstraat_1_3_5
MECHELEN - FH02;3036017;4;2;0;6;MDU;B;N;IRREG;3;12;"nagekeken; Gebouw gerenoveerd en geen kabels meer op de gevel";;BUILDING template;Y;Hanswijkstraat;3;;Hanswijkstraat_1_3_5
MECHELEN - FH02;3045054;0;1;0;1;SDU;;N;IRREG;4;12;;;BUILDING template;;Onze-Lieve-Vrouwestraat;21;;
MECHELEN - FH02;393887;0;1;1;2;SDU;;N;IRREG;3;9;;;BUILDING template;;Lange Nieuwstraat;40;;
MECHELEN - FH02;3045056;3;1;1;5;MDU;XC;N;IRREG;4;12;Floorboxen niet nodig.;;BUILDING template;;Onze-Lieve-Vrouwestraat;25;;
MECHELEN - FH02;5764071;0;5;2;7;MDU;F;N;IRREG;5;15;Gebouw al voorzien van een glasvezelnetwerk dat vertrekt vanuit het datacenter;;BUILDING template;;Van Kerckhovenstraat;2;;
MECHELEN - FH02;3049044;0;3;2;5;MDU;F;N;IRREG;4;18;Kantoorruimtes te huur;;BUILDING template;;Stationsstraat;55;;
MECHELEN - FH02;336410;0;1;0;1;SDU;;N;IRREG;3;9;;;BUILDING template;;Van Kerckhovenstraat;19;;
MECHELEN - FH02;402676;1;0;0;1;SDU;D;N;IRREG;3;10;;;BUILDING template;;Stationsstraat;1;;
MECHELEN - FH02;4758936;11;2;1;14;MDU;XC;N;IRREG;5;15;;;BUILDING template;;Van Kerckhovenstraat;14;;Residentie Stephenson
MECHELEN - FH02;4758935;9;0;1;10;MDU;XC;N;IRREG;5;15;;;BUILDING template;;Van Kerckhovenstraat;12;;Residentie Stephenson
MECHELEN - FH02;336412;9;0;1;10;MDU;XC;N;IRREG;5;15;;;BUILDING template;;Van Kerckhovenstraat;10;;Residentie Stephenson
MECHELEN - FH02;5862148;11;0;1;12;MDU;XA;N;IRREG;6;4;;;BUILDING template;;Van Kerckhovenstraat;8;;Residentie Stephenson
MECHELEN - FH02;3048998;2;1;0;3;MDU;X;N;IRREG;4;12;nagekeken;;BUILDING template;;Stationsstraat;11;;
MECHELEN - FH02;354054;0;1;0;1;SDU;;N;IRREG;3;9;BE_Leegstaand. W momenteel in gewerkt. Hoogstwaarschijnlijk  een bu zoals de andere kant van het gebouw.;;BUILDING template;;Arsenaalstraat;2;;
MECHELEN - FH02;4761542;0;1;0;1;SDU;;N;IRREG;2;4;_;;BUILDING template;;Onze-Lieve-Vrouwestraat;117;;
MECHELEN - FH02;354898;0;1;0;1;SDU;;N;IRREG;5;14;;;BUILDING template;;Leopoldstraat;2;;
MECHELEN - FH02;3040843;3;1;0;4;MDU;B;N;IRREG;4;10;"nagekeken; opmerking : reden Qb?";;BUILDING template;;Leopoldstraat;3;;
MECHELEN - FH02;388934;0;1;0;1;SDU;;N;IRREG;3;4;_;;BUILDING template;;Onze-Lieve-Vrouwestraat;121;;
MECHELEN - FH02;403242;0;1;0;1;SDU;;N;IRREG;4;4;_;;BUILDING template;;Raghenoplein;19;;
MECHELEN - FH02;354045;0;1;2;3;SDU;;N;IRREG;4;15;;;BUILDING template;;Stationsstraat;51;;
MECHELEN - FH02;165;0;1;2;3;SDU;;N;IRREG;5;15;;;BUILDING template;;Stationsstraat;58;;
MECHELEN - FH02;5602921;2;1;1;4;MDU;B;N;IRREG;3;10;nagekeken;;BUILDING template;;Leopoldstraat;37;;
MECHELEN - FH02;3045143;0;1;0;1;SDU;;N;IRREG;3;12;;;BUILDING template;;Onze-Lieve-Vrouwestraat;115;;
MECHELEN - FH02;3045149;1;1;0;2;MDU;C;N;IRREG;3;12;Wachtbuizen met trekkoord;;BUILDING template;;Onze-Lieve-Vrouwestraat;119;;
MECHELEN - FH02;10978;0;2;0;2;MDU;B;N;IRREG;4;10;nagekeken;;BUILDING template;;Onze-Lieve-Vrouwestraat;123;;
MECHELEN - FH02;3040897;1;0;1;2;SDU;D;N;IRREG;3;9;;;BUILDING template;;Leopoldstraat;59;;
MECHELEN - FH02;335265;1;0;0;1;SDU;D;N;IRREG;1;3;BE_;;BUILDING template;;Colomastraat;2;;
MECHELEN - FH02;3040909;11;3;1;15;MDU;B;N;IRREG;3;9;BE_nagekeken;;BUILDING template;;Leopoldstraat;70;;
MECHELEN - FH02;335251;1;1;0;2;MDU;D;N;IRREG;3;9;;;BUILDING template;;Leopoldstraat;77;;
MECHELEN - FH02;3050697;1;0;0;1;SDU;;N;IRREG;3;9;;;BUILDING template;;Vaartdijk;53;;
MECHELEN - FH02;371059;1;0;0;1;SDU;D;N;IRREG;3;9;;;BUILDING template;;Vaartdijk;54;;
