Projectnummer;errors;Opdrachtnummer;Blok;Cluster NR;Building FID;LAM MK;BG Id;BG Name;BG Name IFH;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;Q IFH;SSV Date;Surveyor;Buildingtype;NR BU;NR LU;NR SU;UNITS TOTAL;NR BU GM;NR LU GM;NR SU GM;UNITS TOTAL GM;IFH_BU;IFH_LU;IFH_SU;IFH_TOTAAL;OPMERKINGEN;Wall Mount;Wall Mount IFH;Opdrachttemplate
ROESELARE - FH03;Units su diff;1254382;BL0327;;102804;1254382;9941388;Botermarkt 21-23;Botermarkt 21-23;Botermarkt;23;;D;;2018-02-21;Michael MILTENAERE;MDU;0;4;2;6;0;4;0;4;0;4;0;4;Niet duidelijk of hier SU's zijn. Surveyor mocht niet binnen maar ik denk het niet;Y;Y;BUILDING template
ROESELARE - FH03;Units total diff;1254382;BL0327;;102804;1254382;9941388;Botermarkt 21-23;Botermarkt 21-23;Botermarkt;23;;D;;2018-02-21;Michael MILTENAERE;MDU;0;4;2;6;0;4;0;4;0;4;0;4;Niet duidelijk of hier SU's zijn. Surveyor mocht niet binnen maar ik denk het niet;Y;Y;BUILDING template
ROESELARE - FH03;Units total diff;1364158;BL0321;;4707772;1364158;37748644;Botermarkt 26A-26B;Botermarkt 26A-26B;Botermarkt;26;B;A;;2020-03-11;olivier collignon;MDU;2;12;1;15;2;12;1;15;2;12;2;16;;N;N;BUILDING template
ROESELARE - FH03;Units su diff;1364158;BL0321;;4707772;1364158;37748644;Botermarkt 26A-26B;Botermarkt 26A-26B;Botermarkt;26;B;A;;2020-03-11;olivier collignon;MDU;2;12;1;15;2;12;1;15;2;12;2;16;;N;N;BUILDING template
ROESELARE - FH03;Units total diff;5453178;BL0326;;6610398;5453178;7777784;Delaerestraat 11-11A;Delaerestraat 11-11A;Delaerestraat;11;A;D;;2020-03-05;olivier collignon;MDU;0;1;0;1;0;1;0;1;0;2;0;2;;Y;Y;BUILDING template
ROESELARE - FH03;Units lu diff;5453178;BL0326;;6610398;5453178;7777784;Delaerestraat 11-11A;Delaerestraat 11-11A;Delaerestraat;11;A;D;;2020-03-05;olivier collignon;MDU;0;1;0;1;0;1;0;1;0;2;0;2;;Y;Y;BUILDING template
ROESELARE - FH03;Units total diff;876593;BL0326;;5051546;876593;7777784;Delaerestraat 11-11A;Delaerestraat 11-11A;Delaerestraat;11;;D;;2020-03-05;olivier collignon;MDU;0;3;0;3;0;3;0;3;0;1;0;1;;Y;Y;BUILDING template
ROESELARE - FH03;Units lu diff;876593;BL0326;;5051546;876593;7777784;Delaerestraat 11-11A;Delaerestraat 11-11A;Delaerestraat;11;;D;;2020-03-05;olivier collignon;MDU;0;3;0;3;0;3;0;3;0;1;0;1;;Y;Y;BUILDING template
ROESELARE - FH03;Units lu diff;1255037;BL0305;;103402;1255037;8903186;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;Hippoliet Spilleboutdreef;56;;C;;2019-12-30;Peter Cremers;MDU;0;8;1;9;;;;;0;1;0;1;Building in opbouw. Units nog te bepalen;N;N;BUILDING template
ROESELARE - FH03;Units total diff;1255037;BL0305;;103402;1255037;8903186;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;Hippoliet Spilleboutdreef;56;;C;;2019-12-30;Peter Cremers;MDU;0;8;1;9;;;;;0;1;0;1;Building in opbouw. Units nog te bepalen;N;N;BUILDING template
ROESELARE - FH03;Units su diff;1255037;BL0305;;103402;1255037;8903186;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;Hippoliet Spilleboutdreef;56;;C;;2019-12-30;Peter Cremers;MDU;0;8;1;9;;;;;0;1;0;1;Building in opbouw. Units nog te bepalen;N;N;BUILDING template
ROESELARE - FH03;Units lu diff;877077;BL0305;;93887;877077;8903186;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;Meensesteenweg;181;;C;;2020-01-28;Peter Cremers;MDU;0;8;1;9;;;;;0;30;2;32;Building in opbouw. Units nog te bepalen;N;Y;BUILDING template
ROESELARE - FH03;Units total diff;877077;BL0305;;93887;877077;8903186;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;Meensesteenweg;181;;C;;2020-01-28;Peter Cremers;MDU;0;8;1;9;;;;;0;30;2;32;Building in opbouw. Units nog te bepalen;N;Y;BUILDING template
ROESELARE - FH03;Units su diff;877077;BL0305;;93887;877077;8903186;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;Meensesteenweg;181;;C;;2020-01-28;Peter Cremers;MDU;0;8;1;9;;;;;0;30;2;32;Building in opbouw. Units nog te bepalen;N;Y;BUILDING template
ROESELARE - FH03;Units lu diff;877078;BL0305;;93888;877078;8903186;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;Meensesteenweg;179;;C;;2020-01-28;Peter Cremers;MDU;0;8;1;9;;;;;1;0;0;1;Building in opbouw. Units nog te bepalen;N;Y;BUILDING template
ROESELARE - FH03;Units su diff;877078;BL0305;;93888;877078;8903186;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;Hippoliet Spilleboutdreef 56-58_Meensesteenweg 179-181;Meensesteenweg;179;;C;;2020-01-28;Peter Cremers;MDU;0;8;1;9;;;;;1;0;0;1;Building in opbouw. Units nog te bepalen;N;Y;BUILDING template
