Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos;Fiberhood
SCHAERBEEK - FH03;1673581;4;0;0;4;MDU;;Y;NA;3;3;;"Volgens PXS 2 units; 4 bussen op GM";Y;_;BUILDING template;Topaaslaan;5;;;151646,832;171402,917;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;26240;29;0;2;31;MDU;;Y;NA;8;6;;;Y;_;BUILDING template;Milcampslaan;145;;Diamantlaan 94_Milcampslaan 145;151853,819;171246,778;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673584;5;0;0;5;MDU;;Y;NA;4;3;;"Volgens PXS 4 units; op GM vermoedelijk 5";Y;_;BUILDING template;Topaaslaan;7;;Topaaslaan 7-7A;151654,467;171399,926;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671533;2;0;0;2;MDU;;Y;NA;3;3;;"Volgens PXS 2 units; op GM 1 bus";Y;_;BUILDING template;Milcampslaan;146;;;151842,099;171326,459;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;4119545;4;0;0;4;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;Topaaslaan;8;;Topaaslaan 8-10;151648,17;171429,679;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671534;1;0;0;1;SDU;;Y;NA;3;3;;;Y;_;BUILDING template;Milcampslaan;148;;;151843,639;171331,999;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673585;4;0;0;4;MDU;;Y;NA;5;3;;"Volgens PXS 4 units; op GM 1 bus";Y;_;BUILDING template;Topaaslaan;9;;;151659,471;171399,523;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671535;5;0;0;5;MDU;;Y;NA;5;3;;;Y;_;BUILDING template;Milcampslaan;149;;;151858,019;171258,868;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1673587;3;0;0;3;MDU;;Y;NA;4;6;;;Y;_;BUILDING template;Topaaslaan;11;;;151665,251;171398,037;W03-C-Schaerbeek-FH03
SCHAERBEEK - FH03;1671536;1;0;0;1;SDU;;Y;NA;3;6;;;Y;_;BUILDING template;Milcampslaan;150;;;151844,979;171336,719;W03-C-Schaerbeek-FH03
