Projectnummer;Opdrachtnummer;NR LU;NR BU;NR SU;UNITS TOTAL;Buildingtype;Quadrant;Wall Mount;SS Reason;Number Floors;Height Cable;Perceel eigenschap;Crab Comment;Building exists;Building comment;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;BG Name;xPos;yPos
SINT-NIKLAAS - FH02;3504323;2;1;0;3;MDU;D;Y;NA;3;4;;;Y;;BUILDING template;Mercatorstraat;9;;;134268,777;206725,623
SINT-NIKLAAS - FH02;56065;1;0;0;1;SDU;;Y;NA;2;6;;;Y;;BUILDING template;Mercatorstraat;147;;;134741,874;206520,239
SINT-NIKLAAS - FH02;3484838;0;1;0;1;SDU;;Y;NA;3;4;;;Y;;BUILDING template;Ankerstraat;63;;;134410,979;206220,094
SINT-NIKLAAS - FH02;3517646;1;0;0;1;SDU;;Y;NA;2;6;;;Y;;BUILDING template;Veldstraat;29;;;134607,744;206040,345
SINT-NIKLAAS - FH02;3500266;1;0;0;1;SDU;;Y;NA;2;6;;;Y;;BUILDING template;Knaptandstraat;26;;;134235,327;205602,14
SINT-NIKLAAS - FH02;3486978;1;0;0;1;SDU;;Y;NA;2;7;;;Y;;BUILDING template;Brugsken;34;;;135003,198;205670,353
SINT-NIKLAAS - FH02;4449124;1;0;0;1;SDU;;Y;NA;2;7;;;;;BUILDING template;Mercatorstraat;11;;;134283,887;206717,986
SINT-NIKLAAS - FH02;3504491;10;0;1;11;MDU;XA;N;HEIGHT;6;18;;;Y;;BUILDING template;Mercatorstraat;151;;Mercatorstraat 149-151;134750,387;206516,829
SINT-NIKLAAS - FH02;3484840;5;1;0;6;MDU;D;Y;NA;3;4;;;Y;1LU achteraan bereikbaar via poort (12m). Bij activatie van LU0102 dient de dropkabel via voorgesteld tracé van DTPF naar LU;BUILDING template;Ankerstraat;65;;Ankerstraat 65-67;134429,406;206224,311
SINT-NIKLAAS - FH02;3517649;1;0;0;1;SDU;;N;HEIGHT;2;5;;;Y;;BUILDING template;Veldstraat;31;;;134611,812;206041,794
SINT-NIKLAAS - FH02;3500269;1;0;0;1;SDU;;N;ORN;3;9;;;Y;;BUILDING template;Knaptandstraat;28;;;134240,828;205593,938
SINT-NIKLAAS - FH02;3486980;1;0;0;1;SDU;;Y;NA;3;7;;;Y;;BUILDING template;Brugsken;36;;;135007,296;205668,463
SINT-NIKLAAS - FH02;3504327;0;1;0;1;SDU;;N;IRREG;3;9;;;;;BUILDING template;Mercatorstraat;13;;;134291,682;206714,036
SINT-NIKLAAS - FH02;3484842;4;0;1;5;MDU;D;Y;NA;4;4;;;Y;;BUILDING template;Ankerstraat;69;;;134441,814;206228,888
SINT-NIKLAAS - FH02;3517654;1;0;0;1;SDU;;N;IRREG;2;6;;;Y;;BUILDING template;Veldstraat;33;;;134624,413;206045,26
SINT-NIKLAAS - FH02;3948699;2;0;0;2;MDU;D;Y;NA;3;9;;;Y;;BUILDING template;Knaptandstraat;30;;;134244,836;205586,055
SINT-NIKLAAS - FH02;1513567;8;0;0;8;MDU;D;Y;NA;4;4;;;Y;;BUILDING template;Brugsken;38;;;135013,526;205664,91
