Projectnummer;LAM MK;Building FID;SSV Date;BUILDING KEY;Blok;Straat;Huisnummer;Huisnummer Toevoeging;LU KEY;VCA;M1;M2A;M2B;M3A;M3B;M4A;M4B;M5A;M5B;M5C;M6A;M6B;M6C;B1 construction start;B2 construction end;Opdrachttemplate
HASSELT - FH04;2423994;;;2423994;BL0401;Kuringersteenweg;170;A;10734710;OK;2019-10-09;;;;;;;;;;;;;2020-02-15;2020-06-17;(L/B/S)U template
HASSELT - FH04;2423994;;;2423994;BL0401;Kuringersteenweg;170;A;10736842;OK;2019-10-09;;;;;;;;;;;;;2020-02-15;2020-06-17;(L/B/S)U template
HASSELT - FH04;2423994;;;2423994;BL0401;Kuringersteenweg;170;A;11131976;OK;2019-10-09;;;;;;;;;;;;;2020-02-15;2020-06-17;(L/B/S)U template
HASSELT - FH04;2423994;;;2423994;BL0401;Kuringersteenweg;170;A;11198530;OK;2019-10-09;;;;;;;;;;;;;2020-02-15;2020-06-17;(L/B/S)U template
HASSELT - FH04;4882284;;;4882284;BL0415;Armand Hertzstraat;38;;11198536;OK;2019-10-23;;;;;;;;;;;;;2020-01-14;2020-05-17;(L/B/S)U template
HASSELT - FH04;4882284;;;4882284;BL0415;Armand Hertzstraat;38;;1175152;OK;2019-10-23;;;;;;;;;;;;;2020-01-14;2020-05-17;(L/B/S)U template
HASSELT - FH04;4882284;;;4882284;BL0415;Armand Hertzstraat;38;;1175224;OK;2019-10-23;;;;;;;;;;;;;2020-01-14;2020-05-17;(L/B/S)U template
HASSELT - FH04;4882284;;;4882284;BL0415;Armand Hertzstraat;38;;1175176;OK;2019-10-23;;;;;;;;;;;;;2020-01-14;2020-05-17;(L/B/S)U template
HASSELT - FH04;4882284;;;4882284;BL0415;Armand Hertzstraat;38;;1175225;OK;2019-10-23;;;;;;;;;;;;;2020-01-14;2020-05-17;(L/B/S)U template
HASSELT - FH04;4882284;;;4882284;BL0415;Armand Hertzstraat;38;;1175226;OK;2019-10-23;;;;;;;;;;;;;2020-01-14;2020-05-17;(L/B/S)U template
HASSELT - FH04;3937366;;;3937366;BL0410;Heilig-Hartplein;16;;1160461;OK;2019-11-07;;;;;;;;;;;;;2019-11-18;2020-05-02;(L/B/S)U template
HASSELT - FH04;3937366;;;3937366;BL0410;Heilig-Hartplein;16;;11121051;OK;2019-11-07;;;;;;;;;;;;;2019-11-18;2020-05-02;(L/B/S)U template
HASSELT - FH04;3937448;;;3937448;BL0408;Kuringersteenweg;3;;1171587;OK;2019-10-18;;;;;;;;;;;;;2020-01-13;2020-05-10;(L/B/S)U template
HASSELT - FH04;3937448;;;3937448;BL0408;Kuringersteenweg;3;;10733689;OK;2019-10-18;;;;;;;;;;;;;2020-01-13;2020-05-10;(L/B/S)U template
HASSELT - FH04;3937448;;;3937448;BL0408;Kuringersteenweg;3;;10733690;OK;2019-10-18;;;;;;;;;;;;;2020-01-13;2020-05-10;(L/B/S)U template
HASSELT - FH04;3937448;;;3937448;BL0408;Kuringersteenweg;3;;10733691;OK;2019-10-18;;;;;;;;;;;;;2020-01-13;2020-05-10;(L/B/S)U template
HASSELT - FH04;3937448;;;3937448;BL0408;Kuringersteenweg;3;;10733692;OK;2019-10-18;;;;;;;;;;;;;2020-01-13;2020-05-10;(L/B/S)U template
HASSELT - FH04;3937448;;;3937448;BL0408;Kuringersteenweg;3;;10733693;OK;2019-10-18;;;;;;;;;;;;;2020-01-13;2020-05-10;(L/B/S)U template
HASSELT - FH04;701128;;;701128;BL0410;Heilig-Hartplein;15;;1159342;OK;2019-11-07;;;;;;;;;;;;;2019-11-18;2020-05-02;(L/B/S)U template
HASSELT - FH04;701128;;;701128;BL0410;Heilig-Hartplein;15;;1159346;OK;2019-11-07;;;;;;;;;;;;;2019-11-18;2020-05-02;(L/B/S)U template
HASSELT - FH04;701128;;;701128;BL0410;Heilig-Hartplein;15;;1159379;OK;2019-11-07;;;;;;;;;;;;;2019-11-18;2020-05-02;(L/B/S)U template
HASSELT - FH04;701128;;;701128;BL0410;Heilig-Hartplein;15;;1159386;OK;2019-11-07;;;;;;;;;;;;;2019-11-18;2020-05-02;(L/B/S)U template
HASSELT - FH04;701128;;;701128;BL0410;Heilig-Hartplein;15;;1159396;OK;2019-11-07;;;;;;;;;;;;;2019-11-18;2020-05-02;(L/B/S)U template
HASSELT - FH04;701128;;;701128;BL0410;Heilig-Hartplein;15;;1159397;OK;2019-11-07;;;;;;;;;;;;;2019-11-18;2020-05-02;(L/B/S)U template
HASSELT - FH04;701128;;;701128;BL0410;Heilig-Hartplein;15;;1159398;OK;2019-11-07;;;;;;;;;;;;;2019-11-18;2020-05-02;(L/B/S)U template
HASSELT - FH04;701128;;;701128;BL0410;Heilig-Hartplein;15;;1159399;OK;2019-11-07;;;;;;;;;;;;;2019-11-18;2020-05-02;(L/B/S)U template
HASSELT - FH04;701128;;;701128;BL0410;Heilig-Hartplein;15;;1159433;OK;2019-11-07;;;;;;;;;;;;;2019-11-18;2020-05-02;(L/B/S)U template
