Projectnummer;LAM MK;Building FID;SSV Date;BUILDING KEY;Blok;LU KEY;VCA;M1;M2A;M2B;M3A;M3B;M4A;M4B;M5A;M5B;M5C;M6A;M6B;M6C;B1 construction start;B2 construction end;Opdrachttemplate
KNOKKE - FH01;2762740;;;2762740;;11289030;PENDING;2019-09-17;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
KNOKKE - FH01;2765043;;;2765043;;11294293;NOK;2019-10-24;;;;;;;;;;;;;2019-10-24;2024-12-31;(L/B/S)U template
KNOKKE - FH01;239613;;;239613;BL0125;8356922;PENDING;2019-12-03;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
KNOKKE - FH01;321046;;;321046;BL0115;8354486;PENDING;2019-09-07;;;;;;;;;;;;;2019-11-04;2020-02-19;(L/B/S)U template
KNOKKE - FH01;333279;;;333279;BL0111;10554904;PENDING;2019-08-31;;;;;;;;;;;;;2019-09-09;2020-12-21;(L/B/S)U template
KNOKKE - FH01;336610;;;336610;BL0117;8332889;;2019-09-22;;;;;;;;;;;;;2019-11-25;2020-03-08;(L/B/S)U template
KNOKKE - FH01;1486957;;;1486957;BL0114;8348641;PENDING;2019-08-26;;;;;;;;;;;;;2019-10-24;2020-02-23;(L/B/S)U template
KNOKKE - FH01;2759905;;;2759905;BL0119;8359842;;2019-09-29;;;;;;;;;;;;;2019-12-02;2021-01-15;(L/B/S)U template
KNOKKE - FH01;2763124;;;2763124;BL0125;8344483;PENDING;2019-09-02;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
KNOKKE - FH01;2765063;;;2765063;BL0124;8364259;;2019-11-02;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2765496;;;2765496;BL0111;8364125;OK;2019-09-24;;;;;;;;;;;;;2019-09-09;2020-12-21;(L/B/S)U template
KNOKKE - FH01;2766292;;;2766292;BL0102;8344897;;2019-02-04;;;;;;;;;;;;;2019-08-26;2020-01-19;(L/B/S)U template
KNOKKE - FH01;4226906;;;4226906;BL0119;8343983;;2019-11-02;;;;;;;;;;;;;2019-12-02;2021-01-30;(L/B/S)U template
KNOKKE - FH01;5579533;;;5579533;BL0124;8335524;;2019-12-03;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2763030;;;2763030;;11282476;OK;2019-09-18;;;;;;;;;;;;;2019-11-22;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2765043;;;2765043;;11294294;NOK;2019-10-24;;;;;;;;;;;;;2019-10-24;2024-12-31;(L/B/S)U template
KNOKKE - FH01;239613;;;239613;BL0125;8361403;PENDING;2019-09-07;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
KNOKKE - FH01;321046;;;321046;BL0115;8359067;PENDING;2019-08-31;;;;;;;;;;;;;2019-11-04;2020-02-19;(L/B/S)U template
KNOKKE - FH01;333279;;;333279;BL0111;10554971;PENDING;2019-09-22;;;;;;;;;;;;;2019-09-09;2020-12-21;(L/B/S)U template
KNOKKE - FH01;336610;;;336610;BL0117;8350114;;2019-08-26;;;;;;;;;;;;;2019-11-25;2020-03-08;(L/B/S)U template
KNOKKE - FH01;1486957;;;1486957;BL0114;8348642;PENDING;2019-09-29;;;;;;;;;;;;;2019-10-24;2020-02-23;(L/B/S)U template
KNOKKE - FH01;2759905;;;2759905;BL0119;8359843;;2019-08-11;;;;;;;;;;;;;2019-12-02;2021-01-15;(L/B/S)U template
KNOKKE - FH01;2763015;;;2763015;BL0121;11139285;;2019-09-02;;;;;;;;;;;;;2019-11-18;2021-01-09;(L/B/S)U template
KNOKKE - FH01;2763124;;;2763124;BL0125;8344484;PENDING;2019-11-02;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
KNOKKE - FH01;2765063;;;2765063;BL0124;8364260;;2019-02-04;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2765496;;;2765496;BL0111;8364126;OK;2019-09-24;;;;;;;;;;;;;2019-09-09;2020-12-21;(L/B/S)U template
KNOKKE - FH01;2766292;;;2766292;BL0102;8358492;;2019-11-02;;;;;;;;;;;;;2019-08-26;2020-01-19;(L/B/S)U template
KNOKKE - FH01;4229237;;;4229237;BL0116;8357697;;2019-09-26;;;;;;;;;;;;;2019-11-13;2021-02-01;(L/B/S)U template
KNOKKE - FH01;5579533;;;5579533;BL0124;8335525;;2019-12-03;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2763034;;;2763034;;11282477;PENDING;2019-09-07;;;;;;;;;;;;;2019-11-22;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2765043;;;2765043;;11294295;NOK;2019-10-24;;;;;;;;;;;;;2019-10-24;2024-12-31;(L/B/S)U template
KNOKKE - FH01;239613;;;239613;BL0125;8365729;PENDING;2019-08-31;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
KNOKKE - FH01;321046;;;321046;BL0115;8359068;PENDING;2019-08-26;;;;;;;;;;;;;2019-11-04;2020-02-19;(L/B/S)U template
KNOKKE - FH01;333279;;;333279;BL0111;10556195;PENDING;2019-09-02;;;;;;;;;;;;;2019-09-09;2020-12-21;(L/B/S)U template
KNOKKE - FH01;338415;;;338415;BL0114;8364433;;2019-11-02;;;;;;;;;;;;;2019-10-24;2020-03-09;(L/B/S)U template
KNOKKE - FH01;1486957;;;1486957;BL0114;8352812;PENDING;2019-11-02;;;;;;;;;;;;;2019-10-24;2020-02-23;(L/B/S)U template
KNOKKE - FH01;2763019;;;2763019;BL0121;8355861;;2019-09-26;;;;;;;;;;;;;2019-11-18;2021-01-09;(L/B/S)U template
KNOKKE - FH01;2763124;;;2763124;BL0125;8348869;PENDING;2019-12-03;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
KNOKKE - FH01;2765063;;;2765063;BL0124;8364261;;2019-09-07;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2765497;;;2765497;BL0110;8340863;;2019-08-31;;;;;;;;;;;;;2019-11-25;2020-06-29;(L/B/S)U template
KNOKKE - FH01;2766626;;;2766626;BL0103;8364127;;2019-08-08;;;;;;;;;;;;;2019-09-05;2020-03-23;(L/B/S)U template
KNOKKE - FH01;4230519;;;4230519;BL0102;8335688;;2019-08-26;;;;;;;;;;;;;2019-08-26;2020-02-03;(L/B/S)U template
KNOKKE - FH01;5579533;;;5579533;BL0124;8335526;;2019-07-19;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2763034;;;2763034;;11282478;PENDING;2019-09-02;;;;;;;;;;;;;2019-11-22;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2765043;;;2765043;;11294296;NOK;2019-10-24;;;;;;;;;;;;;2019-10-24;2024-12-31;(L/B/S)U template
KNOKKE - FH01;239613;;;239613;BL0125;8365730;PENDING;2019-10-12;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
KNOKKE - FH01;321046;;;321046;BL0115;8359069;PENDING;2019-09-24;;;;;;;;;;;;;2019-11-04;2020-02-19;(L/B/S)U template
KNOKKE - FH01;333279;;;333279;BL0111;10557680;PENDING;2019-11-02;;;;;;;;;;;;;2019-09-09;2020-12-21;(L/B/S)U template
KNOKKE - FH01;338419;;;338419;BL0114;8337337;PENDING;2019-09-26;;;;;;;;;;;;;2019-10-24;2020-02-23;(L/B/S)U template
KNOKKE - FH01;1486957;;;1486957;BL0114;8352813;PENDING;2019-12-03;;;;;;;;;;;;;2019-10-24;2020-02-23;(L/B/S)U template
KNOKKE - FH01;2759944;;;2759944;BL0109;8362142;;2019-09-07;;;;;;;;;;;;;2019-08-30;2020-02-03;(L/B/S)U template
KNOKKE - FH01;2763020;;;2763020;BL0121;8348398;;2019-08-31;;;;;;;;;;;;;2019-11-18;2021-01-09;(L/B/S)U template
KNOKKE - FH01;2763124;;;2763124;BL0125;8353039;PENDING;2019-08-08;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
KNOKKE - FH01;2765066;;;2765066;BL0120;8346269;PENDING;2019-08-26;;;;;;;;;;;;;2019-10-24;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2765498;;;2765498;BL0111;8334835;;2019-09-14;;;;;;;;;;;;;2019-09-09;2020-12-21;(L/B/S)U template
KNOKKE - FH01;2766628;;;2766628;BL0105;8357798;;2019-09-02;;;;;;;;;;;;;2019-09-18;2020-12-05;(L/B/S)U template
KNOKKE - FH01;4233994;;;4233994;BL0102;8362780;;2019-10-12;;;;;;;;;;;;;2019-08-26;2020-02-03;(L/B/S)U template
KNOKKE - FH01;5579533;;;5579533;BL0124;8335527;;2019-09-24;;;;;;;;;;;;;2019-11-12;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2763034;;;2763034;;11282479;PENDING;2019-11-02;;;;;;;;;;;;;2019-11-22;2020-07-15;(L/B/S)U template
KNOKKE - FH01;2765054;;;2765054;;11294340;PENDING;2019-10-24;;;;;;;;;;;;;2019-10-24;2020-07-15;(L/B/S)U template
KNOKKE - FH01;239613;;;239613;BL0125;11079247;PENDING;2019-09-26;;;;;;;;;;;;;2019-10-21;2020-06-14;(L/B/S)U template
KNOKKE - FH01;321046;;;321046;BL0115;8359070;PENDING;2019-09-07;;;;;;;;;;;;;2019-11-04;2020-02-19;(L/B/S)U template
KNOKKE - FH01;333279;;;333279;BL0111;11078987;PENDING;2019-08-31;;;;;;;;;;;;;2019-09-09;2020-12-21;(L/B/S)U template
KNOKKE - FH01;338419;;;338419;BL0114;8341482;PENDING;2019-08-08;;;;;;;;;;;;;2019-10-24;2020-02-23;(L/B/S)U template
KNOKKE - FH01;1486957;;;1486957;BL0114;8357875;PENDING;2019-11-08;;;;;;;;;;;;;2019-10-24;2020-02-23;(L/B/S)U template
