Projectnummer;LAM MK;Building FID;SSV Date;Quadrant;TSA SIGNED;BUILDING KEY;Blok;LU KEY;VCA;M1;M2A;M2B;M3A;M3B;M4A;M4B;M5A;M5B;M5C;M6A;M6B;M6C;B1 construction start;B2 construction end;Opdrachttemplate
KNOKKE-HEIST - FH11;292551;20975961;2020-01-09 16:25:16;C;OK;292551;BL1128;292551;OK;2020-01-09;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;2761613;20975131;2020-01-09 17:15:17;C;OK;2761613;BL1120;2761613;OK;2020-01-09;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;2764732;20975425;2020-01-08 09:10:16;C;OK;2764732;BL1113;2764732;OK;2020-01-08;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;302532;1804521;2020-01-04 12:55:10;A;OK;302532;BL1119;302532;OK;2020-01-04;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;2760369;20974952;2020-01-04 13:20:14;C;OK;2760369;BL1105;2760369;OK;2020-01-04;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;3939663;20976368;2020-02-09 14:35:14;C;OK;3939663;BL1106;3939663;OK;2020-02-09;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;2763774;20975273;2020-01-12 10:50:13;XA;OK;2763774;BL1107;2763774;OK;2020-01-12;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;2761589;1800263;2020-01-04 09:45:13;XA;OK;2761589;BL1117;2761589;OK;2020-01-04;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;2766614;20975631;2020-01-08 08:40:16;XC;OK;2766614;BL1127;2766614;OK;2020-01-08;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;301971;20976280;2019-10-14 12:01:44;XA;PENDING;301971;BL1107;301971;PENDING;2019-10-14;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;301973;20976281;2019-10-14 10:40:13;XA;PENDING;301973;BL1108;301973;PENDING;2019-10-14;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;2763760;20975254;2019-10-14 10:50:24;XA;PENDING;2763760;BL1108;2763760;PENDING;2019-10-14;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;2763764;20975261;2019-10-14 11:25:17;XA;PENDING;2763764;BL1108;2763764;PENDING;2019-10-14;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;2763768;20975263;2019-10-14 12:45:20;XA;PENDING;2763768;BL1107;2763768;PENDING;2019-10-14;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;4337564;21255653;2019-10-14;;;4337564;BL1107;4337564;;2019-10-14;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;3939619;21255656;2019-10-14;;;3939619;BL1108;3939619;;2019-10-14;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;301975;21255657;2019-10-14;XA;PENDING;301975;BL1108;301975;PENDING;2019-10-14;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;9879;20976823;2020-01-23 09:45:29;D;;9879;BL1131;9879;;2020-01-23;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;9881;20976824;;;;9881;BL1132;9881;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71449;20976735;2020-01-03 11:45:21;XC;PENDING;71449;BL1110;71449;PENDING;2020-01-03;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71625;20976736;;;;71625;BL1114;71625;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71641;20976737;;;;71641;BL1114;71641;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71642;20976738;2020-02-21 13:45:26;XC;PENDING;71642;BL1114;71642;PENDING;2020-02-21;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71643;21256232;;;;71643;BL1114;71643;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71644;20976739;;;;71644;BL1114;71644;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71646;21256422;;;;71646;BL1114;71646;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71647;20976740;;;;71647;BL1114;71647;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71648;21256409;2020-03-10 15:30:17;XA;PENDING;71648;BL1114;71648;PENDING;2020-03-10;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71650;20976741;;;;71650;BL1112;71650;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71651;20976742;;;;71651;BL1112;71651;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71652;21256419;2020-02-13 15:55:14;D;;71652;BL1113;71652;;2020-02-13;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71653;20976743;;;;71653;BL1114;71653;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71654;20976744;;;;71654;BL1114;71654;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71655;20976745;;;;71655;BL1114;71655;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71656;20976746;;;;71656;BL1114;71656;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71663;21256058;2020-01-31 15:40:20;XC;PENDING;71663;BL1109;71663;PENDING;2020-01-31;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71664;20976748;2020-03-10 14:50:09;XA;PENDING;71664;BL1108;71664;PENDING;2020-03-10;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71665;20976749;2020-03-09 12:20:10;XC;PENDING;71665;BL1113;71665;PENDING;2020-03-09;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71666;20976750;;;;71666;BL1125;71666;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71668;20976751;2020-03-15 11:05:06;D;;71668;BL1113;71668;;2020-03-15;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71670;20976752;2020-01-03 11:45:21;XC;PENDING;71670;BL1110;71670;PENDING;2020-01-03;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71671;20976753;;;;71671;BL1110;71671;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71672;20976754;2020-03-10 14:50:09;XA;PENDING;71672;BL1108;71672;PENDING;2020-03-10;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71673;20976755;2020-02-24 14:15:22;D;;71673;BL1110;71673;;2020-02-24;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71674;20976756;2020-02-08 16:50:13;D;;71674;BL1110;71674;;2020-02-08;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71676;20976757;;;;71676;BL1113;71676;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71677;20976758;;;;71677;BL1113;71677;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71678;20976759;;;;71678;BL1112;71678;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71680;20976760;;;;71680;BL1111;71680;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71681;20976761;2020-02-08 16:55:13;D;;71681;BL1111;71681;;2020-02-08;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71682;20976762;;;;71682;BL1110;71682;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71683;20976763;;;;71683;BL1111;71683;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71684;20976764;2020-01-23 12:35:26;D;;71684;BL1111;71684;;2020-01-23;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71686;20976765;2020-02-08 17:05:12;D;;71686;BL1111;71686;;2020-02-08;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71687;20976766;;;;71687;BL1111;71687;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71688;20976767;2020-02-08 17:35:11;D;;71688;BL1112;71688;;2020-02-08;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71690;20976768;2020-02-08 17:35:11;D;;71690;BL1112;71690;;2020-02-08;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71692;20976769;;;;71692;BL1114;71692;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71693;20976770;;;;71693;BL1114;71693;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71694;20976771;;;;71694;BL1114;71694;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71695;20976772;;;;71695;BL1114;71695;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71696;20976802;;;;71696;BL1114;71696;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71697;20976803;;;;71697;BL1114;71697;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71716;20976804;2020-01-23 12:20:30;D;;71716;BL1111;71716;;2020-01-23;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71717;20976805;;;;71717;BL1111;71717;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71719;20976806;;;;71719;BL1112;71719;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71720;20976807;2020-03-10 15:30:17;XA;PENDING;71720;BL1114;71720;PENDING;2020-03-10;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71722;20976808;2020-03-10 15:30:15;XA;PENDING;71722;BL1115;71722;PENDING;2020-03-10;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71723;20976809;2020-02-07 09:20:32;XA;PENDING;71723;BL1115;71723;PENDING;2020-02-07;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71724;20976810;;;;71724;BL1114;71724;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71725;20976811;;;;71725;BL1114;71725;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71726;20976812;;;;71726;BL1114;71726;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71727;20976813;;;;71727;BL1114;71727;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71728;20976814;;;;71728;BL1114;71728;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71730;20976815;2020-01-30 16:15:21;XC;PENDING;71730;BL1108;71730;PENDING;2020-01-30;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;71752;20976816;;;;71752;BL1125;71752;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71753;20976817;;;;71753;BL1113;71753;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71754;20976818;;;;71754;BL1113;71754;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71755;20976819;2020-02-09 16:05:12;;;71755;BL1114;71755;;2020-02-09;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71756;20976820;;;;71756;BL1114;71756;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71757;20976821;;;;71757;BL1114;71757;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;71758;20976822;;;;71758;BL1114;71758;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292449;21256496;;C;PENDING;292449;BL1102;292449;PENDING;;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;292475;20975921;2020-01-23 10:35:19;D;;292475;BL1101;292475;;2020-01-23;;;;;;;;;;;;;2020-06-03;2021-01-30;BUILDING template
KNOKKE-HEIST - FH11;292496;20975922;;;;292496;BL1130;292496;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
KNOKKE-HEIST - FH11;292498;20975923;;;;292498;BL1130;292498;;;;;;;;;;;;;;;2020-06-03;2021-02-14;BUILDING template
