Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;LAM MK;Opdrachttemplate
ANTWERPEN-WEST - FH11;Cockerillkaai;16;;2000;Antwerpen;151463;211297;NB-200016dc2010;NB-200016dc2010;BUILDING template
ANTWERPEN-WEST - FH11;Cockerillkaai;17;;2000;Antwerpen;151465,96;211308,58;NB-20001701222;NB-20001701222;BUILDING template
ANTWERPEN-WEST - FH11;Cockerillkaai;20;;2000;Antwerpen;151447;211279;NB-20002001223;NB-20002001223;BUILDING template
ANTWERPEN-WEST - FH11;Cockerillkaai;24;;2000;Antwerpen;151433,46;211263,71;NB-20002401224;NB-20002401224;BUILDING template
ANTWERPEN-WEST - FH11;Cockerillkaai;25;;2000;Antwerpen;151415,98;211240,02;NB-20002501225;NB-20002501225;BUILDING template
ANTWERPEN-WEST - FH11;Cockerillkaai;28;;2000;Antwerpen;151406,16;211220,13;NB-20002801226;NB-20002801226;BUILDING template
ANTWERPEN-WEST - FH11;Cockerillkaai;29;;2000;Antwerpen;151402,84;211215,84;NB-20002901227;NB-20002901227;BUILDING template
ANTWERPEN-WEST - FH11;Cockerillkaai;30;;2000;Antwerpen;151411,16;211220,13;NB-20003001228;NB-20003001228;BUILDING template
ANTWERPEN-WEST - FH11;Cockerillkaai;31;;2000;Antwerpen;151411,16;211220,13;NB-20003101397;NB-20003101397;BUILDING template
ANTWERPEN-WEST - FH11;Cockerillkaai;33;;2000;Antwerpen;151411,16;211220,13;NB-20003301399;NB-20003301399;BUILDING template
ANTWERPEN-WEST - FH11;Cockerillkaai;35;;2000;Antwerpen;151411,16;211220,13;NB-20003501398;NB-20003501398;BUILDING template
