Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate
ANTWERPEN-WEST - FH08;;NB-20008867c79;Schoytestraat;8;;;152126;211680;MDU;;2;0;0;2;N;ORN;3;;_;;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-200077bd0b31;Schoytestraat;77;;;"	152310";211625;MDU;;0;1;0;1;Y;NA;3;;_;;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-200010899f19;Arenbergstraat;10;;;152611;211691;MDU;;5;1;0;6;Y;NA;4;;_;;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-200022819b03;Sleutelstraat;22;;;"	152207";211803;SDU;;0;1;0;1;Y;NA;4;;Review Required;;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-200072d3672;Zwaardstraat;7;;;"	152214";211837;MDU;;3;0;0;3;N;ORN;4;;_;;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-2000444c6912;Bredestraat;44;;;"	152308";211580;SDU;;0;1;0;1;Y;NA;3;;_;;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-200038b22215;Bredestraat;38;;;"	152300";211595;MDU;;6;0;0;6;Y;NA;4;;_;;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-2000140e9661;Bredestraat;14;;;"	152314";211653;MDU;;6;0;0;6;Y;NA;4;;_;;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-200012609613;Bredestraat;12;;;"	152326";211659;MDU;;6;0;0;6;Y;NA;4;;_;;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-200044f74156;Begijnenstraat;44;;;152248;211423;SDU;;1;0;0;1;Y;NA;3;;_;;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-200046a0c424;Begijnenstraat;46;;;152247;211418;SDU;;1;0;0;1;Y;NA;3;;_;;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-200046100732;Aalmoezenierstraat;46;1;;"	152179";211561;SDU;;1;0;0;1;N;ORN;3;;_;Y;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-200046200733;Aalmoezenierstraat;46;2;;"	152179";211562;SDU;;1;0;0;1;N;ORN;3;;_;Y;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-200046400734;Aalmoezenierstraat;46;4;;"	152179";211563;MDU;;0;2;0;2;Y;NA;2;;_;Y;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-2000500735;Aalmoezenierstraat;5;;;152110;211617;SDU;;1;0;0;1;Y;NA;2;;;Y;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-200046600736;Aalmoezenierstraat;46;6;;"	152179";211564;SDU;;1;0;0;1;Y;NA;3;;_;Y;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-200046700737;Aalmoezenierstraat;46;7;;"	152179";211565;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-200046800738;Aalmoezenierstraat;46;8;;"	152179";211566;SDU;;1;0;0;1;Y;NA;2;;;Y;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-200046800739;Aalmoezenierstraat;46;5;;"	152179";211567;SDU;;1;0;0;1;Y;NA;2;;;Y;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-200046900740;Aalmoezenierstraat;46;9;;"	152179";211568;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template
ANTWERPEN-WEST - FH08;;NB-200046100741;Aalmoezenierstraat;46;11;;"	152179";211569;SDU;;1;0;0;1;Y;NA;2;;_;Y;;BUILDING template
