LAM MK;xPos;yPos
NB-20001401764;151737;210838
NB-20001601765;151734;210833
NB-20002101766;151736;210795
NB-20003401767;151801;210747
NB-20001401768;152282;210990
NB-20002801769;152234;210968
NB-20003401770;152216;210957
NB-20003601771;152211;210953
NB-20003802021;152190;210945
NB-20006401774;152102;210899
NB-20006801775;152092;210891
NB-20008601776;152001;210848
NB-200010201777;151925;210807
NB-200015202022;151731;210709
NB-200016401779;151644;210663
NB-200020001780;151489;210584
NB-200020801781;151462;210569
NB-20001701782;151540;210626
NB-2000101783;151875;210823
NB-20002801784;151802;210853
NB-2000401785;152360;211074
NB-20001101786;152379;211109
NB-20001201787;152403;211092
NB-20001301788;152383;211111
NB-20001401789;152409;211098
NB-20001601790;152420;211106
NB-20001801791;152428;211110
NB-20002301792;152405;211121
NB-20003001793;152457;211127
NB-20003901794;152453;211145
NB-200040A01795;152501;211150
NB-20004701796;152488;211165
NB-20005301797;152504;211171
NB-200054A01798;152540;211169
NB-20006002023;152570;211183
NB-20006301800;152530;211185
NB-20006502024;152534;211187
NB-200068A02025;152586;211193
NB-20007001803;152589;211194
NB-20009801804;152633;211319
NB-2000103B01805;152620;211337
NB-200010501806;152622;211345
NB-2000107A01807;152624;211354
NB-2000107B01808;152625;211357
NB-200011101809;152632;211367
NB-2000301810;152609;211213
NB-20005B01812;152613;211208
NB-2000501811;152612;211210
NB-20001101813;152620;211196
NB-20001701814;152632;211179
NB-20001101815;151982;210840
NB-20004B01816;152680;211238
NB-20001201817;152649;211204
NB-20002001818;152634;211181
NB-20002201819;152617;211165
NB-20004001820;152547;211126
NB-200070A01821;152428;211065
NB-20008401822;152388;211048
NB-20009001823;152375;211039
NB-20009201824;152372;211036
NB-20009401825;152366;211033
NB-20007A01826;151927;211020
NB-200049A01827;152085;211039
NB-200049B01828;152092;211040
NB-20009A01829;152028;211088
NB-20001901830;152033;211059
NB-20005901831;152044;210915
NB-20006001832;152023;210900
NB-2000501833;151456;210840
NB-20002501834;151470;210783
NB-20002601835;151445;210793
NB-20002701836;151469;210780
NB-20002802026;151447;210786
NB-20002902027;151469;210778
NB-20003002028;151448;210781
NB-20003402029;151447;210789
NB-20003602030;151449;210784
NB-20003802031;151450;210780
NB-20004002032;151451;210768
NB-20004202033;151451;210774
NB-20004401845;151452;210771
NB-20004601846;151452;210768
NB-20004801847;151453;210764
NB-20005001848;151452;210759
NB-20005201849;151454;210754
NB-20005401850;151457;210733
NB-2000201851;151514;210757
NB-20004A01852;151509;210752
NB-20004101853;151422;210582
NB-20004301854;151419;210578
NB-20004501855;151413;210572
NB-20005A02034;151999;211315
NB-2000601857;151978;211282
NB-200012A02035;151977;211262
NB-20001301859;152004;211291
NB-200019A01860;152007;211271
NB-20002502036;152010;211254
NB-20002702037;152010;211250
NB-20003402091;151987;211202
NB-20004302093;152012;211204
NB-20004501865;152012;211200
NB-2000901866;151415;210844
NB-20001101867;151414;210838
NB-20001502041;151413;210828
NB-20001702042;151412;210821
NB-200021A02043;151405;210785
NB-200021C01871;151405;210780
NB-200023A02044;151404;210776
NB-200025A02047;151404;210773
NB-200025C01875;151402;210767
NB-20002502046;151402;210762
NB-200035B01876;151390;210679
NB-20006101877;151378;210611
NB-20006501878;151377;210600
NB-20006701879;151374;210591
NB-20007101880;151373;210584
NB-20002102048;151700;210858
NB-200045A01882;151688;210793
NB-200045B01883;151688;210792
NB-200057A02049;151680;210758
NB-20001A02050;152453;211336
NB-20001401886;152441;211291
NB-200023A01887;152472;211248
NB-20002701888;152475;211235
NB-200056A01889;152473;211105
