Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;LAM MK;Opdrachttemplate
KNOKKE-HEIST - FH08;Acacialaan;2;A;8300;Knokke-Heist;73452;226345;NB-83002A01543;NB-83002A01543;BUILDING template
KNOKKE-HEIST - FH08;Acacialaan;24;A;8300;Knokke-Heist;73623;226356;NB-830024A01544;NB-830024A01544;BUILDING template
KNOKKE-HEIST - FH08;Acacialaan;24;B;8300;Knokke-Heist;73624;226352;NB-830024B01545;NB-830024B01545;BUILDING template
KNOKKE-HEIST - FH08;Acacialaan;41;;8300;Knokke-Heist;73884;226405;NB-83004101546;NB-83004101546;BUILDING template
KNOKKE-HEIST - FH08;Beiaardlaan;11;;8300;Knokke-Heist;73688;226449;NB-83001101547;NB-83001101547;BUILDING template
KNOKKE-HEIST - FH08;Eeuwfeestlaan;44;;8300;Knokke-Heist;73869;226470;NB-83004401548;NB-83004401548;BUILDING template
KNOKKE-HEIST - FH08;Eeuwfeestlaan;46;;8300;Knokke-Heist;73883;226452;NB-83004601549;NB-83004601549;BUILDING template
KNOKKE-HEIST - FH08;Eeuwfeestlaan;48;;8300;Knokke-Heist;73911;226433;NB-83004801550;NB-83004801550;BUILDING template
KNOKKE-HEIST - FH08;Elizabetlaan;184;;8300;Knokke-Heist;73775;226813;NB-830018401551;NB-830018401551;BUILDING template
KNOKKE-HEIST - FH08;Elizabetlaan;194;;8300;Knokke-Heist;73668;226761;NB-830019401552;NB-830019401552;BUILDING template
KNOKKE-HEIST - FH08;Elizabetlaan;207;;8300;Knokke-Heist;73731;226851;NB-830020701553;NB-830020701553;BUILDING template
KNOKKE-HEIST - FH08;Elizabetlaan;208;;8300;Knokke-Heist;73525;226701;NB-830020801554;NB-830020801554;BUILDING template
KNOKKE-HEIST - FH08;Elizabetlaan;216;;8300;Knokke-Heist;73416;226654;NB-830021601555;NB-830021601555;BUILDING template
KNOKKE-HEIST - FH08;Elizabetlaan;218;;8300;Knokke-Heist;73377;226637;NB-830021801556;NB-830021801556;BUILDING template
KNOKKE-HEIST - FH08;Jozef Nellenslaan;50;;8300;Knokke-Heist;73391;226738;NB-83005001557;NB-83005001557;BUILDING template
KNOKKE-HEIST - FH08;Jozef Nellenslaan;51;;8300;Knokke-Heist;73334;226759;NB-83005101558;NB-83005101558;BUILDING template
KNOKKE-HEIST - FH08;Jozef Nellenslaan;87;;8300;Knokke-Heist;73456;226830;NB-83008701559;NB-83008701559;BUILDING template
KNOKKE-HEIST - FH08;Jozef Nellenslaan;91;;8300;Knokke-Heist;73495;226853;NB-83009101560;NB-83009101560;BUILDING template
KNOKKE-HEIST - FH08;Jozef Nellenslaan;92;;8300;Knokke-Heist;73697;226884;NB-83009201561;NB-83009201561;BUILDING template
KNOKKE-HEIST - FH08;Jozef Nellenslaan;93;;8300;Knokke-Heist;73514;226851;NB-83009301562;NB-83009301562;BUILDING template
KNOKKE-HEIST - FH08;Kapellaan;3;;8300;Knokke-Heist;73722;226728;NB-8300301563;NB-8300301563;BUILDING template
KNOKKE-HEIST - FH08;Kapellaan;5;;8300;Knokke-Heist;73719;226712;NB-8300501564;NB-8300501564;BUILDING template
KNOKKE-HEIST - FH08;Kapellaan;41;;8300;Knokke-Heist;73751;226484;NB-83004101565;NB-83004101565;BUILDING template
KNOKKE-HEIST - FH08;Kwelmpad;2;;8300;Knokke-Heist;73743;226558;NB-8300201566;NB-8300201566;BUILDING template
KNOKKE-HEIST - FH08;Lentelaan;5;;8300;Knokke-Heist;73326;226790;NB-8300501567;NB-8300501567;BUILDING template
KNOKKE-HEIST - FH08;Lentelaan;9;;8300;Knokke-Heist;73326;226782;NB-8300901568;NB-8300901568;BUILDING template
KNOKKE-HEIST - FH08;Lentelaan;15;;8300;Knokke-Heist;73326;226766;NB-83001501569;NB-83001501569;BUILDING template
KNOKKE-HEIST - FH08;Meerlaan;149;;8300;Knokke-Heist;73734;226989;NB-830014901570;NB-830014901570;BUILDING template
KNOKKE-HEIST - FH08;Paul Van der Meerschenlaan;1;;8300;Knokke-Heist;73396;226839;NB-8300101571;NB-8300101571;BUILDING template
KNOKKE-HEIST - FH08;Paul Van der Meerschenlaan;3;;8300;Knokke-Heist;73410;226827;NB-8300301572;NB-8300301572;BUILDING template
KNOKKE-HEIST - FH08;Paul Van der Meerschenlaan;6;;8300;Knokke-Heist;73377;226818;NB-8300601573;NB-8300601573;BUILDING template
KNOKKE-HEIST - FH08;Paul Van der Meerschenlaan;14;;8300;Knokke-Heist;73452;226749;NB-83001401574;NB-83001401574;BUILDING template
KNOKKE-HEIST - FH08;Rozenlaan;1;;8300;Knokke-Heist;73568;226900;NB-8300101575;NB-8300101575;BUILDING template
KNOKKE-HEIST - FH08;Rozenlaan;2;;8300;Knokke-Heist;73538;226884;NB-8300201576;NB-8300201576;BUILDING template
KNOKKE-HEIST - FH08;Rozenlaan;12;;8300;Knokke-Heist;73538;226778;NB-83001201633;NB-83001201633;BUILDING template
KNOKKE-HEIST - FH08;Wilderozenpad;2;;8300;Knokke-Heist;73759;226423;NB-8300201578;NB-8300201578;BUILDING template
