Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;LAM MK;Opdrachttemplate
MECHELEN - FH01;Begijnenstraat;11;;2800;Mechelen;157689;190842;NB-28001101752;NB-28001101752;BUILDING template
MECHELEN - FH01;Biest;2;A;2800;Mechelen;157982;191152;NB-28002Ad863;NB-28002Ad863;BUILDING template
MECHELEN - FH01;Désiré Boucherystraat;28;;2800;Mechelen;157957;190759;NB-2800280aa765;NB-2800280aa765;BUILDING template
MECHELEN - FH01;Frederik de Merodestraat;40;;2800;Mechelen;157968;191143;NB-28004001753;NB-28004001753;BUILDING template
MECHELEN - FH01;Geitestraat;11;A;2800;Mechelen;157802;190789;NB-280011A8740;NB-280011A8740;BUILDING template
MECHELEN - FH01;Geitestraat;27;B;2800;Mechelen;157836;190774;NB-280027B1b79;NB-280027B1b79;BUILDING template
MECHELEN - FH01;Goswin de Stassartstraat;29;A;2800;Mechelen;157799;191262;NB-280029A4526;NB-280029A4526;BUILDING template
MECHELEN - FH01;Grote Markt;17;A;2800;Mechelen;157874;190908;NB-280017A8020;NB-280017A8020;BUILDING template
MECHELEN - FH01;Lange Schipstraat;76;A;2800;Mechelen;157836;190426;NB-280076A0a43;NB-280076A0a43;BUILDING template
MECHELEN - FH01;Persoonshoek;13;A;2800;Mechelen;157512;190767;NB-280013A01754;NB-280013A01754;BUILDING template
MECHELEN - FH01;Schaalstraat;12;;2800;Mechelen;157731;190669;NB-28001201756;NB-28001201756;BUILDING template
MECHELEN - FH01;Schaalstraat;14;;2800;Mechelen;157744;190685;NB-28001401757;NB-28001401757;BUILDING template
MECHELEN - FH01;Schaalstraat;8;B;2800;Mechelen;157741;190683;NB-28008B01755;NB-28008B01755;BUILDING template
MECHELEN - FH01;Thaborstraat;29;;2800;Mechelen;157422;190889;NB-280029196b31;NB-280029196b31;BUILDING template
MECHELEN - FH01;Thaborstraat;55;;2800;Mechelen;157371;190937;NB-28005501758;NB-28005501758;BUILDING template
MECHELEN - FH01;Thaborstraat;57;;2800;Mechelen;157367;190940;NB-28005701759;NB-28005701759;BUILDING template
MECHELEN - FH01;Vismarkt;3;;2800;Mechelen;157541;190725;NB-28003c79a66;NB-28003c79a66;BUILDING template
MECHELEN - FH01;Wollemarkt;13;;2800;Mechelen;157718;191086;NB-28001301760;NB-28001301760;BUILDING template
MECHELEN - FH01;Zakstraat;17;A;2800;Mechelen;158016;190857;NB-280017A01761;NB-280017A01761;BUILDING template
