Projectnummer;Straat;Huisnummer;Huisnummer Toevoeging;Postcode;Plaats;xPos;yPos;Opdrachtnummer;LAM MK;Opdrachttemplate
SINT-NIKLAAS - FH02;Ankerstraat;116;;9100;Sint-Niklaas;134521;206371;NB-910011675182;NB-910011675182;BUILDING template
SINT-NIKLAAS - FH02;Kalkstraat;40;A;9100;Sint-Niklaas;134368;206070;NB-910040A71057;NB-910040A71057;BUILDING template
SINT-NIKLAAS - FH02;Kalkstraat;40;B;9100;Sint-Niklaas;134373;206067;NB-910040B91566;NB-910040B91566;BUILDING template
SINT-NIKLAAS - FH02;Lodewijk De Meesterstraat;118;;9100;Sint-Niklaas;134930;206031;NB-910011829121;NB-910011829121;BUILDING template
SINT-NIKLAAS - FH02;Mercatorstraat;48;A;9100;Sint-Niklaas;134433;206678;NB-910048A54626;NB-910048A54626;BUILDING template
SINT-NIKLAAS - FH02;Mercatorstraat;48;B;9100;Sint-Niklaas;134438;206689;NB-910048B47517;NB-910048B47517;BUILDING template
SINT-NIKLAAS - FH02;Mercatorstraat;58;;9100;Sint-Niklaas;134466;206669;NB-91005870955;NB-91005870955;BUILDING template
SINT-NIKLAAS - FH02;Mercatorstraat;69;A;9100;Sint-Niklaas;134494;206623;NB-910069A39694;NB-910069A39694;BUILDING template
SINT-NIKLAAS - FH02;Prins Albertstraat;38;A;9100;Sint-Niklaas;134298;206621;NB-910038A56251;NB-910038A56251;BUILDING template
SINT-NIKLAAS - FH02;Sint-Rochushof;2;;9100;Sint-Niklaas;134703;206437;NB-910029ecc29;NB-910029ecc29;BUILDING template
SINT-NIKLAAS - FH02;Sint-Rochushof;4;;9100;Sint-Niklaas;134701;206435;NB-91004f4f160;NB-91004f4f160;BUILDING template
SINT-NIKLAAS - FH02;Sint-Rochushof;5;;9100;Sint-Niklaas;134701;206438;NB-91005be1527;NB-91005be1527;BUILDING template
SINT-NIKLAAS - FH02;Sint-Rochushof;6;;9100;Sint-Niklaas;134706;206441;NB-910060d9b98;NB-910060d9b98;BUILDING template
SINT-NIKLAAS - FH02;Sint-Rochushof;7;;9100;Sint-Niklaas;134706;206437;NB-9100761b247;NB-9100761b247;BUILDING template
SINT-NIKLAAS - FH02;Sint-Rochushof;8;;9100;Sint-Niklaas;134704;206440;NB-9100899f894;NB-9100899f894;BUILDING template
SINT-NIKLAAS - FH02;Sint-Rochushof;9;;9100;Sint-Niklaas;134705;206432;NB-91009d0d147;NB-91009d0d147;BUILDING template
SINT-NIKLAAS - FH02;Stationsplein;30;A;9100;Sint-Niklaas;134290;206779;NB-910030Aa065;NB-910030Aa065;BUILDING template
SINT-NIKLAAS - FH02;Stationsplein;30;A;9100;Sint-Niklaas;134290;206779;NB-910030A9c43;NB-910030A9c43;BUILDING template
SINT-NIKLAAS - FH02;Truweelstraat;7;B;9100;Sint-Niklaas;134595;206500;NB-91007B59551;NB-91007B59551;BUILDING template
SINT-NIKLAAS - FH02;Truweelstraat;29;A;9100;Sint-Niklaas;134618;206566;NB-910029A86752;NB-910029A86752;BUILDING template
SINT-NIKLAAS - FH02;Truweelstraat;29;B;9100;Sint-Niklaas;134622;206564;NB-910029B71731;NB-910029B71731;BUILDING template
SINT-NIKLAAS - FH02;Truweelstraat;29;C;9100;Sint-Niklaas;134627;206562;NB-910029C42465;NB-910029C42465;BUILDING template
SINT-NIKLAAS - FH02;Truweelstraat;68;A;9100;Sint-Niklaas;134643;206687;NB-910068A11751;NB-910068A11751;BUILDING template
SINT-NIKLAAS - FH02;Truweelstraat;68;B;9100;Sint-Niklaas;134637;206688;NB-910068B90310;NB-910068B90310;BUILDING template
SINT-NIKLAAS - FH02;Veldstraat;88;A;9100;Sint-Niklaas;134791;206114;NB-910088A40512;NB-910088A40512;BUILDING template
SINT-NIKLAAS - FH02;Veldstraat;88;B;9100;Sint-Niklaas;134800;206116;NB-910088B75107;NB-910088B75107;BUILDING template
SINT-NIKLAAS - FH02;Vermorgenstraat;30;A;9100;Sint-Niklaas;134378;206675;NB-910030A09000;NB-910030A09000;BUILDING template
