Projectnummer;Building FID;BG Name;LAM MK;LU Key;Opdrachttemplate;Quadrant;Straat;Huisnummer;Huisnummer Toevoeging;Prov Status;Prov Reason;Prov Status LU;Prov Reason LU;Wall Mount;Height Cable;SS Reason
ANTWERPEN-WEST - FH04;651142;;1957487;1957487;BUILDING template;D;Jezusstraat;28;;B;BOWN;;;Y;6;NA
ANTWERPEN-WEST - FH04;690679;;3918205;3918205;BUILDING template;C;Ambtmanstraat;3;;B;BOWN;;;N;3;MON
ANTWERPEN-WEST - FH04;12736403;;6525300;6525300;BUILDING template;D;Lange Klarenstraat;19;;B;BOWN;;;Y;3;NA
ANTWERPEN-WEST - FH04;628793;;1749598;1749598;BUILDING template;D;Blindestraat;12;;B;BOWN;;;Y;5;NA
ANTWERPEN-WEST - FH04;725162;;962182;962182;BUILDING template;D;Lange Nieuwstraat;42;;B;BOWN;;;Y;4;NA
ANTWERPEN-WEST - FH04;613050;;110160;110160;BUILDING template;D;Frankrijklei;6;;B;BOWN;;;Y;6;NA
ANTWERPEN-WEST - FH04;613157;;110409;110409;BUILDING template;C;Otto Veniusstraat;3;;B;BOWN;;;N;6;MON
ANTWERPEN-WEST - FH04;613048;;110158;110158;BUILDING template;C;Frankrijklei;14;;B;BOWN;;;N;5;IRREG
ANTWERPEN-WEST - FH04;689252;;2068365;2068365;BUILDING template;D;Sint-Katelijnevest;55;;B;BOWN;;;Y;5;NA
ANTWERPEN-WEST - FH04;13455893;;110156;110156;BUILDING template;C;Frankrijklei;38;;B;BOWN;;;N;4;IRREG
ANTWERPEN-WEST - FH04;613046;;110153;110153;BUILDING template;D;Kipdorpvest;1;;B;BOWN;;;Y;3;NA
ANTWERPEN-WEST - FH04;12736373;;6390549;6390549;BUILDING template;D;Kipdorpvest;5;;B;BOWN;;;Y;4;NA
