Projectnummer;Building FID;BG Name;LAM MK;LU Key;Opdrachttemplate;Straat;Huisnummer;Huisnummer Toevoeging;Prov Status;Prov Reason;Prov Status LU;Prov Reason LU;Quadrant;Wall Mount;Height Cable;SS Reason
KNOKKE-HEIST - FH04;21158479;;2759451;2759451;BUILDING template;Ebbestraat;8;;B;BOWN;;;X;Y;5;NA
KNOKKE-HEIST - FH04;25756363;Kustlaan 63-65;5579422;5579422;BUILDING template;Kustlaan;65;;B;BOWN;;;X;N;3;HEIGHT
KNOKKE-HEIST - FH04;25756373;;2762369;2762369;BUILDING template;Kustlaan;113;;B;BOWN;;;X;Y;3;NA
KNOKKE-HEIST - FH04;21158526;;2762409;2762409;BUILDING template;Kustlaan;151;;B;BOWN;;;X;N;4;HEIGHT
KNOKKE-HEIST - FH04;21158764;;5905413;5905413;BUILDING template;Zeedijk-Het Zoute;757;B;B;BOWN;;;X;N;4;HEIGHT
KNOKKE-HEIST - FH04;21158535;;2762474;2762474;BUILDING template;Kustlaan;201;;B;BOWN;;;X;N;5;IRREG
KNOKKE-HEIST - FH04;21158542;;2762489;2762489;BUILDING template;Kustlaan;229;;B;BOWN;;;X;N;4;IRREG
KNOKKE-HEIST - FH04;21158700;Kustlaan 63-65;335104;335104;BUILDING template;Kustlaan;63;;B;BOWN;;;X;N;3;HEIGHT
KNOKKE-HEIST - FH04;25756605;;337110;337110;BUILDING template;Swolfsstraat;18;;B;BOWN;;;X;N;4;IRREG
KNOKKE-HEIST - FH04;21158629;Zeedijk-Het Zoute 799-800;2768064;2768064;BUILDING template;Zeedijk-Het Zoute;799;;B;BOWN;;;X;N;5;IRREG
KNOKKE-HEIST - FH04;25756832;Zeedijk-Het Zoute 799-800;2768065;2768065;BUILDING template;Zeedijk-Het Zoute;800;;B;BOWN;;;X;N;5;IRREG
