Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
ANTWERPEN-WEST - FH01;1992494;11196667;;Londenstraat;13;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1992496;11196668;;Londenstraat;17;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;4506378;11196669;;Napelsstraat;53;;;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;5978286;11196727;Napelsstraat 71-73;Napelsstraat;71;;C;2019-10-07;2019-10-07;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;4128343;693654;Noorderplaats 5-7-9;Noorderplaats;9;;A;2019-10-10;2019-10-15;Y;;Y;2019-10-20;;;BUILDING template
ANTWERPEN-WEST - FH01;108957;11196671;;Genuastraat;3;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1986445;657809;;Oudeleeuwenrui;3;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;4031647;11196672;;Genuastraat;5;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;2047587;11196728;Rijnkaai 1-2-4_Braziliestraat 2C-2D-2E;Rijnkaai;1;;C;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1986450;657811;;Oudeleeuwenrui;5;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;108301;11196673;;Genuastraat;2;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;186516;641344;Oudeleeuwenrui 7-11;Oudeleeuwenrui;7;;XC;;;Y;;Y;;;;BUILDING template
ANTWERPEN-WEST - FH01;6000240;11196704;;Indiestraat;38;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;5802358;11196729;Rijnkaai 1-2-4_Braziliestraat 2C-2D-2E;Rijnkaai;4;;C;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;186517;641346;Oudeleeuwenrui 13-15;Oudeleeuwenrui;13;;A;;;Y;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1949212;11196705;;Indiestraat;44;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;186515;641343;;Oudeleeuwenrui;25;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1088922;612631;;Adriaan Brouwerstraat;5;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1734637;11196730;Sint-Aldegondiskaai 56-58;Sint-Aldegondiskaai;58;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;5575903;712418;;Oudeleeuwenrui;31;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1781985;632755;;Adriaan Brouwerstraat;13;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;62430;716953;;Oudeleeuwenrui;33;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;4128342;11196731;;Londenstraat;58;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1986516;657817;;Oudeleeuwenrui;35;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;62433;716954;;Oudeleeuwenrui;47;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1782029;632757;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Adriaan Brouwerstraat;21;;XA;;;Y;;Y;;;;BUILDING template
ANTWERPEN-WEST - FH01;108303;612480;;Londenstraat;53;;;;;;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;108296;612476;;Rigastraat;26;;D;;;N;;N;;;;BUILDING template
ANTWERPEN-WEST - FH01;1782040;632758;Sint-Aldegondiskaai 36-38-40-42_Adriaan Brouwersstraat 21-27;Adriaan Brouwerstraat;27;;XA;;;Y;;Y;;;;BUILDING template
ANTWERPEN-WEST - FH01;1734627;622306;;Sint-Aldegondiskaai;20;;;;;;;N;;;;BUILDING template
