Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
EVERE - FH01;1622018;968475;G. De Lombaerdestraat 45-49-51;G. De Lombaerdestraat - Rue Georges De Lombaerde;45;;XC;;;N;;Y;;;;BUILDING template
EVERE - FH01;726086;971343;;Zeventien Aprilstraat - Rue du Dix-sept Avril;4;;;;;;;N;;;;BUILDING template
EVERE - FH01;726078;971335;;Sint-Jozefstraat - Rue Saint-Joseph;52;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1621782;968287;;Franz Guillaumelaan - Avenue Franz Guillaume;4;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;725362;971238;;Oud-Strijderslaan - Avenue des Anciens Combattants;4;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1620859;967535;;Leuvensesteenweg - Chaussée de Louvain;823;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;5866849;7462370;Cicerolaan 13-15-17-19-21;Cicerolaan - Avenue Cicéron;19;;XA;;;N;;Y;;;;BUILDING template
EVERE - FH01;731615;6195319;;Oud-Strijderslaan - Avenue des Anciens Combattants;202;;;;;;;N;;;;BUILDING template
EVERE - FH01;5045909;6195259;G. De Lombaerdestraat 45-49-51;G. De Lombaerdestraat - Rue Georges De Lombaerde;51;;XC;2019-12-13;;Y;;Y;;;;BUILDING template
EVERE - FH01;1623512;969798;;Zeventien Aprilstraat - Rue du Dix-sept Avril;6;;;;;;;N;;;;BUILDING template
EVERE - FH01;726087;971344;;Zeventien Aprilstraat - Rue du Dix-sept Avril;3;;;;;;;N;;;;BUILDING template
EVERE - FH01;1621783;968288;;Franz Guillaumelaan - Avenue Franz Guillaume;6;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;725363;971239;;Oud-Strijderslaan - Avenue des Anciens Combattants;6;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;1620860;967536;;Leuvensesteenweg - Chaussée de Louvain;825;;D;;;N;;N;;;;BUILDING template
EVERE - FH01;4942981;7462371;Cicerolaan 13-15-17-19-21;Cicerolaan - Avenue Cicéron;21;;XA;;;N;;Y;;;;BUILDING template
EVERE - FH01;731598;971522;;Henry Dunantlaan - Avenue Henry Dunant;31;;C;2020-03-02;;Y;;N;;;;BUILDING template
