Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
HASSELT - FH04;701336;10522545;;Blijde-Inkomststraat;2;;D;;;N;2019-10-15;N;;;;BUILDING template
HASSELT - FH04;3937451;10522491;;Kuringersteenweg;33;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425304;387264;;Lazarijstraat;90;;;;;;;N;;;;BUILDING template
HASSELT - FH04;3937588;394727;;Plantenstraat;72;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;2418814;385591;;Blijde-Inkomststraat;4;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4893029;398182;;Kuringersteenweg;34;;D;;;N;2019-10-15;N;;;;BUILDING template
HASSELT - FH04;2425305;387265;;Lazarijstraat;91;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701156;401878;;Plantenstraat;74;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;701337;401937;;Blijde-Inkomststraat;5;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;2423750;386910;;Kuringersteenweg;35;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425306;387266;;Lazarijstraat;92;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701149;401872;;Plantenstraat;75;;B;;;Y;2019-10-15;N;;;;BUILDING template
HASSELT - FH04;2418815;385592;;Blijde-Inkomststraat;6;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2423754;386911;;Kuringersteenweg;36;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425307;387267;;Lazarijstraat;93;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701157;401879;;Plantenstraat;76;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2418817;385593;;Blijde-Inkomststraat;7;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2423759;386912;;Kuringersteenweg;37;;;;;;;N;;;;BUILDING template
HASSELT - FH04;3937474;10522498;;Lazarijstraat;94;;B;;2019-07-18;Y;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;701148;401871;;Plantenstraat;79;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4889008;398027;;Blijde-Inkomststraat;8;;;;;;;N;;;;BUILDING template
HASSELT - FH04;3937452;10522492;;Kuringersteenweg;38;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;2425309;387268;;Lazarijstraat;95;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2434264;389246;;Plantenstraat;80;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2418818;385594;;Blijde-Inkomststraat;9;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2423763;386913;;Kuringersteenweg;41;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425311;387269;;Lazarijstraat;96;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2434267;389247;;Plantenstraat;81;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2418819;385595;;Blijde-Inkomststraat;10;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2423768;386914;;Kuringersteenweg;42;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4888867;398014;;Lazarijstraat;97;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4890496;398067;;Plantenstraat;82;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701335;401935;;Blijde-Inkomststraat;11;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2423771;386915;;Kuringersteenweg;43;;;;;;;N;;;;BUILDING template
HASSELT - FH04;700985;10522537;;Lazarijstraat;98;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;4890547;398074;;Plantenstraat;83;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2418823;385596;;Blijde-Inkomststraat;12;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701706;402049;;Kuringersteenweg;44;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4235790;10522504;;Lazarijstraat;99;;D;;;N;2019-10-29;N;;;;BUILDING template
HASSELT - FH04;2434270;389248;;Plantenstraat;84;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701333;10522544;;Blijde-Inkomststraat;13;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2423779;12621004;;Kuringersteenweg;45;;D;;;N;2019-09-26;N;;;;BUILDING template
HASSELT - FH04;2425312;387270;;Lazarijstraat;101;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4890500;398068;;Plantenstraat;86;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4889010;12620995;;Blijde-Inkomststraat;14;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701705;402048;;Kuringersteenweg;46;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4888871;398015;;Lazarijstraat;105;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4218408;395836;;Plantenstraat;87;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4888814;398007;;Blijde-Inkomststraat;15;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2423786;386916;;Kuringersteenweg;47;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2425316;387272;;Lazarijstraat;109;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2434272;389249;;Plantenstraat;88;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2418825;385597;;Blijde-Inkomststraat;16;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4157483;10522502;;Lazarijstraat;111;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2434275;389250;;Plantenstraat;89;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4211666;395779;;Blijde-Inkomststraat;17;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2423790;386917;;Kuringersteenweg;52;;;;;;;N;;;;BUILDING template
HASSELT - FH04;700903;401791;;Lazarijstraat;115;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4890505;398069;;Plantenstraat;90;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2418828;385598;;Blijde-Inkomststraat;18;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2423793;386918;;Kuringersteenweg;53;;;;;;;N;;;;BUILDING template
HASSELT - FH04;4192624;395608;;Lazarijstraat;117;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2434277;389251;;Plantenstraat;92;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2418830;385599;;Blijde-Inkomststraat;19;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2423794;386919;;Kuringersteenweg;54;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701344;401943;;Lazarijstraat;119;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2434279;389252;;Plantenstraat;93;;;;;;;N;;;;BUILDING template
HASSELT - FH04;701334;401934;;Blijde-Inkomststraat;20;;;;;;;N;;;;BUILDING template
HASSELT - FH04;2423795;386920;;Kuringersteenweg;56;;;;;;;N;;;;BUILDING template
