Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
KNOKKE - FH01;4343326;11217125;Piers de Raveschootlaan 45-45A_Alfred Verweeplein 12-13-14-15;Alfred Verweeplein;14;;XA;;;Y;;Y;;;;BUILDING template
KNOKKE - FH01;2761899;8502172;;Koningslaan;132;;D;;;N;;N;;2019-10-29;;BUILDING template
KNOKKE - FH01;1363090;8502018;;Paul Parmentierlaan;33;;D;;;N;;N;;2019-09-26;;BUILDING template
KNOKKE - FH01;2766634;8503726;;Stadionstraat;16;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2767148;8502377;;Alfred Verweeplein;16;;XA;;;Y;;Y;2019-09-26;2019-10-01;;BUILDING template
KNOKKE - FH01;2761901;8502173;;Koningslaan;134;;D;;;N;;N;;2019-09-26;;BUILDING template
KNOKKE - FH01;2765041;8502265;;Paul Parmentierlaan;34;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2766635;8503727;;Stadionstraat;17;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333259;8502449;;Alfred Verweeplein;17;;XA;;;Y;;Y;2019-09-26;2019-10-01;;BUILDING template
KNOKKE - FH01;2761902;8502174;;Koningslaan;136;;C;2019-11-16;2019-11-18;Y;;Y;2019-11-22;2019-11-19;2020-01-28;BUILDING template
KNOKKE - FH01;2765042;8502266;;Paul Parmentierlaan;35;;D;;;N;;N;;2019-09-26;;BUILDING template
KNOKKE - FH01;2766636;8503728;;Stadionstraat;18;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;338503;8502525;;Alfred Verweeplein;18;;XA;;;Y;;Y;2019-10-09;2019-10-01;;BUILDING template
KNOKKE - FH01;1321242;8502013;;Koningslaan;140;;C;2019-11-08;2019-11-21;Y;;Y;2019-11-22;2019-11-19;2020-01-28;BUILDING template
KNOKKE - FH01;4049936;8502541;;Paul Parmentierlaan;36;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2766637;8503729;;Stadionstraat;19;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2767158;8502378;;Alfred Verweeplein;19;;XA;;;Y;;Y;2019-10-09;2019-10-01;;BUILDING template
KNOKKE - FH01;2761906;8502175;;Koningslaan;142;;C;;;N;;N;;2019-11-19;;BUILDING template
KNOKKE - FH01;2765043;8502267;;Paul Parmentierlaan;37;;C;;;N;;N;;2020-03-11;;BUILDING template
KNOKKE - FH01;2766638;8503730;;Stadionstraat;20;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;1452422;8502025;;Alfred Verweeplein;20;;XC;;;Y;;Y;2019-10-09;2019-10-29;;BUILDING template
KNOKKE - FH01;320547;8502384;;Koningslaan;144;;XC;;;Y;;Y;2019-10-09;2019-10-29;;BUILDING template
KNOKKE - FH01;2765044;8502268;;Paul Parmentierlaan;39;;D;;;N;;N;;2019-09-26;;BUILDING template
KNOKKE - FH01;2766639;8503731;;Stadionstraat;21;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;1389167;8502020;;Alfred Verweeplein;21;;XA;;;Y;;Y;2019-10-09;2019-10-01;;BUILDING template
KNOKKE - FH01;5437614;8502608;;Kopsdreef;1;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2765047;8502269;;Paul Parmentierlaan;41;;;;;N;;N;;;;BUILDING template
KNOKKE - FH01;4346591;8504643;;Stadionstraat;22;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2762969;21449640;;Lippenslaan;30;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2767163;8502379;;Alfred Verweeplein;22;;XA;;;Y;;Y;2019-10-09;2019-10-29;;BUILDING template
KNOKKE - FH01;320688;8502401;;Kopsdreef;2;;C;2019-10-06;2020-02-20;Y;;Y;2019-10-09;2019-10-29;2020-02-26;BUILDING template
KNOKKE - FH01;2765050;8502271;;Paul Parmentierlaan;44;;C;2019-10-02;2019-10-12;Y;;Y;2020-03-10;2019-10-29;2019-10-22;BUILDING template
KNOKKE - FH01;4197881;8504470;;Stadionstraat;23;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2763167;21190660;Lippenslaan 163-167;Lippenslaan;167;;C;;;Y;;N;;;;BUILDING template
KNOKKE - FH01;2767164;8502380;;Alfred Verweeplein;23;;XA;;;Y;;Y;2019-09-26;2019-09-26;;BUILDING template
KNOKKE - FH01;4406417;8502604;Kopsdreef 2A_Lippenslaan 115;Kopsdreef;2;A;A;2020-03-17;2020-03-17;Y;;N;;2020-03-11;2020-03-25;BUILDING template
KNOKKE - FH01;4348071;8502599;;Paul Parmentierlaan;45;;XC;;;Y;;Y;;2020-02-10;;BUILDING template
KNOKKE - FH01;333487;8504321;;Stadionstraat;24;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;239622;25990382;Paul Parmentierlaan 108-110;Paul Parmentierlaan;108;;XC;2019-11-26;;Y;;Y;;2020-03-11;;BUILDING template
KNOKKE - FH01;2767137;8502371;;Alfred Verweeplein;1;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333113;21035431;;Lippenslaan;89;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;338505;8502526;;Alfred Verweeplein;24;;;;;N;;N;;;;BUILDING template
KNOKKE - FH01;2761990;8502176;;Kopsdreef;4;;XC;;;Y;;Y;;2020-02-10;;BUILDING template
KNOKKE - FH01;4345732;8502574;;Paul Parmentierlaan;46;;XC;;;Y;;Y;2019-10-09;2019-10-29;;BUILDING template
KNOKKE - FH01;2766640;8503732;;Stadionstraat;25;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2767167;8502381;;Alfred Verweeplein;25;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333260;8502450;Piers de Raveschootlaan 45-45A_Alfred Verweeplein 12-13-14-15;Alfred Verweeplein;13;;XA;;;Y;;Y;;;;BUILDING template
KNOKKE - FH01;320687;8502400;;Kopsdreef;10;;XC;;;Y;;Y;2019-11-22;2019-10-29;;BUILDING template
KNOKKE - FH01;2765054;8502272;;Paul Parmentierlaan;49;;XC;;;Y;;Y;2019-11-22;2019-11-12;;BUILDING template
KNOKKE - FH01;2766641;8503733;;Stadionstraat;27;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333088;13018287;;Fincentlaan;32;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333301;21395165;;Boudewijnlaan;30;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;239613;8502040;;August Dansestraat;1;;A;;;Y;;N;;2020-02-10;;BUILDING template
KNOKKE - FH01;6162146;11217138;Kopsdreef 9-11;Kopsdreef;11;;XC;;;Y;;Y;;2020-02-10;;BUILDING template
KNOKKE - FH01;333123;8502443;;Paul Parmentierlaan;50;;D;;;N;;Y;2019-11-22;2019-11-19;;BUILDING template
KNOKKE - FH01;2766642;8503734;;Stadionstraat;29;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2759895;13018290;;Fincentlaan;34;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;4343327;13684812;Piers de Raveschootlaan 45-45A_Alfred Verweeplein 12-13-14-15;Alfred Verweeplein;15;;XA;;;Y;;Y;;;;BUILDING template
KNOKKE - FH01;239609;8502036;;August Dansestraat;2;;D;;;N;;N;;2019-09-26;;BUILDING template
KNOKKE - FH01;320689;8502402;;Kopsdreef;13;;XC;;;Y;;Y;2019-11-22;2019-10-29;;BUILDING template
KNOKKE - FH01;2765057;8502273;;Paul Parmentierlaan;51;;XC;;;Y;;Y;2019-11-22;2019-10-22;;BUILDING template
KNOKKE - FH01;84758;11217334;;Stadionstraat;31;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;4347655;21599298;Piers de Raveschootlaan 47-49;Piers de Raveschootlaan;49;;XC;;;Y;;Y;2019-10-09;2020-03-11;;BUILDING template
KNOKKE - FH01;239610;8502037;;August Dansestraat;4;;A;2019-12-02;2019-12-09;Y;;Y;2020-02-05;2020-02-10;2020-01-28;BUILDING template
KNOKKE - FH01;2761993;8502177;;Kopsdreef;15;;C;2019-10-10;2019-10-28;Y;;Y;2019-11-22;2019-10-29;2019-10-29;BUILDING template
KNOKKE - FH01;5579533;1809117;;Paul Parmentierlaan;56;;D;;;N;;N;;2019-11-12;;BUILDING template
KNOKKE - FH01;5713665;8502620;;Van Rysselberghestraat;1;;XC;;;Y;;Y;;2020-02-10;;BUILDING template
KNOKKE - FH01;2763041;14348017;;Lippenslaan;78;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;5579469;21382106;Lippenslaan 41-43;Lippenslaan;43;;D;;;;;N;;2020-03-11;;BUILDING template
KNOKKE - FH01;239626;8502047;;August Dansestraat;6;;D;;;N;;N;;2019-10-29;;BUILDING template
KNOKKE - FH01;2761995;8502178;;Kopsdreef;17;;;;;N;;N;;;;BUILDING template
KNOKKE - FH01;2765061;8502274;;Paul Parmentierlaan;57;;D;;;N;;N;;2019-09-26;;BUILDING template
KNOKKE - FH01;333101;8502427;;Van Rysselberghestraat;3;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;6575788;14367148;;Nyckeesstraat;10;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2758724;8502101;;August Dansestraat;8;;D;;;N;;N;;2019-10-29;;BUILDING template
KNOKKE - FH01;239624;8502046;;Leopoldlaan;1;;C;2019-09-16;;Y;;N;;2019-09-26;;BUILDING template
KNOKKE - FH01;2765063;8502275;;Paul Parmentierlaan;58;;D;;;N;;N;;2019-11-12;;BUILDING template
KNOKKE - FH01;333103;8502429;;Van Rysselberghestraat;4;;D;;;N;;N;;2019-10-29;;BUILDING template
KNOKKE - FH01;5579473;13013481;;Lippenslaan;113;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;239611;8502038;;August Dansestraat;10;;D;;;N;;N;;2019-10-29;;BUILDING template
KNOKKE - FH01;2762738;8502181;;Leopoldlaan;3;;XC;2019-09-17;;Y;;Y;2019-09-26;2019-09-26;;BUILDING template
KNOKKE - FH01;2765066;8502276;;Paul Parmentierlaan;59;;XC;;;Y;;Y;2019-11-22;2019-10-22;;BUILDING template
KNOKKE - FH01;333100;8502426;;Van Rysselberghestraat;5;;;;;N;;N;;;;BUILDING template
KNOKKE - FH01;2765048;13018839;;Paul Parmentierlaan;43;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;239612;8502039;;August Dansestraat;12;;A;2019-11-15;2019-11-19;Y;;Y;2019-12-01;;2020-03-25;BUILDING template
KNOKKE - FH01;2762740;8502182;;Leopoldlaan;5;;XC;2019-09-17;;Y;;Y;2019-09-26;2019-09-26;;BUILDING template
KNOKKE - FH01;2765067;8502277;;Paul Parmentierlaan;61;;XC;;;Y;;Y;;2020-02-10;;BUILDING template
KNOKKE - FH01;4345805;8502579;;Van Rysselberghestraat;6;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;335968;8502500;;Boudewijnlaan;1;;D;;;N;;N;;2019-10-29;;BUILDING template
KNOKKE - FH01;239620;8502043;;Leopoldlaan;11;;A;2019-10-28;;Y;;N;;2019-11-19;;BUILDING template
KNOKKE - FH01;3939637;8502535;;Paul Parmentierlaan;62;;C;2019-10-12;2019-11-18;Y;;Y;2019-11-22;2019-10-29;2020-01-28;BUILDING template
KNOKKE - FH01;333098;8502425;;Van Rysselberghestraat;7;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;335966;8502499;;Boudewijnlaan;2;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333082;8502414;;Lippenslaan;1;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2765070;8502278;;Paul Parmentierlaan;64;;C;2020-03-13;2020-03-13;Y;;Y;2019-11-22;2019-10-29;2020-03-25;BUILDING template
KNOKKE - FH01;2765901;8502357;;Van Rysselberghestraat;8;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2758306;8502060;;Boudewijnlaan;3;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2762929;8502183;;Lippenslaan;2;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2765076;8502279;;Paul Parmentierlaan;66;;C;;;N;;N;;;;BUILDING template
KNOKKE - FH01;2765903;8502358;;Van Rysselberghestraat;10;;;;;N;;N;;;;BUILDING template
KNOKKE - FH01;2758307;8502061;;Boudewijnlaan;4;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;5559107;8502611;;Lippenslaan;3;;XA;;;Y;;Y;2019-09-13;2019-09-26;;BUILDING template
KNOKKE - FH01;2765077;8502280;;Paul Parmentierlaan;67;;XC;;;Y;;Y;2019-09-13;2019-09-26;;BUILDING template
KNOKKE - FH01;333102;8502428;;Van Rysselberghestraat;12;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;4347316;8502580;;Boudewijnlaan;5;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333275;8502462;;Lippenslaan;4;;XA;;;Y;;Y;2019-09-04;2019-09-17;;BUILDING template
KNOKKE - FH01;2765079;8502281;;Paul Parmentierlaan;68;;XC;;;Y;;Y;2019-11-22;2019-10-29;;BUILDING template
KNOKKE - FH01;333545;8504336;;Van Steenestraat;1;;D;;;;;N;;2020-03-11;;BUILDING template
KNOKKE - FH01;2758308;8502062;;Boudewijnlaan;6;;D;;;N;;N;;2019-10-29;;BUILDING template
KNOKKE - FH01;2762933;8502184;;Lippenslaan;5;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2765082;8502282;;Paul Parmentierlaan;70;;C;2019-12-02;2019-12-11;Y;;Y;2020-01-28;2020-02-10;2020-01-28;BUILDING template
KNOKKE - FH01;333488;8504322;;Van Steenestraat;2;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2758309;8502063;;Boudewijnlaan;7;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;333276;8502463;;Lippenslaan;6;;;;;;;N;;;;BUILDING template
KNOKKE - FH01;2765083;8502283;;Paul Parmentierlaan;71;;XC;;;Y;;Y;2019-11-22;2019-11-19;;BUILDING template
KNOKKE - FH01;2766666;8503735;;Van Steenestraat;4;;;;;;;N;;;;BUILDING template
