Projectnummer;Opdrachtnummer;Building FID;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;SNS FIS Date;SNS FTS Date;Opdrachttemplate
LEUVEN - FH03;379024;760283;Koning Leopold I-straat;52;;D;;;N;;;;BUILDING template
LEUVEN - FH03;1186991;737715;Bondgenotenlaan;42;;D;;;N;;;;BUILDING template
LEUVEN - FH03;1312901;10347755;P.J. Van Benedenstraat;4;;XC;;;Y;;;;BUILDING template
LEUVEN - FH03;3010783;741817;Bondgenotenlaan;44;;D;;;N;;;;BUILDING template
LEUVEN - FH03;6050173;10249075;Puttegang;3;;D;;;N;;;;BUILDING template
LEUVEN - FH03;1190407;10421198;Rijschoolstraat;22;;A;;;Y;;;;BUILDING template
LEUVEN - FH03;5322224;766761;Diestsepoort;5;;C;;;Y;;;;BUILDING template
LEUVEN - FH03;6361415;10150188;Rijschoolstraat;16;;;;;N;;;;BUILDING template
LEUVEN - FH03;3010789;741820;Bondgenotenlaan;50;;D;;;N;;;;BUILDING template
LEUVEN - FH03;6361416;10150189;Rijschoolstraat;18;;;;;N;;;;BUILDING template
LEUVEN - FH03;3032445;20863330;Jan-Pieter Minckelersstraat;138;;XC;;;Y;;;;BUILDING template
LEUVEN - FH03;1519913;739151;Sint-Maartenstraat;1;;C;;;Y;;;;BUILDING template
LEUVEN - FH03;1349620;738394;Bondgenotenlaan;52;;D;;;N;;;;BUILDING template
LEUVEN - FH03;5293052;10150190;Rijschoolstraat;20;;;;;N;;;;BUILDING template
LEUVEN - FH03;4800046;6488510;Sint-Maartenstraat;3;;C;;;Y;;;;BUILDING template
LEUVEN - FH03;3044833;10496362;Sint-Maartenstraat;1;A;XC;;;Y;;;;BUILDING template
LEUVEN - FH03;3044837;6488522;Sint-Maartenstraat;5;;C;;;Y;;;;BUILDING template
LEUVEN - FH03;379011;760278;Willemsstraat;17;;D;;;N;;;;BUILDING template
LEUVEN - FH03;3923630;760461;Lepelstraat;42;;D;;;N;;;;BUILDING template
LEUVEN - FH03;3044847;10682542;Sint-Maartenstraat;12;A;;;;;;;;BUILDING template
LEUVEN - FH03;174297;739326;Sint-Maartenstraat;17;;D;;;N;;;;BUILDING template
LEUVEN - FH03;3025320;748645;Lepelstraat;44;;D;;;N;;;;BUILDING template
LEUVEN - FH03;3016000;743859;Diestsevest;56;;D;;;N;;;;BUILDING template
LEUVEN - FH03;5814612;10682898;Sint-Maartenstraat;12;B;;;;;;;;BUILDING template
LEUVEN - FH03;1083167;736956;Lepelstraat;22;A;D;;;N;;;;BUILDING template
LEUVEN - FH03;3044849;10682953;Sint-Maartenstraat;12;C;;;;;;;;BUILDING template
LEUVEN - FH03;378015;5157437;Jan Stasstraat;5;;D;;;N;;;;BUILDING template
LEUVEN - FH03;3053077;5157430;Willemsstraat;23;;D;;;N;;;;BUILDING template
LEUVEN - FH03;172655;739253;Diestsevest;60;;D;;;N;;;;BUILDING template
LEUVEN - FH03;3044851;10683487;Sint-Maartenstraat;12;D;;;;;;;;BUILDING template
LEUVEN - FH03;1186824;737638;Vital Decosterstraat;2;;D;;;N;;;;BUILDING template
LEUVEN - FH03;3053078;757764;Willemsstraat;25;;XC;;;Y;;;;BUILDING template
LEUVEN - FH03;3044853;10683558;Sint-Maartenstraat;12;E;;;;;;;;BUILDING template
LEUVEN - FH03;3014360;5157336;Vital Decosterstraat;4;;D;;;N;;;;BUILDING template
LEUVEN - FH03;3031376;749669;Louis Melsensstraat;3;;D;;;N;;;;BUILDING template
LEUVEN - FH03;3016008;743861;Diestsevest;64;;D;;;N;;;;BUILDING template
LEUVEN - FH03;3045360;11360090;Strijdersstraat;66;;A;;;Y;;;;BUILDING template
LEUVEN - FH03;6386665;12737324;Bogaardenstraat;31;;;;;;;;;BUILDING template
LEUVEN - FH03;3014365;743128;Vital Decosterstraat;6;;XA;;;Y;;;;BUILDING template
LEUVEN - FH03;4799320;765093;Diestsevest;66;;D;;;N;;;;BUILDING template
LEUVEN - FH03;1186823;737637;Vital Decosterstraat;8;;D;;;N;;;;BUILDING template
LEUVEN - FH03;3016012;743863;Diestsevest;70;;D;;;N;;;;BUILDING template
LEUVEN - FH03;1521168;5157290;Vanden Tymplestraat;4;;D;;;N;;;;BUILDING template
LEUVEN - FH03;3015977;12565234;Diestsevest;41;;XA;;;Y;;;;BUILDING template
LEUVEN - FH03;4794342;20863818;Diestsestraat;244;;D;;;N;;;;BUILDING template
LEUVEN - FH03;172653;739251;Diestsevest;72;;D;;;N;;;;BUILDING template
