Projectnummer;Opdrachtnummer;Building FID;BG Name;Straat;Huisnummer;Huisnummer Toevoeging;Quadrant;TSA SENT;TSA SIGNED;TSA NEEDED;Afronding handtekening;Meetstaat;Verzonden Offerte;SNS FIS Date;SNS FTS Date;Opdrachttemplate
MECHELEN - FH01;3032937;429077;;Frederik de Merodestraat;4;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;904317;450426;;Korte Schipstraat;29;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;5383991;449056;;Sint-Janstraat;16;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3032938;429078;;Frederik de Merodestraat;5;;D;;;;;N;;;;BUILDING template
MECHELEN - FH01;904574;450430;;Lange Schipstraat;1;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;5904577;7092640;;Sint-Janstraat;8;B;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3944029;21704305;;Dobbelhuizen;16;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;4191732;442431;Frederik De Merodestraat 6-6A;Frederik de Merodestraat;6;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;904579;10472533;;Lange Schipstraat;2;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;5507055;7092625;;Sint-Janstraat;10;A;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3032941;429079;;Frederik de Merodestraat;7;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4194975;442486;;Lange Schipstraat;3;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3048595;7092662;;Sint-Katelijnestraat;1;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;901177;450250;;Frederik de Merodestraat;8;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3047584;437004;;Lange Schipstraat;4;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;929577;451900;;Sint-Katelijnestraat;2;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3032943;429080;;Frederik de Merodestraat;9;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3047585;437005;;Lange Schipstraat;5;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4067640;441730;;Sint-Katelijnestraat;3;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;6447591;11452604;;Goswin de Stassartstraat;27;A;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3032945;429081;;Frederik de Merodestraat;10;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3047586;437006;;Lange Schipstraat;6;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;4042355;441609;;Sint-Katelijnestraat;4;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;905650;21704309;;Drabstraat;12;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;4752018;446138;;Frederik de Merodestraat;11;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3047590;437007;;Lange Schipstraat;7;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3048597;437509;;Sint-Katelijnestraat;5;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;4103699;441843;;Frederik de Merodestraat;13;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3047592;10472510;;Lange Schipstraat;8;;D;;;;;N;;;;BUILDING template
MECHELEN - FH01;4740627;445089;;Sint-Katelijnestraat;7;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3032948;429082;;Frederik de Merodestraat;15;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3047593;437009;;Lange Schipstraat;9;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3048599;437510;;Sint-Katelijnestraat;8;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3032951;429083;;Frederik de Merodestraat;17;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;904315;450425;;Lange Schipstraat;10;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3048602;437511;;Sint-Katelijnestraat;10;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3032953;429084;;Frederik de Merodestraat;18;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;904575;450431;;Lange Schipstraat;11;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;3048603;437512;;Sint-Katelijnestraat;12;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;NB-280011A8740;;;Geitestraat;11;A;D;;;N;;;;;;BUILDING template
MECHELEN - FH01;3032954;7092649;;Frederik de Merodestraat;19;;D;;;N;;N;;;;BUILDING template
MECHELEN - FH01;3047595;437010;;Lange Schipstraat;12;;;;;;;N;;;;BUILDING template
MECHELEN - FH01;929571;451896;;Sint-Katelijnestraat;13;;;;;;;N;;;;BUILDING template
