Projectnummer;Opdrachttemplate;LU Key;LAM MK;LAM Street Code;Street;Postcode;Municipality
ANTWERPEN-WEST - FH03;BUILDING template;1477528;1477528;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;3970829;3970829;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;3970830;3970830;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;1950874;1950874;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;1950904;1950904;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;1950961;1950961;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;1950972;1950972;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;1950987;1950987;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;1951080;1951080;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;1951110;1951110;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;1951123;1951123;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;1951195;1951195;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;1951320;1951320;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;1951415;1951415;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;109195;109195;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;109198;109198;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;109199;109199;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;109200;109200;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;109320;109320;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;109575;109575;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;109848;109848;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;109849;109849;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;109850;109850;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;109851;109851;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;109852;109852;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;109854;109854;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;109855;109855;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;5569312;5569312;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;5575748;5575748;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;5575750;5575750;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;6525096;6525096;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;111504;111504;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;111505;111505;13899;Italielei;2000;Antwerpen
ANTWERPEN-WEST - FH03;BUILDING template;1089418;1089418;13899;Italielei;2000;Antwerpen
