Projectnummer;Opdrachttemplate;LU Key;LAM MK;LAM Street Code;Street;Municipality
EVERE - FH01;BUILDING template;6151457;6151457;11;Rue Edgard Degas - Edgar Degas straat;Evere - Evere
EVERE - FH01;BUILDING template;6345411;6345411;11;Rue Edgard Degas - Edgar Degas straat;Evere - Evere
EVERE - FH01;BUILDING template;6596261;6596261;11;Rue Edgard Degas - Edgar Degas straat;Evere - Evere
EVERE - FH01;BUILDING template;1620296;1620296;11;Rue Edgard Degas - Edgar Degas straat;Evere - Evere
EVERE - FH01;BUILDING template;1173605;1173605;11;Rue Edgard Degas - Edgar Degas straat;Evere - Evere
EVERE - FH01;BUILDING template;1335105;1335105;11;Rue Edgard Degas - Edgar Degas straat;Evere - Evere
EVERE - FH01;BUILDING template;1620301;1620301;12;Rue Auguste Renoir - Auguste Renoirstraat  ;Evere - Evere
EVERE - FH01;BUILDING template;1620303;1620303;12;Rue Auguste Renoir - Auguste Renoirstraat  ;Evere - Evere
EVERE - FH01;BUILDING template;1620300;1620300;12;Rue Auguste Renoir - Auguste Renoirstraat  ;Evere - Evere
EVERE - FH01;BUILDING template;1620302;1620302;12;Rue Auguste Renoir - Auguste Renoirstraat  ;Evere - Evere
EVERE - FH01;BUILDING template;1620348;1620348;21;Clos de l'Argilière - Kleigroeveërf;Evere - Evere
EVERE - FH01;BUILDING template;1620343;1620343;21;Clos de l'Argilière - Kleigroeveërf;Evere - Evere
EVERE - FH01;BUILDING template;1620345;1620345;21;Clos de l'Argilière - Kleigroeveërf;Evere - Evere
EVERE - FH01;BUILDING template;1620346;1620346;21;Clos de l'Argilière - Kleigroeveërf;Evere - Evere
EVERE - FH01;BUILDING template;1137210;1137210;21;Clos de l'Argilière - Kleigroeveërf;Evere - Evere
EVERE - FH01;BUILDING template;1620347;1620347;21;Clos de l'Argilière - Kleigroeveërf;Evere - Evere
EVERE - FH01;BUILDING template;1325306;1325306;21;Clos de l'Argilière - Kleigroeveërf;Evere - Evere
EVERE - FH01;BUILDING template;1620349;1620349;21;Clos de l'Argilière - Kleigroeveërf;Evere - Evere
EVERE - FH01;BUILDING template;1620350;1620350;21;Clos de l'Argilière - Kleigroeveërf;Evere - Evere
EVERE - FH01;BUILDING template;1620351;1620351;21;Clos de l'Argilière - Kleigroeveërf;Evere - Evere
EVERE - FH01;BUILDING template;1620352;1620352;21;Clos de l'Argilière - Kleigroeveërf;Evere - Evere
EVERE - FH01;BUILDING template;1137209;1137209;21;Clos de l'Argilière - Kleigroeveërf;Evere - Evere
EVERE - FH01;BUILDING template;1620353;1620353;21;Clos de l'Argilière - Kleigroeveërf;Evere - Evere
EVERE - FH01;BUILDING template;1620354;1620354;21;Clos de l'Argilière - Kleigroeveërf;Evere - Evere
EVERE - FH01;BUILDING template;1620355;1620355;21;Clos de l'Argilière - Kleigroeveërf;Evere - Evere
EVERE - FH01;BUILDING template;1137211;1137211;21;Clos de l'Argilière - Kleigroeveërf;Evere - Evere
EVERE - FH01;BUILDING template;1620344;1620344;21;Clos de l'Argilière - Kleigroeveërf;Evere - Evere
EVERE - FH01;BUILDING template;1137207;1137207;21;Clos de l'Argilière - Kleigroeveërf;Evere - Evere
EVERE - FH01;BUILDING template;5457203;5457203;24;Clos des Briquetiers - Steenbakkerserf;Evere - Evere
EVERE - FH01;BUILDING template;5712206;5712206;24;Clos des Briquetiers - Steenbakkerserf;Evere - Evere
EVERE - FH01;BUILDING template;5715055;5715055;24;Clos des Briquetiers - Steenbakkerserf;Evere - Evere
EVERE - FH01;BUILDING template;5495090;5495090;24;Clos des Briquetiers - Steenbakkerserf;Evere - Evere
