Projectnummer;Opdrachttemplate;LU Key;LAM MK;LAM Street Code;Street;Postcode;Municipality
EVERE - FH03;BUILDING template;1003567;1003567;16704;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;1140;Evere
EVERE - FH03;BUILDING template;1003568;1003568;16704;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;1140;Evere
EVERE - FH03;BUILDING template;1003570;1003570;16704;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;1140;Evere
EVERE - FH03;BUILDING template;1003580;1003580;16128;Godfroid Kurthstraat - Rue Godfroid Kurth;1140;Evere
EVERE - FH03;BUILDING template;1003583;1003583;17857;Pater Damiaanstraat - Rue Pere Damien;1140;Evere
EVERE - FH03;BUILDING template;1003584;1003584;16128;Godfroid Kurthstraat - Rue Godfroid Kurth;1140;Evere
EVERE - FH03;BUILDING template;1003585;1003585;16128;Godfroid Kurthstraat - Rue Godfroid Kurth;1140;Evere
EVERE - FH03;BUILDING template;1003586;1003586;16128;Godfroid Kurthstraat - Rue Godfroid Kurth;1140;Evere
EVERE - FH03;BUILDING template;1003587;1003587;16128;Godfroid Kurthstraat - Rue Godfroid Kurth;1140;Evere
EVERE - FH03;BUILDING template;1003588;1003588;16128;Godfroid Kurthstraat - Rue Godfroid Kurth;1140;Evere
EVERE - FH03;BUILDING template;1003589;1003589;16128;Godfroid Kurthstraat - Rue Godfroid Kurth;1140;Evere
EVERE - FH03;BUILDING template;1003590;1003590;16128;Godfroid Kurthstraat - Rue Godfroid Kurth;1140;Evere
EVERE - FH03;BUILDING template;1003591;1003591;16128;Godfroid Kurthstraat - Rue Godfroid Kurth;1140;Evere
EVERE - FH03;BUILDING template;1003592;1003592;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1003593;1003593;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1003595;1003595;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1003596;1003596;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1003598;1003598;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1003599;1003599;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1003600;1003600;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1003601;1003601;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1003602;1003602;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1003603;1003603;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1003604;1003604;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1003620;1003620;17646;August De Boeckstraat - Rue Auguste De Boeck;1140;Evere
EVERE - FH03;BUILDING template;1003621;1003621;17646;August De Boeckstraat - Rue Auguste De Boeck;1140;Evere
EVERE - FH03;BUILDING template;1003622;1003622;17646;August De Boeckstraat - Rue Auguste De Boeck;1140;Evere
EVERE - FH03;BUILDING template;1003623;1003623;17646;August De Boeckstraat - Rue Auguste De Boeck;1140;Evere
EVERE - FH03;BUILDING template;1003624;1003624;17646;August De Boeckstraat - Rue Auguste De Boeck;1140;Evere
EVERE - FH03;BUILDING template;1015646;1015646;16291;Oasebinnenhof - Clos de l Oasis;1140;Evere
EVERE - FH03;BUILDING template;1015911;1015911;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1129016;1129016;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1129029;1129029;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1162230;1162230;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1181111;1181111;10789;Lindestraat - Rue du Tilleul;1140;Evere
EVERE - FH03;BUILDING template;1202780;1202780;22;Kentstraat - Rue du Kent;1140;Evere
EVERE - FH03;BUILDING template;1265156;1265156;18596;Jean-Baptiste Desmethstraat - Rue Jean-Baptiste Desmeth;1140;Evere
EVERE - FH03;BUILDING template;1271566;1271566;8171;Oud-Kapellekelaan - Avenue de l Oud-Kapelleke;1140;Evere
EVERE - FH03;BUILDING template;1279887;1279887;17857;Pater Damiaanstraat - Rue Pere Damien;1140;Evere
EVERE - FH03;BUILDING template;1288459;1288459;16589;Louis Pierardlaan - Avenue Louis Pierard;1140;Evere
EVERE - FH03;BUILDING template;1290437;1290437;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1298653;1298653;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1299490;1299490;17646;August De Boeckstraat - Rue Auguste De Boeck;1140;Evere
EVERE - FH03;BUILDING template;1299874;1299874;23;Andalusielaan - Avenue de l Andalousie;1140;Evere
EVERE - FH03;BUILDING template;1314104;1314104;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1315900;1315900;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1324098;1324098;4701;Haachtsesteenweg - Chaussee de Haecht;1140;Evere
EVERE - FH03;BUILDING template;1325536;1325536;17646;August De Boeckstraat - Rue Auguste De Boeck;1140;Evere
EVERE - FH03;BUILDING template;1329510;1329510;23;Andalusielaan - Avenue de l Andalousie;1140;Evere
EVERE - FH03;BUILDING template;1332443;1332443;16589;Louis Pierardlaan - Avenue Louis Pierard;1140;Evere
EVERE - FH03;BUILDING template;1340851;1340851;16589;Louis Pierardlaan - Avenue Louis Pierard;1140;Evere
EVERE - FH03;BUILDING template;1352838;1352838;16217;Onze Lieve Vrouwlaan - Avenue Notre-Dame;1140;Evere
EVERE - FH03;BUILDING template;1355220;1355220;10789;Lindestraat - Rue du Tilleul;1140;Evere
EVERE - FH03;BUILDING template;1358317;1358317;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1363710;1363710;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1364233;1364233;17657;A. Vanden Bosschestraat - Rue A. Vanden Bossche;1140;Evere
EVERE - FH03;BUILDING template;1370056;1370056;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1373881;1373881;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1442783;1442783;9182;Weerstandstraat - Rue de la Resistance;1140;Evere
EVERE - FH03;BUILDING template;1450698;1450698;10789;Lindestraat - Rue du Tilleul;1140;Evere
EVERE - FH03;BUILDING template;1450831;1450831;22;Kentstraat - Rue du Kent;1140;Evere
EVERE - FH03;BUILDING template;1458926;1458926;22;Kentstraat - Rue du Kent;1140;Evere
EVERE - FH03;BUILDING template;1464576;1464576;17646;August De Boeckstraat - Rue Auguste De Boeck;1140;Evere
EVERE - FH03;BUILDING template;1465804;1465804;17646;August De Boeckstraat - Rue Auguste De Boeck;1140;Evere
EVERE - FH03;BUILDING template;1483486;1483486;16704;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;1140;Evere
EVERE - FH03;BUILDING template;1486582;1486582;22;Kentstraat - Rue du Kent;1140;Evere
EVERE - FH03;BUILDING template;1488566;1488566;10996;Tuinbouw - Tuinbouw;1140;Evere
EVERE - FH03;BUILDING template;1490291;1490291;16589;Louis Pierardlaan - Avenue Louis Pierard;1140;Evere
EVERE - FH03;BUILDING template;1496257;1496257;16524;J. B. Mosselmansstraat - Rue Jean-Baptiste Mosselmans;1140;Evere
EVERE - FH03;BUILDING template;1496752;1496752;10996;Tuinbouw - Tuinbouw;1140;Evere
EVERE - FH03;BUILDING template;14998;14998;16217;Onze Lieve Vrouwlaan - Avenue Notre-Dame;1140;Evere
EVERE - FH03;BUILDING template;15012;15012;17646;August De Boeckstraat - Rue Auguste De Boeck;1140;Evere
EVERE - FH03;BUILDING template;1504839;1504839;16217;Onze Lieve Vrouwlaan - Avenue Notre-Dame;1140;Evere
EVERE - FH03;BUILDING template;15078;15078;28;Friulilaan - Avenue du Frioul;1140;Evere
EVERE - FH03;BUILDING template;1509672;1509672;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1509681;1509681;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1509688;1509688;14259;H. Consciencelaan - Avenue Henri Conscience;1140;Evere
EVERE - FH03;BUILDING template;1517718;1517718;23;Andalusielaan - Avenue de l Andalousie;1140;Evere
EVERE - FH03;BUILDING template;1519883;1519883;35;KLein Zwitserlandgaarde - Clos de la Petite Suisse;1140;Evere
EVERE - FH03;BUILDING template;1620356;1620356;22;Kentstraat - Rue du Kent;1140;Evere
EVERE - FH03;BUILDING template;1620357;1620357;22;Kentstraat - Rue du Kent;1140;Evere
EVERE - FH03;BUILDING template;1620358;1620358;22;Kentstraat - Rue du Kent;1140;Evere
EVERE - FH03;BUILDING template;1620359;1620359;22;Kentstraat - Rue du Kent;1140;Evere
EVERE - FH03;BUILDING template;1620360;1620360;22;Kentstraat - Rue du Kent;1140;Evere
EVERE - FH03;BUILDING template;1620361;1620361;22;Kentstraat - Rue du Kent;1140;Evere
EVERE - FH03;BUILDING template;1620362;1620362;22;Kentstraat - Rue du Kent;1140;Evere
EVERE - FH03;BUILDING template;1620363;1620363;22;Kentstraat - Rue du Kent;1140;Evere
EVERE - FH03;BUILDING template;1620364;1620364;22;Kentstraat - Rue du Kent;1140;Evere
EVERE - FH03;BUILDING template;1620365;1620365;22;Kentstraat - Rue du Kent;1140;Evere
