LAM MK;TOTAAL;SU;BU;LU;File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;LANGUAGE;BT
11983;2;0;2;0;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;614581;20190301110058;1630000;35332;Zeevaartstraat;5;;2000;Antwerpen;;152865,747;213060,232;;Y;;3.0;9.0;Unknown;Unknown;;None;;;;;;;;;;;;1;1802754;;BU;1;;;;;;Y;;OFFICE;KANTOORGEBOUW - BATIMENT DE BUREAU;;;;;;;;;;;;;NL;MDU
11983;2;0;2;0;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;614581;20190301110058;1630000;35332;Zeevaartstraat;5;;2000;Antwerpen;;152865,747;213060,232;;Y;;3.0;9.0;Unknown;Unknown;;None;;;;;;;;;;;;2;11077791;;BU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
11985;4;1;1;2;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;614583;20190604080240;1630000;14994;Kattendijkdok-Westkaai;33;;2000;Antwerpen;;152522,892;213514,35;;N;;3.0;9.0;Unknown;Unknown;;None;;;;;;;;;;;;1;1754943;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;NL;MDU
11985;4;1;1;2;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;614583;20190604080240;1630000;14994;Kattendijkdok-Westkaai;33;;2000;Antwerpen;;152522,892;213514,35;;N;;3.0;9.0;Unknown;Unknown;;None;;;;;;;;;;;;2;1754944;;LU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;NL;MDU
11985;4;1;1;2;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;614583;20190604080240;1630000;14994;Kattendijkdok-Westkaai;33;;2000;Antwerpen;;152522,892;213514,35;;N;;3.0;9.0;Unknown;Unknown;;None;;;;;;;;;;;;3;11077230;;LU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
11985;4;1;1;2;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;614583;20190604080240;1630000;14994;Kattendijkdok-Westkaai;33;;2000;Antwerpen;;152522,892;213514,35;;N;;3.0;9.0;Unknown;Unknown;;None;;;;;;;;;;;;4;11077231;;SU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
12711;1;0;1;0;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;11196670;20190527110645;1630000;21980;Napelsstraat;49;;2000;Antwerpen;;152970,79;213577,291;;N;IRREG;7.0;3.0;Unknown;Unknown;;None;;;;;;;;;;;;1;11076637;;BU;1;;;;;;;;;;;;;;;;;;;;;;NL;SDU
12721;4;0;4;0;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;615435;20190604112433;1630000;13827;Indiëstraat;2;;2000;Antwerpen;;152849,599;213822,121;;N;;4.0;12.0;Unknown;Unknown;;None;;;;;;;;;;;;1;1689439;;BU;1;;;;;;Y;#A2/2.1/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;NL;MDU
12721;4;0;4;0;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;615435;20190604112433;1630000;13827;Indiëstraat;2;;2000;Antwerpen;;152849,599;213822,121;;N;;4.0;12.0;Unknown;Unknown;;None;;;;;;;;;;;;2;1689444;;BU;1;;;;;;Y;#A2/2.2/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;;;;;;NL;MDU
12721;4;0;4;0;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;615435;20190604112433;1630000;13827;Indiëstraat;2;;2000;Antwerpen;;152849,599;213822,121;;N;;4.0;12.0;Unknown;Unknown;;None;;;;;;;;;;;;6;1691311;;BU;1;;;;;;Y;#BU.GV/KANTOOR1.2-BUREAU1/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;OFFICE;;;;;;;;;;;;NL;MDU
12721;4;0;4;0;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;615435;20190604112433;1630000;13827;Indiëstraat;2;;2000;Antwerpen;;152849,599;213822,121;;N;;4.0;12.0;Unknown;Unknown;;None;;;;;;;;;;;;7;1691335;;BU;1;;;;;;Y;#BU1/KANTOOR3-BUREAU2/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;OFFICE;;;;;;;;;;;;NL;MDU
52537;3;0;3;0;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;710669;20190604080238;1630000;596;Amsterdamstraat;21;;2000;Antwerpen;;152467,955;213511,497;;Y;;4.0;12.0;Unknown;Unknown;;None;;;;;;;;;;;;1;1704140;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;NL;MDU
52537;3;0;3;0;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;710669;20190604080238;1630000;596;Amsterdamstraat;21;;2000;Antwerpen;;152467,955;213511,497;;Y;;4.0;12.0;Unknown;Unknown;;None;;;;;;;;;;;;2;1704141;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;NL;MDU
52537;3;0;3;0;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;710669;20190604080238;1630000;596;Amsterdamstraat;21;;2000;Antwerpen;;152467,955;213511,497;;Y;;4.0;12.0;Unknown;Unknown;;None;;;;;;;;;;;;3;1704142;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;NL;MDU
52539;4;0;1;3;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;710670;20190604080238;1630000;596;Amsterdamstraat;41;;2000;Antwerpen;;152518,603;213514,071;;Y;;4.0;12.0;Unknown;Unknown;;None;;;;;;;;;;;;1;1781223;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;NL;MDU
52539;4;0;1;3;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;710670;20190604080238;1630000;596;Amsterdamstraat;41;;2000;Antwerpen;;152518,603;213514,071;;Y;;4.0;12.0;Unknown;Unknown;;None;;;;;;;;;;;;2;1781224;;LU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;NL;MDU
52539;4;0;1;3;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;710670;20190604080238;1630000;596;Amsterdamstraat;41;;2000;Antwerpen;;152518,603;213514,071;;Y;;4.0;12.0;Unknown;Unknown;;None;;;;;;;;;;;;3;1781225;;LU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;NL;MDU
52539;4;0;1;3;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;710670;20190604080238;1630000;596;Amsterdamstraat;41;;2000;Antwerpen;;152518,603;213514,071;;Y;;4.0;12.0;Unknown;Unknown;;None;;;;;;;;;;;;4;11078083;;LU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
52549;1;0;0;1;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;11196789.0;20190604080239;Braziliestraat 43 -  Amsterdamstraat 21;;;;;;;11196722;20190604080239;1630000;3931;Braziliestraat;43;;2000;Antwerpen;;152468,135;213517,183;;Y;;4.0;12.0;Unknown;Unknown;;None;;;;;;;;;;;;1;11077027;;LU;1;;;;;;;;;;;;;;;;;;;;;;NL;SDU
59266;2;0;2;0;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;714088;20190527165833;1630000;35333;Korte Zeevaartstraat;2;;2000;Antwerpen;;152430,955;213087,049;;N;MON;4.0;12.0;Unknown;Unknown;;None;;;;;;;;;;;;1;1691869;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;NL;MDU
59266;2;0;2;0;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;714088;20190527165833;1630000;35333;Korte Zeevaartstraat;2;;2000;Antwerpen;;152430,955;213087,049;;N;MON;4.0;12.0;Unknown;Unknown;;None;;;;;;;;;;;;2;11077798;;BU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
59270;3;0;3;0;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;714090;20190527165911;1630000;4368;Adriaan Brouwerstraat;19;;2000;Antwerpen;;152450,382;213087,133;;N;ORN;3.0;9.0;Unknown;Unknown;;None;;;;;;;;;;;;1;1684300;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;NL;MDU
59270;3;0;3;0;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;714090;20190527165911;1630000;4368;Adriaan Brouwerstraat;19;;2000;Antwerpen;;152450,382;213087,133;;N;ORN;3.0;9.0;Unknown;Unknown;;None;;;;;;;;;;;;2;1684301;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;NL;MDU
59270;3;0;3;0;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;714090;20190527165911;1630000;4368;Adriaan Brouwerstraat;19;;2000;Antwerpen;;152450,382;213087,133;;N;ORN;3.0;9.0;Unknown;Unknown;;None;;;;;;;;;;;;3;1684302;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;;;;;;NL;MDU
59271;2;0;1;1;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;7093724;20190527165842;1630000;4368;Adriaan Brouwerstraat;17;;2000;Antwerpen - Anvers;;152421,682;213086,435;;N;MON;4.0;12.0;Unknown;Unknown;;None;;;;;;;;;;;;1;10358656;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;;;;;;;;;;;;;NL;MDU
59271;2;0;1;1;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;7093724;20190527165842;1630000;4368;Adriaan Brouwerstraat;17;;2000;Antwerpen - Anvers;;152421,682;213086,435;;N;MON;4.0;12.0;Unknown;Unknown;;None;;;;;;;;;;;;2;11077887;;BU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
59272;6;0;0;6;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;11196641;20190627082224;1630000;4368;Adriaan Brouwerstraat;3;;2000;Antwerpen;;152336,854;213083,266;;N;ORN;6.0;18.0;Unknown;Unknown;;None;;;;;;;;;;;;1;11076535;;LU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
59272;6;0;0;6;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;11196641;20190627082224;1630000;4368;Adriaan Brouwerstraat;3;;2000;Antwerpen;;152336,854;213083,266;;N;ORN;6.0;18.0;Unknown;Unknown;;None;;;;;;;;;;;;2;11076536;;LU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
59272;6;0;0;6;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;11196641;20190627082224;1630000;4368;Adriaan Brouwerstraat;3;;2000;Antwerpen;;152336,854;213083,266;;N;ORN;6.0;18.0;Unknown;Unknown;;None;;;;;;;;;;;;3;11076537;;LU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
59272;6;0;0;6;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;11196641;20190627082224;1630000;4368;Adriaan Brouwerstraat;3;;2000;Antwerpen;;152336,854;213083,266;;N;ORN;6.0;18.0;Unknown;Unknown;;None;;;;;;;;;;;;4;11076538;;LU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
59272;6;0;0;6;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;11196641;20190627082224;1630000;4368;Adriaan Brouwerstraat;3;;2000;Antwerpen;;152336,854;213083,266;;N;ORN;6.0;18.0;Unknown;Unknown;;None;;;;;;;;;;;;5;11076539;;LU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
59272;6;0;0;6;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;11196641;20190627082224;1630000;4368;Adriaan Brouwerstraat;3;;2000;Antwerpen;;152336,854;213083,266;;N;ORN;6.0;18.0;Unknown;Unknown;;None;;;;;;;;;;;;6;11076540;;LU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
59273;1;0;1;0;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;11196803.0;20181222110919;Adriaan Brouwerstraat 23 - Sint-Aldegondiskaai 40;;;;;;;11196744;20190524120956;1630000;4368;Adriaan Brouwerstraat;23;;2000;Antwerpen;;152461,282;213085,686;;N;IRREG;6.0;18.0;Unknown;Unknown;;None;;;;;;;;;;;;1;11077095;;BU;1;;;;;;;;;;;;;;;;;;;;;;NL;SDU
59274;20;0;2;18;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;11196640;20190527165811;1630000;4368;Adriaan Brouwerstraat;9;;2000;Antwerpen;;152365,789;213084,974;;N;HEIGHT;7.0;21.0;Unknown;Unknown;;None;;;;;;;;;;;;1;11076515;;BU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
59274;20;0;2;18;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;11196640;20190527165811;1630000;4368;Adriaan Brouwerstraat;9;;2000;Antwerpen;;152365,789;213084,974;;N;HEIGHT;7.0;21.0;Unknown;Unknown;;None;;;;;;;;;;;;2;11076516;;BU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
59274;20;0;2;18;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;11196640;20190527165811;1630000;4368;Adriaan Brouwerstraat;9;;2000;Antwerpen;;152365,789;213084,974;;N;HEIGHT;7.0;21.0;Unknown;Unknown;;None;;;;;;;;;;;;3;11076517;;LU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
59274;20;0;2;18;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;11196640;20190527165811;1630000;4368;Adriaan Brouwerstraat;9;;2000;Antwerpen;;152365,789;213084,974;;N;HEIGHT;7.0;21.0;Unknown;Unknown;;None;;;;;;;;;;;;4;11076518;;LU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
59274;20;0;2;18;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;11196640;20190527165811;1630000;4368;Adriaan Brouwerstraat;9;;2000;Antwerpen;;152365,789;213084,974;;N;HEIGHT;7.0;21.0;Unknown;Unknown;;None;;;;;;;;;;;;5;11076519;;LU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
59274;20;0;2;18;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;11196640;20190527165811;1630000;4368;Adriaan Brouwerstraat;9;;2000;Antwerpen;;152365,789;213084,974;;N;HEIGHT;7.0;21.0;Unknown;Unknown;;None;;;;;;;;;;;;6;11076520;;LU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
59274;20;0;2;18;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;11196640;20190527165811;1630000;4368;Adriaan Brouwerstraat;9;;2000;Antwerpen;;152365,789;213084,974;;N;HEIGHT;7.0;21.0;Unknown;Unknown;;None;;;;;;;;;;;;7;11076521;;LU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
59274;20;0;2;18;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;11196640;20190527165811;1630000;4368;Adriaan Brouwerstraat;9;;2000;Antwerpen;;152365,789;213084,974;;N;HEIGHT;7.0;21.0;Unknown;Unknown;;None;;;;;;;;;;;;8;11076522;;LU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
59274;20;0;2;18;;;;Zoning;8105287;20190616165215;W03-C-Antwerpen-West-FH01;8105287;20190616165215;W03-C-Antwerpen-West-FH01;19074;FTTH-Cu;;;;;;;;;;11196640;20190527165811;1630000;4368;Adriaan Brouwerstraat;9;;2000;Antwerpen;;152365,789;213084,974;;N;HEIGHT;7.0;21.0;Unknown;Unknown;;None;;;;;;;;;;;;9;11076523;;LU;1;;;;;;;;;;;;;;;;;;;;;;NL;MDU
