LAM MK;TOTAAL;SU;BU;LU;Zip;File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM City Code;LAM Street Code;Nr;Suffix;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;Street;Municipality;LANGUAGE;BT
5360;1;0;1;0;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;;;;;;;;;;766782;20191024150635;37370000;6512;86;;;174107,039;175018,066;;Y;NA;1;4;Undefined;Unknown;;None;;;;;;;;;;;;1;1935481;3569912;BU;1;;BU;;;;Y;;INDU;NIJVERHEIDSGEBOUW - ENTREPRISE INDUSTRIELLE;;;;;;;;;;;;;Diestsevest;Leuven;NL;SDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;1;1899750;3578298;LU;1;1;;;;;Y;#BL.B2BU.GV.TV/13/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;2;1899771;3578299;LU;1;2;;;;;Y;#BL.C1.A1/16;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;3;1899772;3578300;LU;1;3;;;;;Y;#BL.C2-A1/17/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;4;1899773;3578301;LU;1;4;;;;;Y;#BL.C2G.OG2/290/-K.OG2/282/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;5;1899774;3578302;LU;1;5;;;;;Y;#BL.D-K190A.OG3;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;6;1899775;3578303;LU;1;6;;;;;Y;#BL.D-K190B.OG4;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;7;1899776;3578304;LU;1;7;;;;;Y;#BL.DG.OG2/239/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;8;1899777;3578305;LU;1;8;;;;;Y;#BL.DG.OG2/240/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
5362;35;0;1;34;3000;;;;Zoning;5623303;20191109094843;W02-D-Leuven-FH03;5623303;20191109094843;W02-D-Leuven-FH03;15483;FTTH-Cu;13829824;20191016183701;;;;;;;;766783;20191016183748;37370000;19070;20;;;174101,79;174412,609;;N;IRREG;5;0;Undefined;Unknown;;None;;;;;;;;;;;;9;1899778;3578306;LU;1;9;;;;;Y;#BL.DG.OG2/241/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;;;;;;;;;;;;;Justus Lipsiusstraat;Leuven;NL;MDU
