File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;planrrr_bid;planrrr_uid
;;;Zoning;10432739;'20181017132036;W03-D-Hasselt-FH04;10432739;'20181017132036;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;;';;'26300000;'556;Ambachtsschoolstraat;'52;';3500;Hasselt;;'216931,74;'180847,71;;N;HEIGHT;2;;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-35005232c737;NB-35005232c737---0
;;;Zoning;10432739;'20181017132036;W03-D-Hasselt-FH04;10432739;'20181017132036;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;;';;'26300000;'556;Ambachtsschoolstraat;'54;';3500;Hasselt;;'216928,48;'180848,95;;N;HEIGHT;2;;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-350054719105;NB-350054719105---0
;;;Zoning;10432739;'20181017132036;W03-D-Hasselt-FH04;10432739;'20181017132036;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;;';;'26300000;'26767;Rozenstraat;'29;';3500;Hasselt;;'217527,16;'180907,02;;N;HEIGHT;2;;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-350029547670;NB-350029547670---0
;;;Zoning;10432739;'20181017132036;W03-D-Hasselt-FH04;10432739;'20181017132036;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;;';;'26300000;'17518;Kuringersteenweg;'55;';3500;Hasselt;;'217279,15;'180786,91;;N;HEIGHT;2;;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-350055e26e04;NB-350055e26e04---0
;;;Zoning;10432739;'20181017132036;W03-D-Hasselt-FH04;10432739;'20181017132036;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;;';;'26300000;'4014;Grote Breemstraat;'113;';3500;Hasselt;;'216900,22;'180831,78;;N;HEIGHT;0;;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-35001136ab224;NB-35001136ab224---0
;;;Zoning;10432739;'20181017132036;W03-D-Hasselt-FH04;10432739;'20181017132036;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;;';;'26300000;'17516;Oude Kuringerbaan;'126;';3500;Hasselt;;'217016,16;'180980,06;;Y;NA;2;4;Unknown;Unknown;D;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;;;;';NB-3500126abb725;NB-3500126abb725---0
;;;Zoning;10432739;'20181017132036;W03-D-Hasselt-FH04;10432739;'20181017132036;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;;';;'26300000;'23808;Palmstraat;'34;';3500;Hasselt;;'217333,188606;'180970,155543;;Y;NA;4;4;Unknown;Unknown;D;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-350034e59d80;NB-350034e59d80---0
;;;Zoning;10432739;'20181017132036;W03-D-Hasselt-FH04;10432739;'20181017132036;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;;';;'26300000;'23808;Palmstraat;'34;';3500;Hasselt;;'217333,188606;'180970,155543;;Y;NA;4;4;Unknown;Unknown;D;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-350034e59d80;NB-350034e59d80---1
;;;Zoning;10432739;'20181017132036;W03-D-Hasselt-FH04;10432739;'20181017132036;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;402036;'20190606182128;701689;'26300000;'10255;Goetsbloetsstraat;'1;';3500;Hasselt;;'217114,8216;'180833,7017;;Y;NA;4;4;Unknown;Unknown;D;None;;;;;;;Y;MODIFY;;;';;;;BU;1;;;;;;;;;;;;;;;;;N;NEW;;;';701689;
;;;Zoning;10432739;'20181017132036;W03-D-Hasselt-FH04;10432739;'20181017132036;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;402036;'20190606182128;701689;'26300000;'10255;Goetsbloetsstraat;'1;';3500;Hasselt;;'217114,8216;'180833,7017;;Y;NA;4;4;Unknown;Unknown;D;None;;;;;;;Y;MODIFY;;;';1;1152908;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;N;KEEP;;;';701689;1152908
;;;Zoning;10432739;'20181017132036;W03-D-Hasselt-FH04;10432739;'20181017132036;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;402036;'20190606182128;701689;'26300000;'10255;Goetsbloetsstraat;'1;';3500;Hasselt;;'217114,8216;'180833,7017;;Y;NA;4;4;Unknown;Unknown;D;None;;;;;;;Y;MODIFY;;;';2;11121048;;LU;1;;;;;;Y;;;;NA;;;;;;;N;KEEP;;;';701689;11121048
;;;Zoning;10432739;'20181017132036;W03-D-Hasselt-FH04;10432739;'20181017132036;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;402036;'20190606182128;701689;'26300000;'10255;Goetsbloetsstraat;'1;';3500;Hasselt;;'217114,8216;'180833,7017;;Y;NA;4;4;Unknown;Unknown;D;None;;;;;;;Y;MODIFY;;;';3;11121049;;LU;1;;;;;;Y;;;;NA;;;;;;;N;KEEP;;;';701689;11121049
;;;Zoning;10432739;'20181017132036;W03-D-Hasselt-FH04;10432739;'20181017132036;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;12621000;'20190606182120;701692;'26300000;'10255;Goetsbloetsstraat;'2;';3500;Hasselt;;'217131;'180819;;Y;NA;3;3;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;11120996;;LU;1;;;;;;;;;;;;;;;;;N;KEEP;;;';701692;11120996
;;;Zoning;10432739;'20181017132036;W03-D-Hasselt-FH04;10432739;'20181017132036;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;384467;'20190606182111;2415928;'26300000;'10255;Goetsbloetsstraat;'3;';3500;Hasselt;;'217109,3792;'180822,7658;;Y;NA;2;3;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;1171521;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;N;KEEP;;;';2415928;1171521
;;;Zoning;10432739;'20181017132036;W03-D-Hasselt-FH04;10432739;'20181017132036;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;398184;'20190606182134;4893066;'26300000;'10255;Goetsbloetsstraat;'5;';3500;Hasselt;;'217106,963;'180817,436;;Y;NA;2;3;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;1180599;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;N;KEEP;;;';4893066;1180599
;;;Zoning;10432739;'20181017132036;W03-D-Hasselt-FH04;10432739;'20181017132036;W03-D-Hasselt-FH04;23997;FTTH-Cu;;';';;;;;;;398185;'20190606182134;4893069;'26300000;'10255;Goetsbloetsstraat;'7;';3500;Hasselt;;'217104,618;'180812,959;;Y;NA;2;3;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;1186185;;LU;1;;;;;;Y;;HOUSE;WONING - MAISON;NA;;;;;;;N;KEEP;;;';4893069;1186185
