File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;planrrr_bid;planrrr_uid
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;714423;'20200824104654;60705;'1630000;'10726;Groenkerkhofstraat;'1;';2000;Antwerpen;;'152218,797;'212100,056;;Y;MON;4;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;1615152;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;N;KEEP;;;';60705;1615152
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;714423;'20200824104654;60705;'1630000;'10726;Groenkerkhofstraat;'1;';2000;Antwerpen;;'152218,797;'212100,056;;Y;MON;4;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;1615153;;LU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;N;KEEP;;;';60705;1615153
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;714423;'20200824104654;60705;'1630000;'10726;Groenkerkhofstraat;'1;';2000;Antwerpen;;'152218,797;'212100,056;;Y;MON;4;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';3;11192149;;LU;1;;;;;;;;;;;;;;;;;N;KEEP;;;';60705;11192149
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;714423;'20200824104654;60705;'1630000;'10726;Groenkerkhofstraat;'1;';2000;Antwerpen;;'152218,797;'212100,056;;Y;MON;4;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';4;11192150;;LU;1;;;;;;;;;;;;;;;;;N;KEEP;;;';60705;11192150
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;714423;'20200824104654;60705;'1630000;'10726;Groenkerkhofstraat;'1;';2000;Antwerpen;;'152218,797;'212100,056;;Y;MON;4;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';5;11192151;;LU;1;;;;;;;;;;;;;;;;;N;DELETE;;;';60705;11192151
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';'Groenplaats 1_Groenkerkhofstraat 5-7;NEW;;;NEW;;;13335022;'20200820130105;60706;'1630000;'10726;Groenkerkhofstraat;'7;';2000;Antwerpen;;'152236,84;'212095,204;;Y;NA;4;5;Unknown;Unknown;;None;;;;;;;Y;DELETE;;;';1;11136200;;LU;1;;;;;;;;;;;;;;;;;N;DELETE;;;';60706;11136200
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';'Groenplaats 1_Groenkerkhofstraat 5-7;NEW;;;NEW;;;13335022;'20200820130105;60706;'1630000;'10726;Groenkerkhofstraat;'7;';2000;Antwerpen;;'152236,84;'212095,204;;Y;NA;4;5;Unknown;Unknown;;None;;;;;;;Y;DELETE;;;';2;11192152;;LU;1;;;;;;;;;;;;;;;;;N;DELETE;;;';60706;11192152
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';'Groenplaats 1_Groenkerkhofstraat 5-7;NEW;;;NEW;;;13335022;'20200820130105;60706;'1630000;'10726;Groenkerkhofstraat;'7;';2000;Antwerpen;;'152236,84;'212095,204;;Y;NA;4;5;Unknown;Unknown;;None;;;;;;;Y;DELETE;;;';3;11192153;;LU;1;;;;;;;;;;;;;;;;;N;DELETE;;;';60706;11192153
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;714424;'20200824104953;60707;'1630000;'10726;Groenkerkhofstraat;'3;';2000;Antwerpen;;'152223,923;'212098,795;;Y;NA;4;6;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;1741683;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;N;KEEP;;;';60707;1741683
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;714444;'20200827093721;60732;'1630000;'10734;Groenplaats;'4;';2000;Antwerpen;;'152247,651;'212133,35;;Y;NA;3;3;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;1775772;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;N;KEEP;;;';60732;1775772
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;612231;'20200901172527;1059320;'1630000;'10734;Groenplaats;'16;';2000;Antwerpen;;'152254,097;'212221,832;;Y;NA;4;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;1668427;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;N;KEEP;;;';1059320;1668427
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;612231;'20200901172527;1059320;'1630000;'10734;Groenplaats;'16;';2000;Antwerpen;;'152254,097;'212221,832;;Y;NA;4;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;11192204;;LU;1;;;;;;;;;;;;;;;;;N;KEEP;;;';1059320;11192204
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;612231;'20200901172527;1059320;'1630000;'10734;Groenplaats;'16;';2000;Antwerpen;;'152254,097;'212221,832;;Y;NA;4;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';1059320;
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;612232;'20200901172450;1059322;'1630000;'10734;Groenplaats;'30;';2000;Antwerpen;;'152339,978;'212203,198;;Y;MON;3;4;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;1744892;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;N;KEEP;;;';1059322;1744892
;;;Zoning;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;6804453;'20200127094727;W03-C-Antwerpen-West-FH06;19083;FTTH-Cu;;';';;;;;;;612315;'20200901172452;1074858;'1630000;'10734;Groenplaats;'28;';2000;Antwerpen;;'152326,412;'212205,979;;Y;NA;4;3;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;1732597;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;;;;;;;;N;KEEP;;;';1074858;1732597
