File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;planrrr_bid;planrrr_uid
;;;Zoning;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;';';;;;;;;21158451;'20200218102754;12872;'33860000;'10279;Golvenstraat;'19;';8300;Knokke-Heist;;'75611,85;'227783,587;;Y;NA;7;4;Unknown;Unknown;A - Floorbox;None;;;;;;;Y;MODIFY;;;';1;8333238;;LU;1;101;101;;1;;Y;#A2/2/K5;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;MODIFY;;;';12872;8333238
;;;Zoning;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;';';;;;;;;21158451;'20200218102754;12872;'33860000;'10279;Golvenstraat;'19;';8300;Knokke-Heist;;'75611,85;'227783,587;;Y;NA;7;4;Unknown;Unknown;A - Floorbox;None;;;;;;;Y;MODIFY;;;';2;8333239;;LU;1;201;201;;2;;Y;#A4/4/K4;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;MODIFY;;;';12872;8333239
;;;Zoning;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;';';;;;;;;21158451;'20200218102754;12872;'33860000;'10279;Golvenstraat;'19;';8300;Knokke-Heist;;'75611,85;'227783,587;;Y;NA;7;4;Unknown;Unknown;A - Floorbox;None;;;;;;;Y;MODIFY;;;';3;8337459;;LU;1;301;301;;3;;Y;#A1/1/K3;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;MODIFY;;;';12872;8337459
;;;Zoning;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;';';;;;;;;21158451;'20200218102754;12872;'33860000;'10279;Golvenstraat;'19;';8300;Knokke-Heist;;'75611,85;'227783,587;;Y;NA;7;4;Unknown;Unknown;A - Floorbox;None;;;;;;;Y;MODIFY;;;';4;8337460;;LU;1;401;401;;4;;Y;#A3/3/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;MODIFY;;;';12872;8337460
;;;Zoning;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;';';;;;;;;21158451;'20200218102754;12872;'33860000;'10279;Golvenstraat;'19;';8300;Knokke-Heist;;'75611,85;'227783,587;;Y;NA;7;4;Unknown;Unknown;A - Floorbox;None;;;;;;;Y;MODIFY;;;';5;8346044;;LU;1;501;501;;5;;Y;#A5.6/S6/K12;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;MODIFY;;;';12872;8346044
;;;Zoning;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;';';;;;;;;21158451;'20200218102754;12872;'33860000;'10279;Golvenstraat;'19;';8300;Knokke-Heist;;'75611,85;'227783,587;;Y;NA;7;4;Unknown;Unknown;A - Floorbox;None;;;;;;;Y;MODIFY;;;';6;11299100;;SU;1;SU01;SU01;;0;;Y;;;;APPART;;;;;;;N;MODIFY;;;';12872;11299100
;;;Zoning;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;';';;;;;;;21158642;'20200218102832;320858;'33860000;'10279;Golvenstraat;'6;';8300;Knokke-Heist;;'75586,287;'227790,417;;N;IRREG;10;4;Unknown;Unknown;A - Floorbox;None;;;;;;;Y;MODIFY;;;';4;8334244;;BU;1;1;1;;0;;Y;#HA.GV;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;MODIFY;;;';320858;8334244
;;;Zoning;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;';';;;;;;;21158642;'20200218102832;320858;'33860000;'10279;Golvenstraat;'6;';8300;Knokke-Heist;;'75586,287;'227790,417;;N;IRREG;10;4;Unknown;Unknown;A - Floorbox;None;;;;;;;Y;MODIFY;;;';1;8334241;;LU;1;101;101;;1;;Y;#A2/A2/B15;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;MODIFY;;;';320858;8334241
;;;Zoning;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;';';;;;;;;21158642;'20200218102832;320858;'33860000;'10279;Golvenstraat;'6;';8300;Knokke-Heist;;'75586,287;'227790,417;;N;IRREG;10;4;Unknown;Unknown;A - Floorbox;None;;;;;;;Y;MODIFY;;;';;;;LU;1;102;102;;1;;;;;;;;;;;;;N;NEW;;;';320858;
;;;Zoning;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;';';;;;;;;21158642;'20200218102832;320858;'33860000;'10279;Golvenstraat;'6;';8300;Knokke-Heist;;'75586,287;'227790,417;;N;IRREG;10;4;Unknown;Unknown;A - Floorbox;None;;;;;;;Y;MODIFY;;;';;;;LU;1;103;103;;1;;;;;;;;;;;;;N;NEW;;;';320858;
;;;Zoning;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;';';;;;;;;21158642;'20200218102832;320858;'33860000;'10279;Golvenstraat;'6;';8300;Knokke-Heist;;'75586,287;'227790,417;;N;IRREG;10;4;Unknown;Unknown;A - Floorbox;None;;;;;;;Y;MODIFY;;;';;;;LU;1;201;201;;2;;;;;;;;;;;;;N;NEW;;;';320858;
;;;Zoning;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;7577430;'20200227094735;W03-C-Knokke-Heist-FH04;19895;FTTH-Cu;;';';;;;;;;21158642;'20200218102832;320858;'33860000;'10279;Golvenstraat;'6;';8300;Knokke-Heist;;'75586,287;'227790,417;;N;IRREG;10;4;Unknown;Unknown;A - Floorbox;None;;;;;;;Y;MODIFY;;;';;;;LU;1;202;202;;2;;;;;;;;;;;;;N;NEW;;;';320858;
