SS_Fiberhood;LAMKEY;NATURE;PBOX;BLOCK;FLOOR;APP
;4191311;SU;;;-1;-101
;4191311;LU;;;1;101
;4191311;LU;;;1;102
;4191311;LU;;;2;201
;4191311;LU;;;2;202
;4191311;LU;;;3;301
;4191311;LU;;;3;302
;3512861;LU;;;1;101
;3512862;LU;;;2;201
;3512864;LU;;;4;401
;3517983;SU;;;-1;
;3517983;LU;;;1;1
;3517983;LU;;;1;2
;3517983;LU;;;2;1
;3517983;LU;;;2;2
;3517983;LU;;;0;1
;4455761;SU;;;-1;
;4455761;LU;;;1;1
;4455761;LU;;;1;2
;4455761;LU;;;1;3
;4455761;LU;;;1;4
;4455761;LU;;;2;1
;4455761;LU;;;2;2
;4455761;LU;;;2;3
;4455761;LU;;;2;4
;4461686;BU;;;0;2
;3515799;BU;;;0;1
;2033948;LU;;;1;1
;2033948;LU;;;2;1
;2033948;LU;;;2;2
;2033948;LU;;;3;1
;2033948;LU;;;3;2
;2033948;LU;;;4;1
;2033948;LU;;;4;2
;2033948;LU;;;5;1
;2033948;LU;;;5;2
;2033948;LU;;;6;1
;2033948;LU;;;6;2
;2033948;LU;;;7;1
;2033948;LU;;;7;2
;2033948;SU;;;0;1
;2033948;SU;;;0;2
;1425360;BU;;;Rdc;1
;1425360;LU;;;1;11
;1425360;LU;;;2;21
;1425360;LU;;;3;31
;459837;BU;;;Rdc;1
;459837;BU;;;Rdc;2
;459837;BU;;;Rdc;3
;459837;BU;;;Rdc;4
;459837;BU;;;Rdc;5
;459837;BU;;;Rdc;6
;459837;BU;;;Rdc;7
;459837;BU;;;Rdc;8
;459837;BU;;;Rdc;9
;459837;BU;;;Rdc;10
;459837;BU;;;Rdc;11
;459837;BU;;;Rdc;12
;459837;BU;;;Rdc;13
;459837;BU;;;Rdc;14
;459837;BU;;;Rdc;15
;459837;BU;;;Rdc;16
;459837;BU;;;Rdc;17
;459837;BU;;;Rdc;18
;459837;BU;;;Rdc;19
;459837;BU;;;Rdc;20
;459837;BU;;;Rdc;21
;459837;BU;;;Rdc;22
;459837;BU;;;Rdc;23
;459837;BU;;;Rdc;24
;459837;BU;;;Rdc;25
;459837;BU;;;Rdc;26
;459837;BU;;;Rdc;27
;459837;BU;;;Rdc;28
;459837;BU;;;Rdc;29
;459837;BU;;;Rdc;30
;459837;BU;;;Rdc;31
;459837;SU;;;Rdc;1
;3047026;BU;1;;0;1
;3047026;LU;101;;1;1
;3047026;LU;201;;2;1
;3047026;LU;301;;3;1
;4167126;BU;;;0;1
;4167126;LU;;;1;101
;3515388;SU;;;-1;-101
;3515388;LU;Bus1;;1;101
;3515388;LU;Bus2;;1;102
;3515388;LU;Bus3;;2;201
;469810;BU;;;Rdc;1
;469810;BU;;;Rdc;2
;469810;LU;;;Rdc;3
;469810;LU;;;Rdc;4
;469810;SU;;;Rdc;5
;469810;SU;;;Rdc;6
;469810;LU;;;1;11
;469810;LU;;;1;12
;469810;LU;;;2;21
;469810;LU;;;2;22
;469810;LU;;;3;31
;469810;LU;;;3;32
;469810;LU;;;4;41
;469810;LU;;;4;42
;469810;LU;;;5;51
;469810;LU;;;5;52
;469810;LU;;;6;61
;469810;LU;;;6;62
;469810;LU;;;7;71
;469810;LU;;;7;72
;2767436;LU;1;;0;
;2767436;LU;101;;1;
;2767436;LU;201;;2;
;2760407;LU;1;;0;
;2760407;LU;101;;1;
;301955;BU;1;;0;
;301955;LU;11;;1;
;301955;LU;12;;1;
;301955;LU;21;;2;
;301955;LU;22;;2;
;301955;LU;31;;3;
;301955;LU;32;;3;
;301955;LU;41;;4;
;301955;SU;0;;;
;4337610;BU;0.1;;0;
;4337610;LU;1.1;;1;
;4337610;LU;2.1;;2;
;4337610;LU;3.1;;3;
;4337610;LU;4.1;;4;
;4337610;SU;0;;;
W03-D-Sint-Niklaas-FH02;3484872;LU;1;;0;
W03-D-Sint-Niklaas-FH02;3484872;LU;101;;1;
W03-D-Sint-Niklaas-FH02;3484872;LU;201;;2;
W03-D-Sint-Niklaas-FH02;3484872;LU;301;;3;
W03-D-Sint-Niklaas-FH02;3484872;SU;0;;;
W03-D-Sint-Niklaas-FH02;4444854;BU;1;;0;
W03-D-Sint-Niklaas-FH02;4444854;LU;101;;1;
W03-D-Sint-Niklaas-FH02;4444854;LU;201;;2;
W03-D-Sint-Niklaas-FH02;4444862;SU;0;;0;
W03-D-Sint-Niklaas-FH02;4444862;SU;1;;0;
W03-D-Sint-Niklaas-FH02;4444862;LU;101;;1;
W03-D-Sint-Niklaas-FH02;4444862;LU;201;;2;
