SS_Fiberhood;LAMKEY;NATURE;PBOX;BLOCK;FLOOR;APP
W03-C-Liege-FH07;2768377;BU;;;Rdc;1
W03-C-Liege-FH07;2768377;LU;;;2;21
W03-C-Liege-FH07;2768368;BU;;;Rdc;1
W03-C-Liege-FH07;2768368;LU;;;1;11
W03-C-Liege-FH07;2768368;LU;;;2;21
W03-C-Liege-FH07;2768365;BU;;;Rdc;1
W03-C-Liege-FH07;2768365;LU;;;1;11
W03-C-Liege-FH07;2768365;LU;;;2;21
W03-C-Liege-FH07;2768365;LU;;;3;31
W03-C-Liege-FH07;2768364;BU;;;Rdc;1
W03-C-Liege-FH07;2768364;LU;;;1;11
W03-C-Liege-FH07;2768362;BU;;;Rdc;1
W03-C-Liege-FH07;2768362;LU;;;1;11
W03-C-Liege-FH07;2768362;LU;;;2;21
W03-C-Liege-FH07;2771118;LU;;;Rdc;1
W03-C-Liege-FH07;2771118;LU;;;1;11
W03-C-Liege-FH07;2771118;LU;;;2;21
W03-C-Liege-FH07;3140175;BU;;;Rdc;1
W03-C-Liege-FH07;3140175;LU;;;1;11
W03-C-Liege-FH07;3140175;LU;;;1;12
W03-C-Liege-FH07;3140175;LU;;;2;21
W03-C-Liege-FH07;3140175;LU;;;2;22
W03-C-Liege-FH07;3140175;LU;;;3;31
W03-C-Liege-FH07;3140175;LU;;;3;32
W03-C-Liege-FH07;3140166;LU;;;Rdc;1
W03-C-Liege-FH07;3140166;LU;;;1;11
W03-C-Liege-FH07;3140166;LU;;;2;21
W03-C-Liege-FH07;3140166;LU;;;3;31
W03-C-Liege-FH07;661334;BU;;;Rdc;1
W03-C-Liege-FH07;661334;LU;;;1;11
W03-C-Knokke-Heist-FH09;302702;LU;11;;1;
W03-C-Knokke-Heist-FH09;302702;LU;12;;1;
W03-C-Knokke-Heist-FH09;302702;LU;21;;2;
W03-C-Knokke-Heist-FH09;302702;LU;22;;2;
W03-C-Knokke-Heist-FH09;302702;LU;31;;3;
W03-C-Knokke-Heist-FH09;302702;LU;32;;3;
W03-C-Knokke-Heist-FH09;302702;LU;41;;4;
W03-C-Knokke-Heist-FH09;302702;LU;42;;4;
W03-C-Knokke-Heist-FH09;302702;LU;51;;5;
W03-C-Knokke-Heist-FH09;302702;LU;52;;5;
W03-C-Knokke-Heist-FH09;302702;SU;1;;;
W03-C-Knokke-Heist-FH09;297133;LU;1;;0;
W03-C-Knokke-Heist-FH09;297133;LU;11;;1;
W03-C-Knokke-Heist-FH09;297133;LU;12;;1;
W03-C-Knokke-Heist-FH09;297133;LU;21;;2;
W03-C-Knokke-Heist-FH09;297133;LU;22;;2;
W03-C-Knokke-Heist-FH09;2758014;LU;1;;0;
W03-C-Knokke-Heist-FH09;2758014;LU;11;;1;
W03-C-Knokke-Heist-FH09;2758014;LU;21;;2;
W03-C-Knokke-Heist-FH09;2758014;LU;31;;3;
W03-C-Knokke-Heist-FH09;2758014;LU;41;;4;
W03-C-Knokke-Heist-FH09;2758014;LU;51;;5;
W03-C-Knokke-Heist-FH09;2758014;SU;1;;;
W03-C-Knokke-Heist-FH09;2758013;LU;1;;0;
W03-C-Knokke-Heist-FH09;2758013;LU;11;;1;
W03-C-Knokke-Heist-FH09;2758013;LU;21;;2;
W03-C-Knokke-Heist-FH09;2758013;LU;31;;3;
W03-C-Knokke-Heist-FH09;2758013;LU;41;;4;
W03-C-Knokke-Heist-FH09;2758013;LU;51;;5;
W03-C-Knokke-Heist-FH09;2758013;SU;1;;;
W03-C-Knokke-Heist-FH09;302687;LU;11;;1;
W03-C-Knokke-Heist-FH09;302687;LU;21;;2;
W03-C-Knokke-Heist-FH09;302687;LU;32;;3;
W03-C-Knokke-Heist-FH09;302687;SU;1;;;
W03-C-Knokke-Heist-FH09;71634;LU;11;;1;
W03-C-Knokke-Heist-FH09;71634;LU;12;;1;
W03-C-Knokke-Heist-FH09;71634;LU;21;;2;
W03-C-Knokke-Heist-FH09;71634;LU;22;;2;
W03-C-Knokke-Heist-FH09;71634;LU;31;;3;
W03-C-Knokke-Heist-FH09;71634;LU;32;;3;
W03-C-Knokke-Heist-FH09;71634;LU;41;;4;
W03-C-Knokke-Heist-FH09;71634;LU;42;;4;
W03-C-Knokke-Heist-FH09;71634;LU;51;;5;
W03-C-Knokke-Heist-FH09;71634;SU;1;;;
W03-C-Knokke-Heist-FH09;2760285;LU;1;;1;
W03-C-Knokke-Heist-FH09;2760285;LU;2;;2;
W03-C-Knokke-Heist-FH09;2760285;LU;3;;3;
W03-C-Knokke-Heist-FH09;2760285;LU;4;;4;
W03-C-Knokke-Heist-FH09;2760285;LU;5;;5;
W03-C-Knokke-Heist-FH09;2760285;LU;6;;6;
W03-C-Knokke-Heist-FH09;2760285;LU;7;;7;
W03-C-Knokke-Heist-FH09;2760285;LU;8;;8;
W03-C-Knokke-Heist-FH09;2760285;LU;9;;9;
W03-C-Knokke-Heist-FH09;2760285;SU;1;;;
W03-C-Knokke-Heist-FH09;2763795;LU;11;;1;
W03-C-Knokke-Heist-FH09;2763795;LU;12;;2;
W03-C-Knokke-Heist-FH09;2763795;LU;13;;1;
W03-C-Knokke-Heist-FH09;2763795;LU;14;;1;
W03-C-Knokke-Heist-FH09;2763795;LU;15;;1;
W03-C-Knokke-Heist-FH09;2763795;LU;16;;1;
W03-C-Knokke-Heist-FH09;2763795;LU;21;;2;
W03-C-Knokke-Heist-FH09;2763795;LU;22;;2;
W03-C-Knokke-Heist-FH09;2763795;LU;23;;2;
W03-C-Knokke-Heist-FH09;2763795;LU;24;;2;
W03-C-Knokke-Heist-FH09;2763795;LU;25;;2;
W03-C-Knokke-Heist-FH09;2763795;LU;26;;2;
W03-C-Knokke-Heist-FH09;2763795;LU;31;;3;
W03-C-Knokke-Heist-FH09;2763795;LU;32;;3;
W03-C-Knokke-Heist-FH09;2763795;LU;33;;3;
W03-C-Knokke-Heist-FH09;2763795;LU;34;;3;
W03-C-Knokke-Heist-FH09;2763795;LU;35;;3;
W03-C-Knokke-Heist-FH09;2763795;LU;36;;3;
W03-C-Knokke-Heist-FH09;2763795;LU;41;;4;
W03-C-Knokke-Heist-FH09;2763795;LU;42;;4;
W03-C-Knokke-Heist-FH09;2763795;LU;43;;4;
W03-C-Knokke-Heist-FH09;2763795;LU;44;;4;
W03-C-Knokke-Heist-FH09;2763795;LU;45;;4;
W03-C-Knokke-Heist-FH09;2763795;LU;51;;5;
W03-C-Knokke-Heist-FH09;2763795;LU;52;;5;
W03-C-Knokke-Heist-FH09;2763795;LU;53;;5;
W03-C-Knokke-Heist-FH09;2763795;LU;54;;5;
W03-C-Knokke-Heist-FH09;2763795;LU;61;;6;
W03-C-Knokke-Heist-FH09;2763795;LU;62;;6;
W03-C-Knokke-Heist-FH09;2763795;LU;63;;6;
W03-C-Knokke-Heist-FH09;2763795;LU;64;;6;
W03-C-Knokke-Heist-FH09;2763795;LU;71;;7;
W03-C-Knokke-Heist-FH09;2763795;LU;72;;7;
W03-C-Knokke-Heist-FH09;2763795;LU;73;;7;
W03-C-Knokke-Heist-FH09;2763795;SU;1;;;
W03-C-Knokke-Heist-FH09;2758771;LU;11;;1;
W03-C-Knokke-Heist-FH09;2758771;LU;21;;2;
W03-C-Knokke-Heist-FH09;2758771;LU;31;;3;
W03-C-Knokke-Heist-FH09;2758771;LU;41;;4;
W03-C-Knokke-Heist-FH09;292673;LU;101;;1;
W03-C-Knokke-Heist-FH09;292673;LU;201;;2;
W03-C-Knokke-Heist-FH09;292673;LU;301;;3;
W03-C-Knokke-Heist-FH09;292673;LU;401;;4;
W03-C-Knokke-Heist-FH09;292673;LU;501;;5;
W03-C-Knokke-Heist-FH09;292673;LU;601;;6;
W03-C-Knokke-Heist-FH09;292673;LU;701;;7;
W03-C-Knokke-Heist-FH09;292673;SU;1;;;
W03-C-Knokke-Heist-FH09;4337486;LU;1;;0;
W03-C-Knokke-Heist-FH09;4337486;LU;101;;1;
W03-C-Knokke-Heist-FH09;4337486;LU;201;;2;
W03-C-Knokke-Heist-FH09;4337486;LU;301;;3;
W03-C-Uccle-FH03;4065901;LU;1;;0;
W03-C-Uccle-FH03;4065901;BU;101;;1;
W03-C-Knokke-Heist-FH09;292346;LU;1;;0;
W03-C-Knokke-Heist-FH09;292346;LU;11;;1;
W03-C-Knokke-Heist-FH09;292346;LU;21;;2;
W03-C-Knokke-Heist-FH09;292346;LU;31;;3;
W03-C-Knokke-Heist-FH09;292346;LU;41;;4;
W03-C-Knokke-Heist-FH09;292346;LU;51;;5;
W03-C-Knokke-Heist-FH09;292346;LU;61;;6;
W03-C-Knokke-Heist-FH09;292346;LU;71;;7;
W03-C-Knokke-Heist-FH09;292346;SU;1;;;
W03-C-Uccle-FH03;1052873;BU;1;;0;
W03-C-Uccle-FH03;1052873;LU;101;;1;
W03-C-Uccle-FH03;1052873;LU;102;;1;
W03-C-Uccle-FH03;1052873;LU;201;;2;
W03-C-Uccle-FH03;1052873;LU;202;;2;
W03-C-Uccle-FH03;1052873;LU;301;;3;
W03-C-Uccle-FH03;1052873;LU;302;;3;
W03-C-Uccle-FH03;1052873;LU;401;;4;
W03-C-Uccle-FH03;1052873;LU;402;;4;
W03-C-Knokke-Heist-FH09;2756876;BU;1;;0;
W03-C-Knokke-Heist-FH09;2756876;LU;11;;1;
W03-C-Knokke-Heist-FH09;2756876;LU;21;;2;
W03-C-Knokke-Heist-FH09;2756876;LU;31;;3;
W03-C-Knokke-Heist-FH09;2756876;LU;41;;4;
W03-C-Knokke-Heist-FH09;2756876;LU;51;;5;
W03-C-Knokke-Heist-FH09;2756876;LU;61;;6;
W03-C-Knokke-Heist-FH09;2756876;LU;71;;7;
W03-C-Knokke-Heist-FH09;2756876;LU;81;;8;
W03-C-Knokke-Heist-FH09;2756876;SU;1;;;
W03-C-Knokke-Heist-FH09;2756904;LU;1;;0;
W03-C-Knokke-Heist-FH09;2756904;LU;11;;1;
W03-C-Knokke-Heist-FH09;2756904;LU;21;;2;
W03-C-Knokke-Heist-FH09;2756904;LU;31;;3;
W03-C-Knokke-Heist-FH09;2756904;LU;41;;4;
W03-C-Knokke-Heist-FH09;2756904;LU;51;;5;
W03-C-Knokke-Heist-FH09;2756904;LU;61;;6;
W03-C-Knokke-Heist-FH09;2756904;LU;71;;7;
W03-C-Knokke-Heist-FH09;2756904;LU;81;;8;
W03-C-Knokke-Heist-FH09;2756904;LU;91;;9;
W03-C-Knokke-Heist-FH09;2756904;SU;1;;;
W03-C-Uccle-FH03;1051971;LU;1;;0;
W03-C-Uccle-FH03;1051971;LU;2;;0;
