SS_Fiberhood;LAMKEY;NATURE;PBOX;BLOCK;FLOOR;APP
W02-D-Hasselt-FH02;2419243;LU;;;;
W02-D-Hasselt-FH02;2419243;LU;;;;
W02-D-Hasselt-FH02;2419243;BU;;;;
W02-D-Hasselt-FH02;2419243;SU;;;;
W02-D-Hasselt-FH02;2419243;LU;;;;
W02-D-Hasselt-FH02;2419243;LU;;;;
W02-D-Hasselt-FH02;2419243;SU;;;;
W02-D-Hasselt-FH02;2419243;LU;;;;
W02-D-Hasselt-FH02;2419243;;;;;
W03-C-Antwerpen-West-FH01;108294;LU;1;;0;
W03-C-Antwerpen-West-FH01;108294;LU;2;;0;
W03-C-Antwerpen-West-FH01;108294;LU;11;;1;
W03-C-Antwerpen-West-FH01;108294;LU;12;;1;
W03-C-Antwerpen-West-FH01;108294;LU;13;;1;
W03-C-Antwerpen-West-FH01;108294;LU;21;;2;
W03-C-Antwerpen-West-FH01;108294;LU;22;;2;
W03-C-Antwerpen-West-FH01;108294;LU;23;;2;
W03-C-Antwerpen-West-FH01;108294;LU;31;;3;
W03-C-Antwerpen-West-FH01;108294;LU;32;;3;
W03-C-Antwerpen-West-FH01;108294;LU;33;;3;
W03-C-Antwerpen-West-FH01;108294;LU;41;;4;
W03-C-Antwerpen-West-FH01;108294;LU;43;;4;
W03-C-Antwerpen-West-FH01;108294;LU;51;;5;
W03-C-Antwerpen-West-FH01;108294;LU;52;;5;
W03-C-Antwerpen-West-FH01;108294;LU;53;;5;
W03-C-Antwerpen-West-FH01;108292;LU;1;;0;
W03-C-Antwerpen-West-FH01;108292;BU;2;;0;
W03-C-Antwerpen-West-FH01;108292;LU;11;;1;
W03-C-Antwerpen-West-FH01;108292;LU;12;;1;
W03-C-Antwerpen-West-FH01;108292;LU;13;;1;
W03-C-Antwerpen-West-FH01;108292;LU;21;;2;
W03-C-Antwerpen-West-FH01;108292;LU;22;;2;
W03-C-Antwerpen-West-FH01;108292;LU;23;;2;
W03-C-Antwerpen-West-FH01;108292;LU;31;;3;
W03-C-Antwerpen-West-FH01;108292;LU;32;;3;
W03-C-Antwerpen-West-FH01;108292;LU;33;;3;
W03-C-Antwerpen-West-FH01;108292;LU;41;;4;
W03-C-Antwerpen-West-FH01;108292;LU;42;;4;
W03-C-Antwerpen-West-FH01;108292;LU;43;;4;
W03-C-Antwerpen-West-FH01;108292;LU;51;;5;
W03-C-Antwerpen-West-FH01;108292;LU;52;;5;
W03-C-Antwerpen-West-FH01;108292;;;;;
W03-C-Liege-FH06;661019;BU;;601;0;1
W03-C-Liege-FH06;661019;LU;;601;1;11
W03-C-Liege-FH06;661019;LU;;601;1;12
W03-C-Liege-FH06;661019;LU;;601;2;21
W03-C-Liege-FH06;661019;LU;;601;2;22
W03-C-Liege-FH06;661019;LU;;601;3;31
W03-C-Liege-FH06;661019;LU;;601;3;32
W03-C-Liege-FH06;661019;LU;;601;4;41
W03-C-Liege-FH06;661019;SU;;;;
W02-D-Hasselt-FH01;2442323;BU;;;0;
W02-D-Hasselt-FH01;2442323;BU;;;0;
W02-D-Hasselt-FH01;2442323;LU;1;;1;
W02-D-Hasselt-FH01;2442323;LU;2;;1;
W02-D-Hasselt-FH01;2442323;LU;3;;2;
W02-D-Hasselt-FH01;2442323;LU;4;;2;
W02-D-Hasselt-FH01;2442323;LU;5;;3;
W02-D-Hasselt-FH01;2442323;LU;6;;3;
W02-D-Hasselt-FH01;2442323;LU;7;;4;
W02-D-Hasselt-FH01;2442323;LU;8;;4;
W02-D-Hasselt-FH01;2442323;LU;9;;5;
W02-D-Hasselt-FH01;2442323;LU;10;;6;
W02-D-Hasselt-FH01;2442323;SU;;;0;
W03-C-Liege-FH06;3143461;BU;;601;0;1
W03-C-Liege-FH06;3143461;LU;;601;1;11
W03-C-Liege-FH06;3143461;LU;;601;2;21
W03-C-Liege-FH06;3143461;LU;;601;3;31
W03-C-Liege-FH06;4091405;BU;;601;0;1
W03-C-Liege-FH06;4091405;LU;;601;1;11
W03-C-Liege-FH06;4091405;LU;;601;2;21
W03-C-Liege-FH06;4091405;LU;;601;3;31
W03-D-Hasselt-FH04;701689;BU;;;0;
W03-D-Hasselt-FH04;701689;LU;1;;1;
W03-D-Hasselt-FH04;701689;LU;2;;2;
W03-D-Hasselt-FH04;701689;LU;3;;3;
W03-C-Antwerpen-West-FH01;1986523;LU;ApptmL;;2;
W03-C-Antwerpen-West-FH01;1986523;LU;ApptmR;;2;
W03-C-Liege-FH06;3143464;BU;;601;0;1
W03-C-Liege-FH06;3143464;LU;;601;1;11
W03-C-Liege-FH06;3143464;LU;;601;1;12
W03-C-Liege-FH06;3143464;LU;;601;2;21
W03-C-Liege-FH06;3143464;LU;;601;3;31
W03-C-Antwerpen-West-FH01;1088925;BU;11;;1;
W03-C-Antwerpen-West-FH01;1088925;BU;21;;2;
W03-C-Antwerpen-West-FH01;1088925;SU;;;1;
W03-C-Antwerpen-West-FH01;186518;BU;1;;0;
W03-C-Antwerpen-West-FH01;186518;BU;2;;0;
W03-C-Antwerpen-West-FH01;186518;BU;3;;0;
W03-C-Antwerpen-West-FH01;186518;BU;4;;0;
W03-C-Antwerpen-West-FH01;186518;SU;1;;;
W03-C-Antwerpen-West-FH01;1905643;BU;1;;0;
W03-C-Antwerpen-West-FH01;1905643;LU;201;;2;
W03-C-Antwerpen-West-FH01;1905643;LU;301;;3;
W02-D-Hasselt-FH01;3937243;BU;53/1;;0;
W02-D-Hasselt-FH01;3937243;BU;55/1;;0;
W02-D-Hasselt-FH01;3937243;BU;55/2;;0;
W02-D-Hasselt-FH01;3937243;LU;53/2;;1;
W02-D-Hasselt-FH01;3937243;LU;53/3;;2;
W02-D-Hasselt-FH01;3937243;LU;55/3;;1;
W02-D-Hasselt-FH01;3937243;LU;55/4;;2;
W03-C-Liege-FH06;1329617;BU;;602;0;1
W03-C-Liege-FH06;1329617;LU;;602;1;11
W03-C-Liege-FH06;1329617;LU;;602;1;12
W03-C-Liege-FH06;1329617;LU;;602;2;21
W03-C-Liege-FH06;1329617;LU;;602;2;22
W03-C-Liege-FH06;1329617;LU;;602;3;31
W03-C-Liege-FH06;1329617;LU;;602;3;32
W03-C-Liege-FH06;1329617;LU;;602;4;41
W03-C-Liege-FH06;1329617;LU;;602;4;42
W03-C-Liege-FH06;1329617;LU;;602;5;51
W03-C-Liege-FH06;1329617;LU;;602;5;52
W03-C-Liege-FH06;1329617;LU;;602;6;61
W03-C-Liege-FH06;1329617;LU;;602;6;62
W03-C-Liege-FH06;1329617;LU;;602;7;71
W03-C-Liege-FH06;1329617;LU;;602;7;72
W03-C-Liege-FH06;1329617;LU;;602;8;81
W03-C-Liege-FH06;1329617;LU;;602;8;82
W03-C-Liege-FH06;1329617;LU;;602;9;91
W03-C-Liege-FH06;1329617;LU;;602;9;92
W03-C-Liege-FH06;1329617;LU;;602;10;101
W03-C-Liege-FH06;1329617;LU;;602;10;102
W03-C-Liege-FH06;1329617;LU;;602;11;111
W03-C-Liege-FH06;1329617;SU;;;;
W03-C-Knokke-Heist-FH01;2763108;BU;0;;0;
W03-C-Knokke-Heist-FH01;2763108;LU;1;;1;
W03-C-Knokke-Heist-FH01;2763108;LU;2;;2;
W03-C-Knokke-Heist-FH01;2763108;LU;3;;3;
W03-C-Knokke-Heist-FH01;2763108;LU;4;;4;
W03-C-Knokke-Heist-FH01;2763108;LU;5;;5;
W03-C-Knokke-Heist-FH01;2763108;LU;6;;6;
W03-C-Knokke-Heist-FH01;2763108;SU;0;;;
W03-C-Antwerpen-West-FH01;1905254;LU;1;;0;
W03-C-Antwerpen-West-FH01;1905254;LU;11;;1;
W03-C-Antwerpen-West-FH01;1905254;LU;21;;;
W02-D-Hasselt-FH01;4272953;LU;1;1;0;
W02-D-Hasselt-FH01;4272953;LU;2;1;0;
W02-D-Hasselt-FH01;4272953;;2.1;1;1;
W02-D-Hasselt-FH01;4272953;LU;2.2;1;1;
W02-D-Hasselt-FH01;4272953;LU;2.1;1;2;
W02-D-Hasselt-FH01;4272953;LU;0.1;2;0;
W02-D-Hasselt-FH01;4272953;LU;0.2;2;0;
W02-D-Hasselt-FH01;4272953;LU;0.3;2;0;
W02-D-Hasselt-FH01;4272953;LU;1.1;2;1;
W02-D-Hasselt-FH01;4272953;LU;1.2;2;1;
W02-D-Hasselt-FH01;4272953;LU;2.1;2;2;
W03-C-Antwerpen-West-FH01;1905268;LU;81;;1;
W03-C-Antwerpen-West-FH01;1905268;LU;82;;2;
W03-C-Knokke-Heist-FH01;338420;BU;1;;0;
W03-C-Knokke-Heist-FH01;338420;LU;11;;1;
W03-C-Knokke-Heist-FH01;338420;LU;21;;2;
W03-C-Knokke-Heist-FH01;338420;LU;31;;3;
W03-C-Knokke-Heist-FH01;338420;LU;41;;4;
W03-C-Knokke-Heist-FH01;338420;LU;51;;5;
W03-C-Knokke-Heist-FH01;338420;SU;0;;;
W03-C-Liege-FH06;2743136;LU;;603;0;1
W03-C-Liege-FH06;2743136;LU;;603;0;2
W03-C-Liege-FH06;2743136;LU;;603;1;11
W03-C-Liege-FH06;2743136;LU;;603;2;21
W03-C-Liege-FH06;2743136;LU;;603;3;31
W03-C-Liege-FH06;2743136;LU;;603;4;41
W03-C-Liege-FH06;2743136;LU;;603;5;51
W03-C-Liege-FH06;2743136;LU;;603;6;61
W03-C-Liege-FH06;2743136;LU;;603;7;71
W03-C-Liege-FH06;2743136;LU;;603;8;81
W03-C-Liege-FH06;2743136;SU;;;;
W03-C-Antwerpen-West-FH01;1992574;LU;1;;1;
W03-C-Antwerpen-West-FH01;1992574;LU;2;;2;
W03-C-Antwerpen-West-FH01;1992574;LU;3;;3;
W03-C-Antwerpen-West-FH01;1294704;LU;11;;1;
W03-C-Antwerpen-West-FH01;1294704;LU;12;;1;
W03-C-Antwerpen-West-FH01;1294704;LU;21;;2;
W03-C-Antwerpen-West-FH01;1294704;LU;22;;2;
W03-C-Antwerpen-West-FH01;1294704;LU;31;;3;
W03-C-Antwerpen-West-FH01;1294704;LU;32;;3;
W03-C-Antwerpen-West-FH01;1294704;LU;41;;4;
W03-C-Antwerpen-West-FH01;1294704;LU;42;;4;
