Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate
ANTWERPEN-WEST - FH09;BL0011;1736233;Arenbergstraat;17;;;152712,94;211721,304;SDU;;0;1;0;1;N;MON;2;Monument;;;;BUILDING template
ANTWERPEN-WEST - FH09;BL0008;55119;Armeduivelstraat;6;;;152730,72;211818,973;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH09;BL0012;1736234;Arenbergstraat;23;;;152798,556;211727,813;SDU;;0;1;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH09;BL0007;55120;Armeduivelstraat;11;;;152745,262;211804,349;SDU;;0;1;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH09;BL0007;1736396;Armeduivelstraat;3;;;152743,056;211824,581;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH09;BL0007;55121;Armeduivelstraat;1;;;152742,136;211829,188;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH09;BL0007;1736397;Armeduivelstraat;7;;;152744,514;211815,632;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH09;BL0007;55140;Schuttershofstraat;32;;;152750,812;211829,242;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH09;BL0007;1736398;Armeduivelstraat;9;;;152744,904;211810,329;SDU;;0;1;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH09;BL0007;55142;Schuttershofstraat;50;;;152813,231;211834,103;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH09;BL0017;1773177;Bourlastraat;3;;;152735,705;211393,32;MDU;;10;0;0;10;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH09;BL0011;55144;Arenbergstraat;19;;;152732,664;211727,561;SDU;;0;1;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH09;BL0017;1773210;Bourlastraat;5;;;152739,44;211393,492;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
