File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;planrrr_bid;planrrr_uid
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'9;';2000;Antwerpen;;'152113,52;'211618,35;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-20009b59235;NB-20009b59235---0
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'10;'A;2000;Antwerpen;;'152104,51;'211594,37;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200010A5c08;NB-200010A5c08---0
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'12;';2000;Antwerpen;;'152112,67;'211590,45;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200012390e01;NB-200012390e01---0
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'13;';2000;Antwerpen;;'152123,15;'211613,46;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200013de6854;NB-200013de6854---0
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'16;';2000;Antwerpen;;'152127,28;'211578,47;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200016f8f377;NB-200016f8f377---0
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'20;'A;2000;Antwerpen;;'152122,95;'211591,93;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200020A2201;NB-200020A2201---0
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'23;';2000;Antwerpen;;'152142,37;'211605,91;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200023a36b25;NB-200023a36b25---0
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'23;';2000;Antwerpen;;'152142,37;'211605,91;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200023a36b25;NB-200023a36b25---1
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'23;';2000;Antwerpen;;'152142,37;'211605,91;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200023a36b25;NB-200023a36b25---2
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'23;';2000;Antwerpen;;'152142,37;'211605,91;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200023a36b25;NB-200023a36b25---3
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'23;';2000;Antwerpen;;'152142,37;'211605,91;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200023a36b25;NB-200023a36b25---4
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'29;';2000;Antwerpen;;'152154,68;'211602,1;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200029bfb447;NB-200029bfb447---0
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'45;';2000;Antwerpen;;'152206,33;'211592,17;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200045d94372;NB-200045d94372---0
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'47;';2000;Antwerpen;;'152211,33;'211592,17;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200047efae86;NB-200047efae86---0
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'64;';2000;Antwerpen;;'152241,51;'211565,46;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200064073011;NB-200064073011---0
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'72;';2000;Antwerpen;;'152264,31;'211561,13;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200072220c32;NB-200072220c32---0
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'75;'A;2000;Antwerpen;;'152288,27;'211584,74;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200075Aca54;NB-200075Aca54---0
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'79;';2000;Antwerpen;;'152295;'211577;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200079539987;NB-200079539987---0
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'79;';2000;Antwerpen;;'152295;'211577;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200079539987;NB-200079539987---1
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'79;';2000;Antwerpen;;'152295;'211577;;Y;NA;4;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200079539987;NB-200079539987---2
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'25;Aalmoezenierstraat;'84;';2000;Antwerpen;;'152294,68;'211561,01;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-2000847dcf06;NB-2000847dcf06---0
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'3076;Bogaardestraat;'4;';2000;Antwerpen;;'152196,13;'211742,61;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-2000492c660;NB-2000492c660---0
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'3076;Bogaardestraat;'6;';2000;Antwerpen;;'152201,13;'211742,61;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-20006a85090;NB-20006a85090---0
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'3076;Bogaardestraat;'12;';2000;Antwerpen;;'152191,43;'211722,76;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200012cba232;NB-200012cba232---0
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'3076;Bogaardestraat;'16;';2000;Antwerpen;;'152196,17;'211714,83;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200016e6f537;NB-200016e6f537---0
;;;Zoning;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;6807712;'20200127134349;W03-C-Antwerpen-West-FH08;19085;FTTH-Cu;;';';;;;;;;;';;'1630000;'3076;Bogaardestraat;'19;';2000;Antwerpen;;'152219,93;'211699,35;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-200019011700;NB-200019011700---0
