Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate
ANTWERPEN-WEST - FH08;BL0003;1948515;IJzerenwaag;16;;;152245,524;211870,59;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0009;60911;Schoytestraat;26;;;152158,933;211661,208;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0010;49169;Begijnenstraat;68;;;152241;211375;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0001;1959760;Kammenstraat;30;;;152212,227;211940,528;MDU;;3;1;0;4;Y;NA;4;Beschermd Erfgoed;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;60912;Schoytestraat;75;;;152306,95;211626,933;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0010;49174;Nationalestraat;153;;;152025;211434;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0001;1959762;Kammenstraat;32;;;152217,314;211934,072;MDU;;1;1;0;2;N;MON;4;Monument;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;60913;Schoytestraat;37;;;152219,194;211662,419;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0010;49177;Nationalestraat;91;;;152079;211599;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0002;1959772;Kammenstraat;42;;;152230,444;211897,214;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0006;60915;Schoytestraat;1;;;152115,395;211700,695;MDU;;0;2;0;2;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0010;49183;Aalmoezenierstraat;12;;;152113;211590;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0002;1959774;Kammenstraat;44;;;152232,317;211890,222;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0006;60918;Schoytestraat;15;;;152142,64;211692,638;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0009;49194;Schoytestraat;40;;;152191;211653;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0002;1959777;Kammenstraat;46;;;152243,56;211888,89;MDU;;2;1;0;3;Y;NA;4;;;;;BUILDING template
ANTWERPEN-WEST - FH08;BL0007;60921;Happaertstraat;2;;;152218,569;211709,281;MDU;;8;0;0;8;Y;NA;4;;;;;BUILDING template
