Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate
EVERE - FH03;BL0320;828184;H. Consciencelaan - Avenue Henri Conscience;141;;;152192;173392;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
EVERE - FH03;BL0313;1622548;Square Servaas Hoedemaekers - Hoedemaekerssquare;10;;;152436;173573;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
EVERE - FH03;BL0303;1162230;H. Consciencelaan - Avenue Henri Conscience;193;;;152226,671;173615,196;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template
EVERE - FH03;BL0333;1621485;Lindestraat - Rue du Tilleul;369;;;151969,028;173054,532;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template
EVERE - FH03;BL0329;1622129;Godfroid Kurthstraat - Rue Godfroid Kurth;77;;;152132,173;173175,825;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template
EVERE - FH03;BL0324;1622955;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;10;;;152214,684;173160,357;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template
EVERE - FH03;BL0313;1624324;Jean-Baptiste Desmethstraat - Rue Jean-Baptiste Desmeth;15;;;152325,201;173665,446;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
EVERE - FH03;BL0335;756048;Oasebinnenhof - Clos de l Oasis;10;;;152327,298;172549,393;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
EVERE - FH03;BL0304;828259;H. Consciencelaan - Avenue Henri Conscience;223;;;152307;173693;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
EVERE - FH03;BL0313;1622549;Square Servaas Hoedemaekers - Hoedemaekerssquare;11;;;152425;173612;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
EVERE - FH03;BL0333;1181111;Lindestraat - Rue du Tilleul;405;;;152015,941;172959,879;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
EVERE - FH03;BL0333;1621486;Lindestraat - Rue du Tilleul;373;;;151974,356;173043,705;MDU;;0;3;0;3;Y;NA;4;;;;;BUILDING template
EVERE - FH03;BL0332;1622130;Godfroid Kurthstraat - Rue Godfroid Kurth;82;;;152176,537;173117,436;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template
EVERE - FH03;BL0322;1622956;J. Van Ruusbroeckstraat - Rue J. Van Ruusbroeck;11;;;152267,444;173187,687;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
