Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate
KNOKKE-HEIST - FH03;BL0322;2759647;Elizabetlaan;141;;;74515,552;226925,169;MDU;;4;1;0;5;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0322;2765228;Paul Parmentierlaan;177;;;74544,102;227018,189;MDU;;16;0;0;16;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0328;321008;Lippenslaan;305;;;74732,699;227256,181;MDU;;2;1;0;3;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0324;2757973;Bayauxlaan;13;;;74688;227105;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0308;2759649;Elizabetlaan;142;;;74334,553;226879,168;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0322;2765238;Paul Parmentierlaan;187;;;74546,382;227047,954;MDU;;17;0;0;17;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0327;321009;Lippenslaan;254;;;74773,549;227212,171;MDU;;6;1;0;7;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0328;2758113;Blancgarinstraat;3;;;74726;227258;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0321;2759652;Elizabetlaan;147;;;74436,893;226916,433;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0322;2765252;Paul Parmentierlaan;191;;;74559,551;227060,17;MDU;;10;0;0;10;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0324;321011;Leopoldlaan;10;;;74649,552;226908,17;MDU;;11;0;0;11;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0333;2758560;Van Bunnenplein;10;;;74800;227596;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0308;2759654;Elizabetlaan;148;;;74293,96;226882,85;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0325;2765597;Piers de Raveschootlaan;117;;;74796,42;226921,38;MDU;;8;1;0;9;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0328;321015;Leopoldlaan;72;;;74674,23;227136,77;MDU;;5;0;0;5;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0325;2758752;Burg. Frans Desmidtplein;8;;;74780;226891;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0321;2759655;Elizabetlaan;149;;;74412,552;226927,169;MDU;;9;0;0;9;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0325;2765600;Piers de Raveschootlaan;121;;;74795,552;226929,172;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0328;321018;Leopoldlaan;116;;;74685,549;227254,17;MDU;;7;0;0;7;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0325;2758755;Burg. Frans Desmidtplein;10;;;74771;226891;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0308;2759657;Elizabetlaan;154;;;74224,004;226898,925;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0325;2765602;Piers de Raveschootlaan;123;;;74796,552;226938,172;MDU;;9;0;0;9;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0328;321028;Bayauxlaan;10;;;74678,01;227128,57;SDU;;0;1;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0325;2758757;Burg. Frans Desmidtplein;12;;;74763;226892;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0319;2759660;Elizabetlaan;159;;;74286,552;226935,168;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0326;2765606;Piers de Raveschootlaan;131;;;74802,551;226999,172;MDU;;13;1;0;14;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0327;321031;Zoutelaan;1;;;74766,28;227136,431;MDU;;11;1;0;12;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0330;2759237;Dumortierlaan;23;;;74822;227306;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0319;2759664;Elizabetlaan;161;;;74288,552;226965,168;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0326;2765609;Piers de Raveschootlaan;137;;;74805,551;227016,172;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0328;321034;Blancgarinstraat;13;;;74688,02;227261,55;MDU;;2;1;0;3;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0330;2759242;Dumortierlaan;33;;;74831;227316;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0310;2759665;Elizabetlaan;164;;;73967,553;226882,165;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0326;2765610;Piers de Raveschootlaan;139;;;74805,551;227023,172;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0328;321036;Blancgarinstraat;1;;;74732,699;227256,181;MDU;;14;0;0;14;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0330;2759262;Dumortierlaan;45;;;74849;227334;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0319;2759666;Elizabetlaan;165;;;74270,481;226927,376;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0326;2765613;Piers de Raveschootlaan;147;;;74809,551;227054,172;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0325;321038;Burg. Frans Desmidtplein;15;;;74744,142;226897,271;MDU;;17;2;0;19;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0330;2759263;Dumortierlaan;47;;;74849;227336;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0310;2759667;Elizabetlaan;166;;;73952,553;226879,165;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0326;2765615;Piers de Raveschootlaan;151;;;74810,55;227068,172;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0330;2759280;Dumortierlaan;59;;;74875;227350;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0319;2759668;Elizabetlaan;171;;;74227,552;226961,167;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0326;2765619;Piers de Raveschootlaan;157;;;74805,91;227098,13;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0331;2759302;Dumortierlaan;77;;;74920;227390;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0314;2759669;Elizabetlaan;187;;;73936,553;226937,165;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0326;2765620;Piers de Raveschootlaan;159;;;74812,55;227096,172;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0331;2759311;Dumortierlaan;83;;;74932;227401;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0314;2759670;Elizabetlaan;189;;;73927,553;226933,165;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0326;2765621;Piers de Raveschootlaan;161;;;74812,55;227096,172;MDU;;7;0;0;7;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0314;2759673;Elizabetlaan;199;;;73855;226903;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0314;2759671;Elizabetlaan;195;;;73878,553;226910,164;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0326;2765623;Piers de Raveschootlaan;163;;;74815,55;227108,172;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0325;321043;Burg. Frans Desmidtplein;6;;;74789,552;226889,172;MDU;;18;0;0;18;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0330;2761771;Koninginnenlaan;8;;;74829;227417;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0314;2759672;Elizabetlaan;197;;;73854,553;226902,164;MDU;;9;0;0;9;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0326;2765625;Piers de Raveschootlaan;165;;;74817,11;227113,97;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0324;321047;Elizabetlaan;119;;;74691,702;226891,441;MDU;;3;0;0;3;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0331;2761775;Koninginnenlaan;11;;;74820;227462;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0311;2759993;Georginapad;1;;;73964,95;226775,36;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0321;2765905;Julius Sabbelaan;2;A;;74390,552;226930,168;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0324;321070;Lippenslaan;177;;;74704,552;226902,171;MDU;;9;1;0;10;Y;NA;4;Beschermd Erfgoed;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0331;2761779;Koninginnenlaan;15;;;74828;227454;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0310;2759994;Georginapad;2;;;73960,52;226812,49;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0321;2765908;Julius Sabbelaan;6;;;74419,552;226974,169;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0326;323550;Zoutelaan;6;;;74787,98;227110,921;MDU;;5;0;0;5;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0331;2761799;Koninginnenlaan;29;;;74854;227422;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0311;2759996;Georginapad;3;;;73943,1;226785,82;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0321;2765912;Julius Sabbelaan;10;;;74406,91;227000,42;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0304;336211;Sportlaan;9;;;74405,88;226538,75;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0322;2761935;Koningslaan;170;;;74502;227027;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0333;2761448;Zeedijk-Knokke;642;;;74753,546;227596,17;MDU;;13;0;0;13;Y;NA;4;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0321;2765913;Julius Sabbelaan;14;;;74398,6;227019,51;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;BL0304;336216;Sportlaan;7;;;74400,94;226558,92;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
KNOKKE-HEIST - FH03;#N/B;2762759;Leopoldlaan;27;;;74685;227337;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template
