Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Building comment;Opdrachttemplate
KNOKKE-HEIST - FH04;BL0401;2758570;Van Bunnenplein;18;;;74851,475;227583,263;MDU;;7;1;0;8;N;IRREG;8;_;BUILDING template
KNOKKE-HEIST - FH04;BL0414;2768078;Zeedijk-Het Zoute;815;;;75914,352;227960,031;MDU;;7;0;1;8;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2759116;Duindistelstraat;5;;;75276,02;227736,074;MDU;;7;0;1;8;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0414;2768081;Zeedijk-Het Zoute;817;;;75923,017;227964,269;SDU;;0;1;0;1;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2759118;Duindistelstraat;7;;;75273,687;227728,457;MDU;;10;0;0;10;Y;NA;6;_;BUILDING template
KNOKKE-HEIST - FH04;BL0414;2768082;Zeedijk-Het Zoute;818;;;75927,779;227966,269;SDU;;0;1;0;1;Y;NA;9;_;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2759119;Duindistelstraat;9;;;75271,705;227721,642;SDU;;0;1;0;1;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0408;3923027;Antoine Breartstraat;16;;;75318,137;227762,295;MDU;;12;0;1;13;N;IRREG;8;_;BUILDING template
KNOKKE-HEIST - FH04;BL0407;2759121;Duindistelstraat;11;;;75269,637;227716,792;MDU;;12;1;0;13;Y;NA;7;_;BUILDING template
KNOKKE-HEIST - FH04;BL0405;3939667;Zandstraat;16;;;75184,57;227680,103;MDU;;8;0;0;8;Y;NA;5;_;BUILDING template
KNOKKE-HEIST - FH04;BL0406;2759123;Duindistelstraat;12;;;75241,99;227702,84;MDU;;15;1;0;16;Y;NA;6;_;BUILDING template
KNOKKE-HEIST - FH04;BL0411;3954195;Kustlaan;213;;;75660,612;227791,905;SDU;;0;1;0;1;Y;NA;7;_;BUILDING template
