Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Perceel eigenschap;Building comment;Building exists;BG Name;Opdrachttemplate;FT Distributie;FT Distributie Opmerking
KNOKKE-HEIST - FH10;BL1004;2759794;Engelsestraat;31;;;72829,779;226713,203;MDU;;14;0;0;14;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1018;295106;Leeuwerikenlaan;10;;;73139,924;226698,538;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1004;2759797;Engelsestraat;37;;;72841,16;226719,219;MDU;;5;0;0;5;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1015;295107;Leeuwerikenlaan;2;;;73109,555;226730,159;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1004;2759798;Engelsestraat;43;;;72863,091;226727,849;MDU;;6;0;0;6;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1032;295111;Jozef Nellenslaan;19;;;73104,271;226598,793;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1005;2759801;Engelsestraat;49;;;72937,555;226759,157;MDU;;15;0;0;15;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1019;295112;Jozef Nellenslaan;21;;;73125,077;226634,63;MDU;;4;0;0;4;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1005;2759802;Engelsestraat;51;;;72950,555;226765,157;MDU;;12;0;0;12;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1033;295113;Jozef Nellenslaan;24;;;73182,556;226660,159;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1041;2759906;Florapad;3;;;72605,474;226325,513;MDU;;5;0;0;5;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1032;295114;Jozef Nellenslaan;17;;;73101,049;226588,571;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1021;2759932;Gallischpad;4;;;72905,557;226599,157;SDU;;1;0;0;1;Y;NA;2;Beschermd Erfgoed;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1015;295115;Phillippartpad;6;;;73054,556;226722,158;MDU;;7;0;0;7;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1021;2760411;Heuvelpad;5;;;72921,557;226539,157;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1015;295116;Phillippartpad;2;;;73094,24;226717,205;MDU;;2;0;0;2;Y;NA;4;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1021;2760412;Heuvelpad;7;;;72923,06;226547,5;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1036;295120;Jozef Nellenslaan;4;;;73023,807;226473,244;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1027;2760492;Van Hoenackerpad;4;;;72665,465;226397,933;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1031;295121;Jozef Nellenslaan;3;;;73007,303;226501,347;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1040;2760495;Van Hoenackerpad;12;;;72736,76;226266,79;SDU;;1;0;0;1;Y;NA;2;;;;;BUILDING template;;
KNOKKE-HEIST - FH10;BL1015;295125;Majoor Quaillestraat;1;;;73040,466;226694,208;MDU;;5;0;0;5;Y;NA;4;;;;;BUILDING template;;
