Projectnummer;Blok;LAM MK;Straat;Huisnummer;Huisnummer Toevoeging;Huisnr;xPos;yPos;BT;VC Method;LU;BU;SU;TOTAAL;Wall Mount;SS Reason;Number Floors;Building comment;Opdrachttemplate
SINT-NIKLAAS - FH02;BL0215;3500266;Knaptandstraat;26;;;134235,327;205602,14;SDU;;1;0;0;1;Y;NA;2;;BUILDING template
SINT-NIKLAAS - FH02;BL0215;3500269;Knaptandstraat;28;;;134240,828;205593,938;SDU;;1;0;0;1;N;ORN;3;;BUILDING template
SINT-NIKLAAS - FH02;BL0215;3948699;Knaptandstraat;30;;;134244,836;205586,055;MDU;;2;0;0;2;Y;NA;3;;BUILDING template
SINT-NIKLAAS - FH02;BL0215;3500276;Knaptandstraat;32;;;134246,614;205578,439;SDU;;1;0;0;1;N;IRREG;2;;BUILDING template
SINT-NIKLAAS - FH02;BL0215;3500281;Knaptandstraat;34;;;134248,615;205574,659;SDU;;1;0;0;1;N;IRREG;2;;BUILDING template
SINT-NIKLAAS - FH02;BL0215;3500286;Knaptandstraat;36;;;134250,68;205570,782;SDU;;1;0;0;1;N;IRREG;2;;BUILDING template
SINT-NIKLAAS - FH02;BL0215;3500289;Knaptandstraat;38;;;134252,935;205566,542;SDU;;1;0;0;1;N;IRREG;2;;BUILDING template
SINT-NIKLAAS - FH02;BL0215;4260505;Knaptandstraat;40;;;134254,787;205562,675;SDU;;1;0;0;1;Y;NA;2;;BUILDING template
SINT-NIKLAAS - FH02;BL0215;4468665;Knaptandstraat;42;;;134257,187;205559,544;SDU;;0;1;0;1;Y;NA;2;;BUILDING template
SINT-NIKLAAS - FH02;BL0215;3500291;Knaptandstraat;44;;;134258,978;205555,085;SDU;;1;0;0;1;Y;NA;3;BE;BUILDING template
SINT-NIKLAAS - FH02;BL0215;3500293;Knaptandstraat;46;;;134262,224;205550,494;SDU;;0;1;0;1;Y;NA;3;;BUILDING template
SINT-NIKLAAS - FH02;BL0215;91076;Knaptandstraat;48;;;134265,385;205542,347;SDU;;1;0;0;1;Y;NA;2;;BUILDING template
SINT-NIKLAAS - FH02;BL0215;91077;Knaptandstraat;50;;;134268,431;205536,905;SDU;;1;0;0;1;N;IRREG;2;;BUILDING template
SINT-NIKLAAS - FH02;BL0215;4153860;Knaptandstraat;52;;;134271,017;205532,007;SDU;;1;0;0;1;Y;NA;2;;BUILDING template
SINT-NIKLAAS - FH02;BL0215;3500299;Knaptandstraat;54;;;134273,782;205525,946;SDU;;0;1;0;1;Y;NA;2;;BUILDING template
