File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;planrrr_bid;planrrr_uid
;;;Zoning;4547957;'20200206080149;W01-C-Roeselare-FH03;4547957;'20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;7534833;'20191001152543;';MODIFY;;;MODIFY;;;165879;'20191001152543;3418066;'56560000;'26113;Rijselstraat;'16;';8800;Roeselare;;'62442,63916;'181882,4541;;N;IRREG;4;20;Undefined;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';1;336565;3555612;LU;1;'1;;;;;Y;#A1/1L/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';3418066;336565
;;;Zoning;4547957;'20200206080149;W01-C-Roeselare-FH03;4547957;'20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;7534833;'20191001152543;';MODIFY;;;MODIFY;;;165879;'20191001152543;3418066;'56560000;'26113;Rijselstraat;'16;';8800;Roeselare;;'62442,63916;'181882,4541;;N;IRREG;4;20;Undefined;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';2;336567;1892780;LU;1;'2;;;;;Y;#A1/2R/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';3418066;336567
;;;Zoning;4547957;'20200206080149;W01-C-Roeselare-FH03;4547957;'20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;7534833;'20191001152543;';MODIFY;;;MODIFY;;;165879;'20191001152543;3418066;'56560000;'26113;Rijselstraat;'16;';8800;Roeselare;;'62442,63916;'181882,4541;;N;IRREG;4;20;Undefined;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';3;336569;1020771;LU;1;'3;;;;;Y;#A1/3M/S2B;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';3418066;336569
;;;Zoning;4547957;'20200206080149;W01-C-Roeselare-FH03;4547957;'20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;7534833;'20191001152543;';MODIFY;;;MODIFY;;;165879;'20191001152543;3418066;'56560000;'26113;Rijselstraat;'16;';8800;Roeselare;;'62442,63916;'181882,4541;;N;IRREG;4;20;Undefined;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';4;336577;1020772;LU;1;'4;;;;;Y;#A2/4L/S2C;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';3418066;336577
;;;Zoning;4547957;'20200206080149;W01-C-Roeselare-FH03;4547957;'20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;7534833;'20191001152543;';MODIFY;;;MODIFY;;;165879;'20191001152543;3418066;'56560000;'26113;Rijselstraat;'16;';8800;Roeselare;;'62442,63916;'181882,4541;;N;IRREG;4;20;Undefined;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';5;336579;1299806;LU;1;'5;;;;;Y;#A2/5R/G;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';3418066;336579
;;;Zoning;4547957;'20200206080149;W01-C-Roeselare-FH03;4547957;'20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;7534833;'20191001152543;';MODIFY;;;MODIFY;;;165879;'20191001152543;3418066;'56560000;'26113;Rijselstraat;'16;';8800;Roeselare;;'62442,63916;'181882,4541;;N;IRREG;4;20;Undefined;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';6;336581;1020773;LU;1;'6;;;;;Y;#A2/6M/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';3418066;336581
;;;Zoning;4547957;'20200206080149;W01-C-Roeselare-FH03;4547957;'20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;7534833;'20191001152543;';MODIFY;;;MODIFY;;;165879;'20191001152543;3418066;'56560000;'26113;Rijselstraat;'16;';8800;Roeselare;;'62442,63916;'181882,4541;;N;IRREG;4;20;Undefined;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';7;336589;1431308;LU;1;'7;;;;;Y;#A3/7L/S2A;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';3418066;336589
;;;Zoning;4547957;'20200206080149;W01-C-Roeselare-FH03;4547957;'20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;7534833;'20191001152543;';MODIFY;;;MODIFY;;;165879;'20191001152543;3418066;'56560000;'26113;Rijselstraat;'16;';8800;Roeselare;;'62442,63916;'181882,4541;;N;IRREG;4;20;Undefined;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';8;336590;1020774;LU;1;'8;;;;;Y;#A3/8R/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';3418066;336590
;;;Zoning;4547957;'20200206080149;W01-C-Roeselare-FH03;4547957;'20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;7534833;'20191001152543;';MODIFY;;;MODIFY;;;165879;'20191001152543;3418066;'56560000;'26113;Rijselstraat;'16;';8800;Roeselare;;'62442,63916;'181882,4541;;N;IRREG;4;20;Undefined;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';9;336591;3565750;SU;1;;'SU;;;;Y;#A3/9M/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';3418066;336591
;;;Zoning;4547957;'20200206080149;W01-C-Roeselare-FH03;4547957;'20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;7534833;'20191001152543;';MODIFY;;;MODIFY;;;165880;'20191003104303;3418069;'56560000;'26113;Rijselstraat;'18;';8800;Roeselare;;'62433,51;'181881,3716;;N;IRREG;1;20;Undefined;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';1;337838;;LU;1;;;;;;Y;#A.GV/R/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';3418069;337838
;;;Zoning;4547957;'20200206080149;W01-C-Roeselare-FH03;4547957;'20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;7534833;'20191001152543;';MODIFY;;;MODIFY;;;165881;'20191003104351;3418070;'56560000;'26113;Rijselstraat;'20;';8800;Roeselare;;'62433,74392;'181874,8983;;N;IRREG;1;20;Undefined;Unknown;C - Precabled ONTP;None;;;;;;;Y;MODIFY;;;';1;339561;;LU;1;;;;;;Y;#A.GV/L/;APPART;DEEL_APP_GEBOUW - PARTIE_IMMEUBLE_APP;APPART;;;;;;;N;KEEP;;;';3418070;339561
;;;Zoning;4547957;'20200206080149;W01-C-Roeselare-FH03;4547957;'20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;7539806;'20191001152639;';MODIFY;;;MODIFY;;;4707761;'20191001152639;1254366;'56560000;'26868;Rumbeeksesteenweg;'28;';8800;Roeselare;;'62633,16419;'181843,5526;;N;IRREG;3;;Undefined;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;343563;1020836;LU;1;;'1;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;N;KEEP;;;';1254366;343563
;;;Zoning;4547957;'20200206080149;W01-C-Roeselare-FH03;4547957;'20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;7539806;'20191001152639;';MODIFY;;;MODIFY;;;4707761;'20191001152639;1254366;'56560000;'26868;Rumbeeksesteenweg;'28;';8800;Roeselare;;'62633,16419;'181843,5526;;N;IRREG;3;;Undefined;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';10;343572;3557486;LU;1;;'10;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;N;KEEP;;;';1254366;343572
;;;Zoning;4547957;'20200206080149;W01-C-Roeselare-FH03;4547957;'20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;7539806;'20191001152639;';MODIFY;;;MODIFY;;;4707761;'20191001152639;1254366;'56560000;'26868;Rumbeeksesteenweg;'28;';8800;Roeselare;;'62633,16419;'181843,5526;;N;IRREG;3;;Undefined;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';11;343573;3557489;LU;1;;'11;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;N;KEEP;;;';1254366;343573
;;;Zoning;4547957;'20200206080149;W01-C-Roeselare-FH03;4547957;'20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;7539806;'20191001152639;';MODIFY;;;MODIFY;;;4707761;'20191001152639;1254366;'56560000;'26868;Rumbeeksesteenweg;'28;';8800;Roeselare;;'62633,16419;'181843,5526;;N;IRREG;3;;Undefined;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';12;343574;3557493;LU;1;;'12;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;N;KEEP;;;';1254366;343574
;;;Zoning;4547957;'20200206080149;W01-C-Roeselare-FH03;4547957;'20200206080149;W01-C-Roeselare-FH03;12266;FTTH-Cu;7539806;'20191001152639;';MODIFY;;;MODIFY;;;4707761;'20191001152639;1254366;'56560000;'26868;Rumbeeksesteenweg;'28;';8800;Roeselare;;'62633,16419;'181843,5526;;N;IRREG;3;;Undefined;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';13;343575;3557496;LU;1;;'13;;;;Y;;APTBLD;APPARTEMENTSGEBOUW - IMMEUBLE A APPARTEMENTS;NA;;;;;;;N;KEEP;;;';1254366;343575
