File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;planrrr_bid;planrrr_uid
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;738860;'20200402003635;1480722;'37370000;'23490;Oude Markt;'44;';3000;Leuven;;'173261,3339;'174270,0942;;Y;NA;4;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;1919139;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;KEEP;;;';1480722;1919139
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;738860;'20200402003635;1480722;'37370000;'23490;Oude Markt;'44;';3000;Leuven;;'173261,3339;'174270,0942;;Y;NA;4;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;10880427;;BU;1;;;;;;Y;;;;NA;;;;;;;N;KEEP;;;';1480722;10880427
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;745662;'20200731093003;3019721;'37370000;'10904;Grote Markt;'14;';3000;Leuven;;'173320,5621;'174365,7801;;N;IRREG;3;5;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;1891102;4957129;BU;1;'1;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;KEEP;;;';3019721;1891102
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;745663;'20200731092824;3019723;'37370000;'10904;Grote Markt;'15;';3000;Leuven;;'173324,3489;'174371,9903;;N;MON;4;4;Unknown;Unknown;;None;;;;;;;Y;MODIFY;;;';1;1892750;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;KEEP;;;';3019723;1892750
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;748018;'20200731093608;3024365;'37370000;'16819;Kortestraat;'2;';3000;Leuven;;'173320,6379;'174360,5543;;N;IRREG;4;5;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;1899504;4957282;BU;1;'1;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;KEEP;;;';3024365;1899504
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;748018;'20200731093608;3024365;'37370000;'16819;Kortestraat;'2;';3000;Leuven;;'173320,6379;'174360,5543;;N;IRREG;4;5;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;10878310;5748581;BU;1;'101;'101;;'1;;Y;;;;NA;;;;IFH_BATCH;;;N;MODIFY;;;';3024365;10878310
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';'Drie-Engelenberg 1 _Oude markt 45;NEW;;;NEW;;;751219;'20200402003613;3036353;'37370000;'23490;Oude Markt;'45;';3000;Leuven;;'173265,0179;'174275,0677;;Y;NA;3;4;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;1919572;;BU;1;;;;;;Y;;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;KEEP;;;';3036353;1919572
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';'Drie-Engelenberg 1 _Oude markt 45;NEW;;;NEW;;;5938506;'20200402003601;3969047;'37370000;'7498;Drie-Engelenberg;'1;';3000;Leuven;;'173259,066;'174278,5867;;Y;NA;2;5;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;10876764;;LU;1;;;;;;;;;;;;;;;;;N;KEEP;;;';3969047;10876764
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;748026;'20200731144913;3024380;'37370000;'16819;Kortestraat;'14;';3000;Leuven;;'173313,5188;'174328,3669;;Y;NA;4;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';1;1890610;;LU;1;;;;;;Y;#DEEL 347C;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;KEEP;;;';3024380;1890610
;;;Zoning;5577033;'20191109094843;W02-D-Leuven-FH02;5577033;'20191109094843;W02-D-Leuven-FH02;15482;FTTH-Cu;;';';;;;;;;748026;'20200731144913;3024380;'37370000;'16819;Kortestraat;'14;';3000;Leuven;;'173313,5188;'174328,3669;;Y;NA;4;3;Unknown;Unknown;D - Facade Box;None;;;;;;;Y;MODIFY;;;';2;1890611;;LU;1;;;;;;Y;#DEEL 347C;COMM;HANDELSZAAK - COMMERCE;NA;;;;;;;N;KEEP;;;';3024380;1890611
