File SSV Action;File SSV Status;File SSV Error;Area Type;Area FID;Area Version;Area Name;Zoning FID;Zoning Version;Zoning Name;Zoning Id;Zoning Tech;BG Id;BG Version;BG Name;BG SSV Action;BG SSV Status;BG SSV Error;BG Building SSV Action;BG Building SSV Status;BG Building SSV Error;Building FID;Building Version;LAM MK;LAM City Code;LAM Street Code;Street;Nr;Suffix;Zip;Municipality;Suburb;xPos;yPos;Name;Wall Mount;SS Reason;Number Floors;Height Cable;Orig VC Type;New VC Type;VC Method;Intro Tube;Prov Status;Prov Reason;Prov Planned;Prov Mod By;Prov Mod Date;Comments;SSV Flag;SSV Action;SSV Status;SSV Error;SSV Date;Seq;LU Key;LAM SK;Nature;Nr TPs;PBox;App;Block;Floor;OtherRef;CAD;CAD Details;CAD Type;CAD Type Descr;CAD SubType;Prov Status LU;Prov Reason LU;Prov Planned LU;Prov Mod By LU;Prov Mod Date LU;Comments LU;SSV Flag LU;SSV Action LU;SSV Status LU;SSV Error LU;SSV Date LU;planrrr_bid;planrrr_uid
;;;Zoning;33344050;'20200903113655;W05-C-Hasselt-FH10;33344050;'20200903113655;W05-C-Hasselt-FH10;33575;FTTH-Cu;;';';;;;;;;;';;'26300000;'11091;Haarbemdenstraat;'35;';3500;Hasselt;;'217374;'181598;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-35003537774;
;;;Zoning;33344050;'20200903113655;W05-C-Hasselt-FH10;33344050;'20200903113655;W05-C-Hasselt-FH10;33575;FTTH-Cu;;';';;;;;;;;';;'26300000;'11091;Haarbemdenstraat;'39;';3500;Hasselt;;'217391;'181594;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-35003915800;
;;;Zoning;33344050;'20200903113655;W05-C-Hasselt-FH10;33344050;'20200903113655;W05-C-Hasselt-FH10;33575;FTTH-Cu;;;';;;;;;;;';;'26300000;'11091;Haarbemdenstraat;'43;';3500;Hasselt;;'217408;'181596;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-35004328365;
;;;Zoning;33344050;'20200903113655;W05-C-Hasselt-FH10;33344050;'20200903113655;W05-C-Hasselt-FH10;33575;FTTH-Cu;;';';;;;;;;;';;'26300000;'11091;Haarbemdenstraat;'47;';3500;Hasselt;;'217421;'181606;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-35004746068;
;;;Zoning;33344050;'20200903113655;W05-C-Hasselt-FH10;33344050;'20200903113655;W05-C-Hasselt-FH10;33575;FTTH-Cu;;';';;;;;;;;';;'26300000;'11091;Haarbemdenstraat;'55;';3500;Hasselt;;'217471;'181602;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-35005585628;
;;;Zoning;33344050;'20200903113655;W05-C-Hasselt-FH10;33344050;'20200903113655;W05-C-Hasselt-FH10;33575;FTTH-Cu;;';';;;;;;;;';;'26300000;'11091;Haarbemdenstraat;'71;';3500;Hasselt;;'217551;'181614;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-35007105487;
;;;Zoning;33344050;'20200903113655;W05-C-Hasselt-FH10;33344050;'20200903113655;W05-C-Hasselt-FH10;33575;FTTH-Cu;;';';;;;;;;;';;'26300000;'11091;Haarbemdenstraat;'75;';3500;Hasselt;;'217567;'181607;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-35007543719;
;;;Zoning;33344050;'20200903113655;W05-C-Hasselt-FH10;33344050;'20200903113655;W05-C-Hasselt-FH10;33575;FTTH-Cu;;';';;;;;;;;';;'26300000;'11091;Haarbemdenstraat;'79;';3500;Hasselt;;'217583;'181609;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-35007939115;
;;;Zoning;33344050;'20200903113655;W05-C-Hasselt-FH10;33344050;'20200903113655;W05-C-Hasselt-FH10;33575;FTTH-Cu;;';';;;;;;;;';;'26300000;'11517;Havenstraat;'40;';3500;Hasselt;;'218160;'181350;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-35004082507;
;;;Zoning;33344050;'20200903113655;W05-C-Hasselt-FH10;33344050;'20200903113655;W05-C-Hasselt-FH10;33575;FTTH-Cu;;';';;;;;;;;';;'26300000;'117;Panoramastraat;'22;';3500;Hasselt;;'217287;'181476;;Y;NA;2;4;Unknown;Unknown;;None;;;;;;;Y;NEW;;;';;;;LU;1;;;;;;;;;;;;;;;;;N;NEW;;;';NB-35002224758;
